site,display_name,display_order,mean_civil_dawn_hour,mean_civil_dusk_hour,night_segment,xmin,xmax
RISE,Borås (SE),1,4.769416199320572,20.983041190313987,1,0,4.769416199320572
RISE,Borås (SE),1,4.769416199320572,20.983041190313987,2,20.983041190313987,24
THUAS,Delft (NL),2,5.904015751571906,20.99501522430837,1,0,5.904015751571906
THUAS,Delft (NL),2,5.904015751571906,20.99501522430837,2,20.99501522430837,24
BAUA,Dortmund (DE),3,5.155382519853325,21.851239351874696,1,0,5.155382519853325
BAUA,Dortmund (DE),3,5.155382519853325,21.851239351874696,2,21.851239351874696,24
MPI,Tübingen (DE),4,6.624451192535294,19.09745356919986,1,0,6.624451192535294
MPI,Tübingen (DE),4,6.624451192535294,19.09745356919986,2,19.09745356919986,24
TUM,Munich (DE),5,4.71863306613984,21.809709984437184,1,0,4.71863306613984
TUM,Munich (DE),5,4.71863306613984,21.809709984437184,2,21.809709984437184,24
FUSPCEU,Madrid (ES),6,7.836185176339158,18.940995669750485,1,0,7.836185176339158
FUSPCEU,Madrid (ES),6,7.836185176339158,18.940995669750485,2,18.940995669750485,24
IZTECH,Izmir (TR),7,6.787137840171852,19.795658977575297,1,0,6.787137840171852
IZTECH,Izmir (TR),7,6.787137840171852,19.795658977575297,2,19.795658977575297,24
UCR,San José (CR),8,4.906596076945878,18.378656147155496,1,0,4.906596076945878
UCR,San José (CR),8,4.906596076945878,18.378656147155496,2,18.378656147155496,24
KNUST,Kumasi (GH),9,5.739796634571543,18.298515713428273,1,0,5.739796634571543
KNUST,Kumasi (GH),9,5.739796634571543,18.298515713428273,2,18.298515713428273,24
