site,display_name,display_order,mean_civil_dawn_hour,mean_civil_dusk_hour,night_segment,xmin,xmax
RISE,Borås (SE),1,5.178488997326543,20.585576466664808,1,0,5.178488997326543
RISE,Borås (SE),1,5.178488997326543,20.585576466664808,2,20.585576466664808,24
THUAS,Delft (NL),2,6.135515732879138,20.795045788654146,1,0,6.135515732879138
THUAS,Delft (NL),2,6.135515732879138,20.795045788654146,2,20.795045788654146,24
BAUA,Dortmund (DE),3,5.342355427510209,21.636966637703527,1,0,5.342355427510209
BAUA,Dortmund (DE),3,5.342355427510209,21.636966637703527,2,21.636966637703527,24
TUM,Munich (DE),5,4.71863306613984,21.809709984437184,1,0,4.71863306613984
TUM,Munich (DE),5,4.71863306613984,21.809709984437184,2,21.809709984437184,24
FUSPCEU,Madrid (ES),6,7.833648242122866,18.94523026877141,1,0,7.833648242122866
FUSPCEU,Madrid (ES),6,7.833648242122866,18.94523026877141,2,18.94523026877141,24
IZTECH,Izmir (TR),7,6.798667633754236,19.786583280875664,1,0,6.798667633754236
IZTECH,Izmir (TR),7,6.798667633754236,19.786583280875664,2,19.786583280875664,24
UCR,San José (CR),8,5.028436152165638,18.31174026983775,1,0,5.028436152165638
UCR,San José (CR),8,5.028436152165638,18.31174026983775,2,18.31174026983775,24
KNUST,Kumasi (GH),9,5.7150746590293275,18.27638689431406,1,0,5.7150746590293275
KNUST,Kumasi (GH),9,5.7150746590293275,18.27638689431406,2,18.27638689431406,24
