run_id,site,clock_bin,time_hour,eta,standard_error,lower_eta,upper_eta,estimate_melEDI_lx,lower_melEDI_lx,upper_melEDI_lx,simultaneous_critical_value,equal_site_deviation_eta,deviation_standard_error,site_to_equal_site_ratio,ratio_lower,ratio_upper,deviation_simultaneous_critical_value,display_order,display_name,color_hex,pointwise_lower_melEDI_lx,pointwise_upper_melEDI_lx
main__chest__all_available,RISE,0,0.25,-0.8339354692665394,0.2443257826830311,-1.6858444584341177,0.01797351990103879,0.04657656192320847,0,0.942253878442502,3.486774829133679,-0.34493599375058537,0.23123420694339872,0.4519225437373728,0.07140606613887708,2.8601769650892765,3.4654427171698163,1,Borås (SE),#88CCEE,0,0.3415036164094968
main__chest__all_available,RISE,30,0.75,-0.9026368045014664,0.21858601845686076,-1.664797031657398,-0.14047657734553445,0.02513050448417389,0,0.6236414291313795,3.486774829133679,-0.27957858741534214,0.20543642978924737,0.5253169481950407,0.10197488709143132,2.7061358333598893,3.4654427171698163,1,Borås (SE),#88CCEE,0,0.2355706114109495
main__chest__all_available,RISE,60,1.25,-0.9384972316047152,0.19586416226305328,-1.6214314625128838,-0.25556300069654625,0.01521334040372819,0,0.4551840737972337,3.486774829133679,-0.21724101508485075,0.18339142809012424,0.6063997099787806,0.14035454997879343,2.619940773689982,3.4654427171698163,1,Borås (SE),#88CCEE,0,0.17886208635453085
main__chest__all_available,RISE,90,1.75,-0.957860868684718,0.17603862740865164,-1.5716679236884468,-0.3440538136809891,0.01018922570714313,0,0.35284146457868826,3.486774829133679,-0.16166449488729118,0.16447105515367141,0.6891845058102876,0.1855113495608321,2.560357003349913,3.4654427171698163,1,Borås (SE),#88CCEE,0,0.14387568425312197
main__chest__all_available,RISE,120,2.25,-0.9761280765947196,0.15787457260089258,-1.5266011624997495,-0.4256549906896897,0.00565058920114062,0,0.2752710041363424,3.486774829133679,-0.1161872217898469,0.14734047018705987,0.7652666338590395,0.2361635230111309,2.4797776279376684,3.4654427171698163,1,Borås (SE),#88CCEE,0,0.11542713204577595
main__chest__all_available,RISE,150,2.75,-0.9966752819384777,0.14108252735677504,-1.4885982871566443,-0.5047522767203106,7.68482409448365e-4,0,0.2127863003731887,3.486774829133679,-0.08225971737774959,0.13165469428546023,0.8274471846303885,0.28939996957794106,2.3658220985692315,3.4654427171698163,1,Borås (SE),#88CCEE,0,0.09047649482758971
main__chest__all_available,RISE,180,3.25,-1.0108530726068434,0.12709008425626986,-1.4539875794240835,-0.5677185657896032,0,0,0.1705711167889927,3.486774829133679,-0.0583088858322074,0.11846623022749513,0.8743616765991511,0.33974508246995916,2.250241080598651,3.4654427171698163,1,Borås (SE),#88CCEE,0,0.07307682325580211
main__chest__all_available,RISE,210,3.75,-1.0062643859210136,0.11712227002999102,-1.414643368992584,-0.5978854028494431,0,0,0.15241467304303682,3.486774829133679,-0.03932690558780155,0.10881619942342433,0.913425421802222,0.3833335124919044,2.1765537684686196,3.4654427171698163,1,Borås (SE),#88CCEE,0,0.06722108813265093
main__chest__all_available,RISE,240,4.25,-0.9677325816392572,0.11064482329640152,-1.3535261664830938,-0.5819389967954207,0.00771282550002512,0,0.16185507973073252,3.486774829133679,-0.0175268068088291,0.10254998649121463,0.9604465330347588,0.423732806347944,2.176979287416847,3.4654427171698163,1,Borås (SE),#88CCEE,0,0.07747095531831774
main__chest__all_available,RISE,270,4.75,-0.8783663707802596,0.10662566116098222,-1.2501460422561088,-0.5065866993044102,0.0323224791920288,0,0.211467904266007,3.486774829133679,0.01585292856112163,0.09905382239496,1.0371771220087476,0.47053028471478886,2.2862213493237835,3.4654427171698163,1,Borås (SE),#88CCEE,0,0.11409971290071902
main__chest__all_available,RISE,300,5.25,-0.7206571806135678,0.10556772298964125,-1.0887480599028057,-0.35256630132432987,0.09025795280654696,0,0.34405186526088716,3.486774829133679,0.06793259372562822,0.0983583988525332,1.1693178886458928,0.5334297053033328,2.5632324392766543,3.4654427171698163,1,Borås (SE),#88CCEE,0.01815004310053467,0.20637389252018348
main__chest__all_available,RISE,330,5.75,-0.4809849283186946,0.10801167368346631,-0.8575973133708056,-0.10437254326658364,0.2303810063237182,0.03880422532370206,0.6863709414099091,3.486774829133679,0.1415146993339447,0.1005920430204423,1.3852070694967036,0.6207528704107146,3.0910829685154617,3.4654427171698163,1,Borås (SE),#88CCEE,0.10291590126998337,0.43791550418833114
main__chest__all_available,RISE,360,6.25,-0.15183196517931571,0.11292961370686155,-0.5455920997161903,0.24192816935755887,0.6049657776687719,0.18471339517575416,1.6455334245069555,3.486774829133679,0.2332993219311618,0.1049897709897574,1.7111942881920634,0.7403946717250363,3.954898655765308,3.4654427171698163,1,Borås (SE),#88CCEE,0.3234772256187931,1.073561924039585
main__chest__all_available,RISE,390,6.75,0.26597914137218187,0.11857107677847052,-0.14745150460226597,0.6794097873466297,1.7449268074945812,0.6121123134244388,4.679800687119161,3.486774829133679,0.3337949455226887,0.11037695026386717,2.156725858991268,0.8939020784743136,5.20355253987172,3.4654427171698163,1,Borås (SE),#88CCEE,0.9803988202347095,3.0504615344477184
main__chest__all_available,RISE,420,7.25,0.7394029592498533,0.12450116046620811,0.3052954467383458,1.173510471761361,5.3878591866458905,1.919739907821207,14.811127089102255,3.486774829133679,0.4292255605865291,0.11619235747133252,2.6867395018120264,1.0630840483900348,6.790214904954264,3.4654427171698163,1,Borås (SE),#88CCEE,3.0288530657924655,9.525443515298429
main__chest__all_available,RISE,450,7.75,1.2150757611327925,0.13114113144439069,0.7578161649483798,1.672335357317205,16.308759932338862,5.625536201127205,46.92570956832334,3.486774829133679,0.5050349295277167,0.1224067970502732,3.19915240144511,1.2045953605153308,8.496277192445453,3.4654427171698163,1,Borås (SE),#88CCEE,8.979122306764094,29.555664217292858
main__chest__all_available,RISE,480,8.25,1.6425220083922707,0.13821009100417295,1.1606145419466452,2.124429474837896,43.80581148722552,14.374865665956138,133.0770758250038,3.486774829133679,0.5499559128049119,0.12876567704775033,3.54777372351465,1.2697722600103003,9.912563685364256,3.4654427171698163,1,Borås (SE),#88CCEE,23.43071954880161,81.82355862105207
main__chest__all_available,RISE,510,8.75,1.9779129900398584,0.1446800495484326,1.4734462349965702,2.482379745083146,94.94143611188852,29.647209701041476,303.5545164736556,3.486774829133679,0.5593119066291038,0.134678640302218,3.6250325172354434,1.2376299013170995,10.617762819910611,3.4654427171698163,1,Borås (SE),#88CCEE,49.37038652616765,182.49155047095093
main__chest__all_available,RISE,540,9.25,2.200627722473976,0.14998520443389768,1.6776630869113929,2.7235923580365595,158.61856287014805,47.50615287618841,529.066518980899,3.486774829133679,0.5364000424160633,0.13978926779491072,3.4387455581418256,1.1271152928745285,10.491358859555906,3.4654427171698163,1,Borås (SE),#88CCEE,80.56072543209125,312.21534386303114
main__chest__all_available,RISE,570,9.75,2.332736290694248,0.1546137045821829,1.793633117317982,2.871839464070514,215.0474934211857,62.0774801198958,744.3567363643866,3.486774829133679,0.4914350253773814,0.1441976488164166,3.1005234857604216,0.9811294987439684,9.798141731604986,3.4654427171698163,1,Borås (SE),#88CCEE,106.97769115103416,432.18840132655475
main__chest__all_available,RISE,600,10.25,2.4051931515087093,0.15888572441861884,1.8511944068971984,2.95919189612022,254.11030488711495,70.88954733400274,910.2154131516304,3.486774829133679,0.4383863342417335,0.14801659692757424,2.7440140721837065,0.8422544154234806,8.939832300619479,3.4654427171698163,1,Borås (SE),#88CCEE,124.00316401387201,520.6190294002215
main__chest__all_available,RISE,630,10.75,2.448524769540259,0.1623516069799905,1.8824412728530249,3.0146082662274942,280.78255666844206,76.18537278609654,1034.1088890595254,3.486774829133679,0.390795455552656,0.1510222820994215,2.4592090906049457,0.7369472251323652,8.206434796233554,3.4654427171698163,1,Borås (SE),#88CCEE,134.89617615536642,584.3240399061419
main__chest__all_available,RISE,660,11.25,2.487971611257367,0.164353221165325,1.914908936611071,3.0610342859036628,307.4895744567516,82.1070259194187,1150.7912438606634,3.486774829133679,0.3580171311464827,0.15293307439120646,2.28043202397121,0.6730329431400299,7.726769200466091,3.4654427171698163,1,Borås (SE),#88CCEE,146.40256113671023,645.6999476623354
main__chest__all_available,RISE,690,11.75,2.5321826827631297,0.1650970778840308,1.9565263472335688,3.107839018292691,340.4514100095751,90.37453240291204,1281.7553440324496,3.486774829133679,0.34314376033519517,0.15380325892824723,2.2036557973685764,0.6458733674502397,7.518654767337604,3.4654427171698163,1,Borås (SE),#88CCEE,161.5584298030764,717.309311724632
main__chest__all_available,RISE,720,12.25,2.578094299769432,0.16517708621638508,2.002158993200497,3.154029606338367,378.4247661047738,100.39836428016574,1425.6047821717789,3.486774829133679,0.3432144897092639,0.15387594961650905,2.204014714864346,0.645603982549916,7.524242406548325,3.4654427171698163,1,Borås (SE),#88CCEE,179.51936624047045,797.5923733427069
