site,modality,expected_status,absence_reason_code
BAUA,demographics,present,
BAUA,chronotype,present,
BAUA,leba,present,
BAUA,vlsq8,present,
BAUA,exercisediary,present,
BAUA,lightexposurediary,present,
BAUA,sleepdiaries,present,
FUSPCEU,demographics,present,
FUSPCEU,chronotype,present,
FUSPCEU,leba,present,
FUSPCEU,vlsq8,present,
FUSPCEU,exercisediary,present,
FUSPCEU,lightexposurediary,present,
FUSPCEU,sleepdiaries,present,
IZTECH,demographics,present,
IZTECH,chronotype,present,
IZTECH,leba,present,
IZTECH,vlsq8,present,
IZTECH,exercisediary,present,
IZTECH,lightexposurediary,present,
IZTECH,sleepdiaries,present,
KNUST,demographics,present,
KNUST,chronotype,present,
KNUST,leba,present,
KNUST,vlsq8,present,
KNUST,exercisediary,present,
KNUST,lightexposurediary,present,
KNUST,sleepdiaries,present,
MPI,demographics,present,
MPI,chronotype,present,
MPI,leba,present,
MPI,vlsq8,present,
MPI,exercisediary,present,
MPI,lightexposurediary,present,
MPI,sleepdiaries,present,
RISE,demographics,present,
RISE,chronotype,present,
RISE,leba,present,
RISE,vlsq8,present,
RISE,exercisediary,present,
RISE,lightexposurediary,present,
RISE,sleepdiaries,present,
THUAS,demographics,present,
THUAS,chronotype,present,
THUAS,leba,present,
THUAS,vlsq8,present,
THUAS,exercisediary,present,
THUAS,lightexposurediary,present,
THUAS,sleepdiaries,present,
TUM,demographics,present,
TUM,chronotype,present,
TUM,leba,present,
TUM,vlsq8,present,
TUM,exercisediary,present,
TUM,lightexposurediary,present,
TUM,sleepdiaries,present,
UCR,demographics,present,
UCR,chronotype,present,
UCR,leba,present,
UCR,vlsq8,present,
UCR,exercisediary,present,
UCR,lightexposurediary,present,
UCR,sleepdiaries,present,
