run_id,metric_order,metric_id,manuscript_name,factor_order,factor_id,factor_label,omitted_sites,successful_refits,sign_reversal_sites,maximum_relative_absolute_change,minimum_estimate,maximum_estimate,stability_class
main__glasses__all_available,1,interdaily_stability,Interdaily stability,1,leba_f2,Spending time outdoors,9,9,0,1.3760553248428604,0.00237188664122711,0.01675343945903052,direction_stable_magnitude_sensitive
main__glasses__all_available,1,interdaily_stability,Interdaily stability,2,leba_f3,Using phones and smartwatches in bed before sleep,9,9,0,0.202788292639684,-0.02732845179013315,-0.01851104697132037,stable
main__glasses__all_available,1,interdaily_stability,Interdaily stability,3,leba_f4,Controlling and using ambient light before bedtime,9,9,1,1.6800539021589151,-0.01110385436254564,0.00401084793918562,direction_unstable
main__glasses__all_available,1,interdaily_stability,Interdaily stability,4,leba_f5,Using light in the morning and during daytime,9,9,0,0.16807691575892594,0.0186409723555272,0.02540517742919623,stable
main__glasses__all_available,2,intradaily_variability,Intradaily variability,1,leba_f2,Spending time outdoors,9,9,0,0.4172092837235635,-0.02096123004761538,-0.01115602468826664,stable
main__glasses__all_available,2,intradaily_variability,Intradaily variability,2,leba_f3,Using phones and smartwatches in bed before sleep,9,9,4,29.02756770408652,-0.00756654250849817,0.01061891553325293,direction_unstable
main__glasses__all_available,2,intradaily_variability,Intradaily variability,3,leba_f4,Controlling and using ambient light before bedtime,9,9,5,36.71656439576849,-0.00477911089220672,0.00806322642313962,direction_unstable
main__glasses__all_available,2,intradaily_variability,Intradaily variability,4,leba_f5,Using light in the morning and during daytime,9,9,0,0.21658458437910513,0.01164611260325627,0.01687097262212182,stable
main__glasses__all_available,3,daily_geometric_mean_medi,Mean melEDI,1,leba_f2,Spending time outdoors,9,9,0,1.045535084696253,0.00252897024231292,0.0200395557991657,direction_stable_magnitude_sensitive
main__glasses__all_available,3,daily_geometric_mean_medi,Mean melEDI,2,leba_f3,Using phones and smartwatches in bed before sleep,9,9,0,0.372790198512764,-0.01550930511075056,-0.00754890438737492,stable
main__glasses__all_available,3,daily_geometric_mean_medi,Mean melEDI,3,leba_f4,Controlling and using ambient light before bedtime,9,9,0,0.4021327172822656,-0.01650024019480691,-0.00824334778248358,stable
main__glasses__all_available,3,daily_geometric_mean_medi,Mean melEDI,4,leba_f5,Using light in the morning and during daytime,9,9,0,0.7965054813861127,-0.01062745296248666,-0.00140719121973198,direction_stable_magnitude_sensitive
main__glasses__all_available,4,m10_mean_medi,Brightest 10 h mean,1,leba_f2,Spending time outdoors,9,9,0,0.8335231915845553,0.01189326918264998,0.03809975673076273,direction_stable_magnitude_sensitive
main__glasses__all_available,4,m10_mean_medi,Brightest 10 h mean,2,leba_f3,Using phones and smartwatches in bed before sleep,9,9,0,0.3589376128000486,-0.02252326488047133,-0.01089592325105507,stable
main__glasses__all_available,4,m10_mean_medi,Brightest 10 h mean,3,leba_f4,Controlling and using ambient light before bedtime,9,9,0,0.9091314529408736,-0.01826660061059621,-9.125920208089938e-4,direction_stable_magnitude_sensitive
main__glasses__all_available,4,m10_mean_medi,Brightest 10 h mean,4,leba_f5,Using light in the morning and during daytime,9,9,0,0.8014033433622453,-0.01463908847588175,-0.00177440336203124,direction_stable_magnitude_sensitive
main__glasses__all_available,5,l10_mean_medi,Darkest 10 h mean,1,leba_f2,Spending time outdoors,9,9,4,14.192179515468045,-0.008084494846886368,0.002645545767438298,direction_unstable
main__glasses__all_available,5,l10_mean_medi,Darkest 10 h mean,2,leba_f3,Using phones and smartwatches in bed before sleep,9,9,0,0.8551853245871337,-0.009656381054407737,-9.079776933620285e-4,direction_stable_magnitude_sensitive
main__glasses__all_available,5,l10_mean_medi,Darkest 10 h mean,3,leba_f4,Controlling and using ambient light before bedtime,9,9,0,0.38278181911428333,-0.011086242280051409,-0.005173757740771073,stable
main__glasses__all_available,5,l10_mean_medi,Darkest 10 h mean,4,leba_f5,Using light in the morning and during daytime,9,9,1,1.2260912235757073,-0.005274456330949239,7.867805349352367e-4,direction_unstable
main__glasses__all_available,6,duration_above_1000,"Time above 1,000 lx melEDI",1,leba_f2,Spending time outdoors,9,9,0,0.22775422022361047,0.04183940354028619,0.06181843062170754,stable
main__glasses__all_available,6,duration_above_1000,"Time above 1,000 lx melEDI",2,leba_f3,Using phones and smartwatches in bed before sleep,9,9,0,0.687845930513475,-0.05183627647380656,-0.01111893821092078,direction_stable_magnitude_sensitive
main__glasses__all_available,6,duration_above_1000,"Time above 1,000 lx melEDI",3,leba_f4,Controlling and using ambient light before bedtime,9,9,0,0.6899747346248315,-0.03478604786375988,-0.00675491157326699,direction_stable_magnitude_sensitive
main__glasses__all_available,6,duration_above_1000,"Time above 1,000 lx melEDI",4,leba_f5,Using light in the morning and during daytime,9,9,0,0.2425858870023748,-0.05233906575527632,-0.03658055251985111,stable
main__glasses__all_available,7,duration_above_250_wake,Time above 250 lx melEDI during wake,1,leba_f2,Spending time outdoors,9,9,0,0.7642992660198882,0.01376940652667396,0.05218820048726428,direction_stable_magnitude_sensitive
main__glasses__all_available,7,duration_above_250_wake,Time above 250 lx melEDI during wake,2,leba_f3,Using phones and smartwatches in bed before sleep,9,9,0,0.6766144627555815,-0.04350619923736338,-0.01012563167205691,direction_stable_magnitude_sensitive
main__glasses__all_available,7,duration_above_250_wake,Time above 250 lx melEDI during wake,3,leba_f4,Controlling and using ambient light before bedtime,9,9,1,1.270716040019076,-0.02347867479626335,0.00306751009508575,direction_unstable
main__glasses__all_available,7,duration_above_250_wake,Time above 250 lx melEDI during wake,4,leba_f5,Using light in the morning and during daytime,9,9,0,0.53823880384891,-0.02171097357250789,-0.00674098477435519,direction_stable_magnitude_sensitive
main__glasses__all_available,8,duration_below_10_pre_sleep,Time below 10 lx melEDI before sleep,1,leba_f2,Spending time outdoors,9,9,3,10.042512890269904,-0.01255129668285189,0.01250079386404161,direction_unstable
main__glasses__all_available,8,duration_below_10_pre_sleep,Time below 10 lx melEDI before sleep,2,leba_f3,Using phones and smartwatches in bed before sleep,9,9,1,1.9797098316960493,-0.01639322923917223,0.03216319831678511,direction_unstable
main__glasses__all_available,8,duration_below_10_pre_sleep,Time below 10 lx melEDI before sleep,3,leba_f4,Controlling and using ambient light before bedtime,9,9,1,2.0943226578323246,-0.00211542836307787,0.02000672615524889,direction_unstable
main__glasses__all_available,8,duration_below_10_pre_sleep,Time below 10 lx melEDI before sleep,4,leba_f5,Using light in the morning and during daytime,9,9,1,1.6418331715743884,-0.02168131002696747,1.3188634678396432e-5,direction_unstable
main__glasses__all_available,9,duration_below_1_sleep_environment,Time below 1 lx melEDI during sleep,1,leba_f2,Spending time outdoors,9,9,1,1.491017873755038,-0.00108796390887338,0.00827716259935841,direction_unstable
main__glasses__all_available,9,duration_below_1_sleep_environment,Time below 1 lx melEDI during sleep,2,leba_f3,Using phones and smartwatches in bed before sleep,9,9,3,2.6849236064138524,-0.00182935369400388,0.00407698116805843,direction_unstable
main__glasses__all_available,9,duration_below_1_sleep_environment,Time below 1 lx melEDI during sleep,3,leba_f4,Controlling and using ambient light before bedtime,9,9,0,0.505251244183452,0.00222420216767207,0.00645151174012569,direction_stable_magnitude_sensitive
main__glasses__all_available,9,duration_below_1_sleep_environment,Time below 1 lx melEDI during sleep,4,leba_f5,Using light in the morning and during daytime,9,9,3,5.840951513891453,-0.0028515187040475,0.00275365474084904,direction_unstable
main__glasses__all_available,10,longest_bout_above_250,Longest continuous period above 250 lx melEDI,1,leba_f2,Spending time outdoors,9,9,0,0.5160498693176775,0.00597985399257346,0.01817802380264951,direction_stable_magnitude_sensitive
main__glasses__all_available,10,longest_bout_above_250,Longest continuous period above 250 lx melEDI,2,leba_f3,Using phones and smartwatches in bed before sleep,9,9,0,0.7368891458715064,-0.01702288191851057,-0.00288644761688249,direction_stable_magnitude_sensitive
main__glasses__all_available,10,longest_bout_above_250,Longest continuous period above 250 lx melEDI,3,leba_f4,Controlling and using ambient light before bedtime,9,9,0,0.5291547914432131,-0.01044930179186585,-0.00331329992663739,direction_stable_magnitude_sensitive
main__glasses__all_available,10,longest_bout_above_250,Longest continuous period above 250 lx melEDI,4,leba_f5,Using light in the morning and during daytime,9,9,0,0.4552077130021269,-0.0088105958438621,-0.00353156107077235,stable
main__glasses__all_available,11,m10_midpoint,Midpoint of the brightest 10 hours,1,leba_f2,Spending time outdoors,9,9,1,2.4384054184001425,-0.00133292317558931,0.04313732181105979,direction_unstable
main__glasses__all_available,11,m10_midpoint,Midpoint of the brightest 10 hours,2,leba_f3,Using phones and smartwatches in bed before sleep,9,9,0,0.3891322872246371,0.02607298998253837,0.05560825572019844,stable
main__glasses__all_available,11,m10_midpoint,Midpoint of the brightest 10 hours,3,leba_f4,Controlling and using ambient light before bedtime,9,9,1,2.5949329836600983,-0.01127519709298515,0.01905863003254555,direction_unstable
main__glasses__all_available,11,m10_midpoint,Midpoint of the brightest 10 hours,4,leba_f5,Using light in the morning and during daytime,9,9,0,0.9386656197288652,-0.03447202636355104,-0.00132783340209645,direction_stable_magnitude_sensitive
main__glasses__all_available,12,l10_midpoint,Midpoint of the darkest 10 hours,1,leba_f2,Spending time outdoors,9,9,0,0.8779926195346232,-0.06021350240732969,-0.00427224601146837,direction_stable_magnitude_sensitive
main__glasses__all_available,12,l10_midpoint,Midpoint of the darkest 10 hours,2,leba_f3,Using phones and smartwatches in bed before sleep,9,9,0,0.7278898995738808,0.00699608709063833,0.04052978509707686,direction_stable_magnitude_sensitive
main__glasses__all_available,12,l10_midpoint,Midpoint of the darkest 10 hours,3,leba_f4,Controlling and using ambient light before bedtime,9,9,2,1.7644236212683344,-0.01126412070330318,0.00361597367743096,direction_unstable
main__glasses__all_available,12,l10_midpoint,Midpoint of the darkest 10 hours,4,leba_f5,Using light in the morning and during daytime,9,9,0,0.7098698166113262,0.02075675707431281,0.05897018653289988,direction_stable_magnitude_sensitive
main__glasses__all_available,13,mean_timing_above_250,Mean timing of exposure above 250 lx melEDI,1,leba_f2,Spending time outdoors,9,9,3,3.229658727925054,-0.00672747500388688,0.02161627580364574,direction_unstable
main__glasses__all_available,13,mean_timing_above_250,Mean timing of exposure above 250 lx melEDI,2,leba_f3,Using phones and smartwatches in bed before sleep,9,9,0,0.9277040599578662,0.0019942589983292,0.04227785047467331,direction_stable_magnitude_sensitive
main__glasses__all_available,13,mean_timing_above_250,Mean timing of exposure above 250 lx melEDI,3,leba_f4,Controlling and using ambient light before bedtime,9,9,0,0.4159210030388889,-0.0311431333813531,-0.0132748639634439,stable
main__glasses__all_available,13,mean_timing_above_250,Mean timing of exposure above 250 lx melEDI,4,leba_f5,Using light in the morning and during daytime,9,9,0,0.2259177532379427,-0.05221341749914541,-0.03355114615352896,stable
main__glasses__all_available,14,first_timing_above_250,First light timing above 250 lx melEDI,1,leba_f2,Spending time outdoors,9,9,0,0.9269537455412636,-0.1083710473314982,-0.01199370045871679,direction_stable_magnitude_sensitive
main__glasses__all_available,14,first_timing_above_250,First light timing above 250 lx melEDI,2,leba_f3,Using phones and smartwatches in bed before sleep,9,9,0,0.32918108565374343,0.08171175132715933,0.1371406955711507,stable
main__glasses__all_available,14,first_timing_above_250,First light timing above 250 lx melEDI,3,leba_f4,Controlling and using ambient light before bedtime,9,9,3,5.783508768111168,-0.02187096458271629,0.02537740373904959,direction_unstable
main__glasses__all_available,14,first_timing_above_250,First light timing above 250 lx melEDI,4,leba_f5,Using light in the morning and during daytime,9,9,0,0.8686766188974301,-0.04260777193487484,-0.00341461305236644,direction_stable_magnitude_sensitive
main__glasses__all_available,15,last_timing_above_250,Last light timing above 250 lx melEDI,1,leba_f2,Spending time outdoors,9,9,0,0.3657375532555729,0.0643187842737754,0.1081174192000192,stable
main__glasses__all_available,15,last_timing_above_250,Last light timing above 250 lx melEDI,2,leba_f3,Using phones and smartwatches in bed before sleep,9,9,1,1.8361124449893669,-0.04412973252059486,0.01769798365428314,direction_unstable
main__glasses__all_available,15,last_timing_above_250,Last light timing above 250 lx melEDI,3,leba_f4,Controlling and using ambient light before bedtime,9,9,4,16.583771207853736,-0.03050336722735899,0.03987311070269617,direction_unstable
main__glasses__all_available,15,last_timing_above_250,Last light timing above 250 lx melEDI,4,leba_f5,Using light in the morning and during daytime,9,9,0,0.9077505219401776,-0.04020125324797941,-0.00258621088010291,direction_stable_magnitude_sensitive
main__glasses__all_available,16,dose_time_sensitive_corrected_medi,melEDI dose,1,leba_f2,Spending time outdoors,9,9,0,0.22925207230661612,0.02115354243585535,0.03339026161110998,stable
main__glasses__all_available,16,dose_time_sensitive_corrected_medi,melEDI dose,2,leba_f3,Using phones and smartwatches in bed before sleep,9,9,0,0.6597708849188937,-0.02364084639755603,-0.00576304729083358,direction_stable_magnitude_sensitive
main__glasses__all_available,16,dose_time_sensitive_corrected_medi,melEDI dose,3,leba_f4,Controlling and using ambient light before bedtime,9,9,0,0.4621252657019996,-0.0204563800092159,-0.00830099711766528,stable
main__glasses__all_available,16,dose_time_sensitive_corrected_medi,melEDI dose,4,leba_f5,Using light in the morning and during daytime,9,9,0,0.4554984177280542,-0.01931592183458403,-0.00785823563434141,stable
main__glasses__all_available,17,mder_mean_of_viable_ratios,Melanopic daylight efficacy ratio,1,leba_f2,Spending time outdoors,9,9,1,1.073547618868156,-7.758335354586143e-5,0.00214688511705229,direction_unstable
main__glasses__all_available,17,mder_mean_of_viable_ratios,Melanopic daylight efficacy ratio,2,leba_f3,Using phones and smartwatches in bed before sleep,9,9,0,0.8488015954060575,-0.00207781098598993,-1.8662717816838312e-4,direction_stable_magnitude_sensitive
main__glasses__all_available,17,mder_mean_of_viable_ratios,Melanopic daylight efficacy ratio,3,leba_f4,Controlling and using ambient light before bedtime,9,9,0,0.6220958542524134,-0.00393727202542579,-9.175510047809824e-4,direction_stable_magnitude_sensitive
main__glasses__all_available,17,mder_mean_of_viable_ratios,Melanopic daylight efficacy ratio,4,leba_f5,Using light in the morning and during daytime,9,9,0,0.2794846202385913,-0.00657209615242708,-0.00390564139289317,stable
