metric_order,metric_id,manuscript_name,factor_order,factor_id,factor_label,effect_type__chest,effect_type__glasses,estimate_model_per_sd__chest,estimate_model_per_sd__glasses,conf_low_model_per_sd__chest,conf_low_model_per_sd__glasses,conf_high_model_per_sd__chest,conf_high_model_per_sd__glasses,estimate_practical_per_sd__chest,estimate_practical_per_sd__glasses,conf_low_practical_per_sd__chest,conf_low_practical_per_sd__glasses,conf_high_practical_per_sd__chest,conf_high_practical_per_sd__glasses,estimate_difference_chest_minus_near_eye,sign_concordant,component_intervals_overlap,stability_class,difference_interval_status
1,interdaily_stability,Interdaily stability,1,leba_f2,Spending time outdoors,odds_ratio,odds_ratio,0.0076206646677659,0.01840653214146581,-0.07916307592718234,-0.06109455801708512,0.09440440526271417,0.09790762230001676,1.0076497758345833,1.018576976511423,0.9238892480638335,0.9407342816019496,1.099004099103156,1.102860900649251,-0.01078586747369991,TRUE,TRUE,direction_and_component_intervals_compatible,deferred: paired participant-cluster interval requires an approved expensive resampling run
1,interdaily_stability,Interdaily stability,2,leba_f3,Using phones and smartwatches in bed before sleep,odds_ratio,odds_ratio,-0.04690976605512327,-0.06089987676233179,-0.13074535058700007,-0.13731357850635023,0.03692581847675354,0.01551382498168666,0.9541734925442982,0.9409174427607248,0.8774411858269536,0.8716968378775976,1.037616046044298,1.0156347890936115,0.01399011070720851,TRUE,TRUE,direction_and_component_intervals_compatible,deferred: paired participant-cluster interval requires an approved expensive resampling run
1,interdaily_stability,Interdaily stability,3,leba_f4,Controlling and using ambient light before bedtime,odds_ratio,odds_ratio,-0.01694158637813769,0.0193630951848234,-0.1040762746428458,-0.06049655380665608,0.0701931018865704,0.09922274417630288,0.9832011152956904,1.0195517757581063,0.9011565594050376,0.9412970129043168,1.07271530460469,1.1043122512885015,-0.03630468156296109,FALSE,TRUE,direction_differs,deferred: paired participant-cluster interval requires an approved expensive resampling run
1,interdaily_stability,Interdaily stability,4,leba_f5,Using light in the morning and during daytime,odds_ratio,odds_ratio,0.0627420676739659,0.08992666420485822,-0.02771960483656262,0.00806660841695162,0.15320374018449442,0.17178671999276482,1.0647521698059583,1.09409404450633,0.9726610580251442,1.0080992311619337,1.1655624266569429,1.187424552287884,-0.02718459653089232,TRUE,TRUE,direction_and_component_intervals_compatible,deferred: paired participant-cluster interval requires an approved expensive resampling run
2,intradaily_variability,Intradaily variability,1,leba_f2,Spending time outdoors,difference,difference,-0.03436795063679997,-0.04364896778385645,-0.11308669991624729,-0.12211397472601078,0.04435079864264733,0.03481603915829787,-0.03436795063679997,-0.04364896778385645,-0.11308669991624729,-0.12211397472601078,0.04435079864264733,0.03481603915829787,0.00928101714705648,TRUE,TRUE,direction_and_component_intervals_compatible,deferred: paired participant-cluster interval requires an approved expensive resampling run
2,intradaily_variability,Intradaily variability,2,leba_f3,Using phones and smartwatches in bed before sleep,difference,difference,-0.04009593525589196,-0.02829805637237846,-0.11645193163890252,-0.10477142661252135,0.03626006112711862,0.04817531386776444,-0.04009593525589196,-0.02829805637237846,-0.11645193163890252,-0.10477142661252135,0.03626006112711862,0.04817531386776444,-0.0117978788835135,TRUE,TRUE,direction_and_component_intervals_compatible,deferred: paired participant-cluster interval requires an approved expensive resampling run
2,intradaily_variability,Intradaily variability,3,leba_f4,Controlling and using ambient light before bedtime,difference,difference,0.00802206166608905,-0.02262956140316632,-0.07132482280512661,-0.10178909012399852,0.08736894613730471,0.05652996731766586,0.00802206166608905,-0.02262956140316632,-0.07132482280512661,-0.10178909012399852,0.08736894613730471,0.05652996731766586,0.03065162306925537,FALSE,TRUE,direction_differs,deferred: paired participant-cluster interval requires an approved expensive resampling run
2,intradaily_variability,Intradaily variability,4,leba_f5,Using light in the morning and during daytime,difference,difference,0.06051755815984046,0.06442029333751097,-0.02172567469007013,-0.01762556577379673,0.14276079100975106,0.1464661524488187,0.06051755815984046,0.06442029333751097,-0.02172567469007013,-0.01762556577379673,0.14276079100975106,0.1464661524488187,-0.0039027351776705,TRUE,TRUE,direction_and_component_intervals_compatible,deferred: paired participant-cluster interval requires an approved expensive resampling run
3,daily_geometric_mean_medi,Mean melEDI,1,leba_f2,Spending time outdoors,ratio,ratio,0.01410535584179929,0.01863156627751983,-0.05039579804856381,-0.04248147855015551,0.07860650973216239,0.07974461110519517,1.0330119745591275,1.0438343066609042,0.8904390588622695,0.9068146368774268,1.1984129952093736,1.2015576452473264,-0.00452621043572053,TRUE,TRUE,direction_and_component_intervals_compatible,deferred: paired participant-cluster interval requires an approved expensive resampling run
3,daily_geometric_mean_medi,Mean melEDI,2,leba_f3,Using phones and smartwatches in bed before sleep,ratio,ratio,-0.04904245831110818,-0.0339675046878368,-0.11120783971779202,-0.0931983805721102,0.01312292309557565,0.02526337119643659,0.8932181549972007,0.9247673654229328,0.7740912533489211,0.8068663790584624,1.0306778031206845,1.0598962880932083,-0.01507495362327138,TRUE,TRUE,direction_and_component_intervals_compatible,deferred: paired participant-cluster interval requires an approved expensive resampling run
