frame_id,run_id,placement,placement_label,metric_id,instrument_id,participants,participant_days,observations,sites,derivation_hours,domain,assessment,assessment_basis,evidence
primary__glasses__all_available__first_timing_above_250__MCTQ,primary__glasses__all_available,glasses,Near eye,first_timing_above_250,MCTQ,139,722,722,9,16716.266666666666,Questionnaire scoring,acceptable,Prespecified quantitative or identity rule,Pinned msf_sc/meq aggregates accepted under H09-G4; item-level reconstruction unavailable
primary__glasses__all_available__first_timing_above_250__MCTQ,primary__glasses__all_available,glasses,Near eye,first_timing_above_250,MCTQ,139,722,722,9,16716.266666666666,Join and sample identity,acceptable,Prespecified quantitative or identity rule,139 participants; 722 participant-days; 722 observations; 9 sites; frame hash 09aca8c67d0f33e3561b5251db458fd11ffd0dd6caf4bc37d546714cd30c53a5
primary__glasses__all_available__first_timing_above_250__MCTQ,primary__glasses__all_available,glasses,Near eye,first_timing_above_250,MCTQ,139,722,722,9,16716.266666666666,Site and instrument support,acceptable,Prespecified quantitative or identity rule,minimum site participants 6; minimum within-site predictor range 2.060
primary__glasses__all_available__first_timing_above_250__MCTQ,primary__glasses__all_available,glasses,Near eye,first_timing_above_250,MCTQ,139,722,722,9,16716.266666666666,Clock representation,acceptable,Prespecified quantitative or identity rule,Fixed outcome-specific linear clock support retained
primary__glasses__all_available__first_timing_above_250__MCTQ,primary__glasses__all_available,glasses,Near eye,first_timing_above_250,MCTQ,139,722,722,9,16716.266666666666,Chronotype linearity,acceptable,Prespecified quantitative or identity rule,spline AIC improvement -1.385; maximum anchored departure 0.371 h
primary__glasses__all_available__first_timing_above_250__MCTQ,primary__glasses__all_available,glasses,Near eye,first_timing_above_250,MCTQ,139,722,722,9,16716.266666666666,Response and residual distribution,acceptable,Final author visual adjudication H09-002; quantitative screen retained as not acceptable,Q-Q r 0.955; skewness -0.285; excess kurtosis 4.634; maximum |standardized residual| 4.575; quantitative screen not acceptable; author visual adjudication H09-002 using Figure 2: acceptable
primary__glasses__all_available__first_timing_above_250__MCTQ,primary__glasses__all_available,glasses,Near eye,first_timing_above_250,MCTQ,139,722,722,9,16716.266666666666,Residual heteroscedasticity,acceptable,Final author visual adjudication H09-002; quantitative screen retained as not acceptable,"|Spearman(abs residual, fitted)| 0.175; site residual-SD ratio 2.626; quantitative screen not acceptable; author visual adjudication H09-002 using Figure 2: acceptable"
primary__glasses__all_available__first_timing_above_250__MCTQ,primary__glasses__all_available,glasses,Near eye,first_timing_above_250,MCTQ,139,722,722,9,16716.266666666666,Convergence and Hessian,acceptable,Prespecified quantitative or identity rule,5/5 declared fits converged; 5/5 had a positive-definite Hessian; maximum optimizer gradient 0.000009
primary__glasses__all_available__first_timing_above_250__MCTQ,primary__glasses__all_available,glasses,Near eye,first_timing_above_250,MCTQ,139,722,722,9,16716.266666666666,Singularity and variance,acceptable,Prespecified quantitative or identity rule,isSingular(tolerance = 1e-4) false for 5/5 declared fits
primary__glasses__all_available__first_timing_above_250__MCTQ,primary__glasses__all_available,glasses,Near eye,first_timing_above_250,MCTQ,139,722,722,9,16716.266666666666,Fixed-effect rank,acceptable,Prespecified quantitative or identity rule,fixed-effect model matrices are full rank for 5/5 declared fits
primary__glasses__all_available__first_timing_above_250__MCTQ,primary__glasses__all_available,glasses,Near eye,first_timing_above_250,MCTQ,139,722,722,9,16716.266666666666,Temporal dependence,acceptable,Prespecified quantitative or identity rule,one-day residual correlation -0.092; corCAR1 phi 0.097; slope change 0.004 h
primary__glasses__all_available__first_timing_above_250__MCTQ,primary__glasses__all_available,glasses,Near eye,first_timing_above_250,MCTQ,139,722,722,9,16716.266666666666,Participant influence,acceptable,Prespecified quantitative or identity rule,13 DFBETA flags; 0 sign reversals; 0 material participant-deletion changes; maximum |DFBETA| 0.492
primary__glasses__all_available__first_timing_above_250__MCTQ,primary__glasses__all_available,glasses,Near eye,first_timing_above_250,MCTQ,139,722,722,9,16716.266666666666,Site influence,acceptable,Prespecified quantitative or identity rule,0 leave-site-out sign reversals; 0 material changes; maximum slope change 0.121 h
primary__glasses__all_available__first_timing_above_250__MCTQ,primary__glasses__all_available,glasses,Near eye,first_timing_above_250,MCTQ,139,722,722,9,16716.266666666666,Placement and common sample,acceptable,Prespecified quantitative or identity rule,"Near-eye and chest fits use separately fitted, exactly matched paired/common frames"
primary__glasses__all_available__first_timing_above_250__MCTQ,primary__glasses__all_available,glasses,Near eye,first_timing_above_250,MCTQ,139,722,722,9,16716.266666666666,Prepared-data sensitivity,acceptable,Prespecified quantitative or identity rule,All-available and exact primary/gap common-sample results are estimable
primary__glasses__all_available__first_timing_above_250__MCTQ,primary__glasses__all_available,glasses,Near eye,first_timing_above_250,MCTQ,139,722,722,9,16716.266666666666,Multiplicity,acceptable,Prespecified quantitative or identity rule,Main and interaction tests reproduce complete five-member BH families
primary__glasses__all_available__first_timing_above_250__MEQ,primary__glasses__all_available,glasses,Near eye,first_timing_above_250,MEQ,140,727,727,9,16832.5,Questionnaire scoring,acceptable,Prespecified quantitative or identity rule,Pinned msf_sc/meq aggregates accepted under H09-G4; item-level reconstruction unavailable
primary__glasses__all_available__first_timing_above_250__MEQ,primary__glasses__all_available,glasses,Near eye,first_timing_above_250,MEQ,140,727,727,9,16832.5,Join and sample identity,acceptable,Prespecified quantitative or identity rule,140 participants; 727 participant-days; 727 observations; 9 sites; frame hash a653d075b20ac61bca35541b2f59a8912d278179633922b46087063aa2aeaf5a
primary__glasses__all_available__first_timing_above_250__MEQ,primary__glasses__all_available,glasses,Near eye,first_timing_above_250,MEQ,140,727,727,9,16832.5,Site and instrument support,acceptable,Prespecified quantitative or identity rule,minimum site participants 6; minimum within-site predictor range 1.800
primary__glasses__all_available__first_timing_above_250__MEQ,primary__glasses__all_available,glasses,Near eye,first_timing_above_250,MEQ,140,727,727,9,16832.5,Clock representation,acceptable,Prespecified quantitative or identity rule,Fixed outcome-specific linear clock support retained
