run_id,data_scenario_id,placement,sample_scenario,analytical_role,metric_order,metric_id,analysis_unit,response_family,response_transform,inference_status,production_contract_sha256,approximation,measure,estimate,conf_low,conf_high,bootstrap_successful_used,interval_method,status
main__chest__all_available,main,chest,all_available,complementary_chest,17,mder_mean_of_viable_ratios,participant_day,gaussian,identity,"PRODUCTION - 1,000 successful joint bootstrap refits",b8b93df178fa3ca3bde4e097a8c6c9310787e64e565cc1a62c12bef840cbf11d,lognormal,marginal_r2,0.08428344958398735,0.05567231461426255,0.20543368942763526,1000,joint_parametric_percentile,PASS
main__chest__all_available,main,chest,all_available,complementary_chest,17,mder_mean_of_viable_ratios,participant_day,gaussian,identity,"PRODUCTION - 1,000 successful joint bootstrap refits",b8b93df178fa3ca3bde4e097a8c6c9310787e64e565cc1a62c12bef840cbf11d,lognormal,conditional_r2,0.8857452443231839,0.8622937802023029,0.9106883917400872,1000,joint_parametric_percentile,PASS
main__chest__all_available,main,chest,all_available,complementary_chest,17,mder_mean_of_viable_ratios,participant_day,gaussian,identity,"PRODUCTION - 1,000 successful joint bootstrap refits",b8b93df178fa3ca3bde4e097a8c6c9310787e64e565cc1a62c12bef840cbf11d,lognormal,participant_associated_share,0.8014617947391965,0.6862018434075632,0.8364617296853748,1000,joint_parametric_percentile,PASS
main__chest__all_available,main,chest,all_available,complementary_chest,17,mder_mean_of_viable_ratios,participant_day,gaussian,identity,"PRODUCTION - 1,000 successful joint bootstrap refits",b8b93df178fa3ca3bde4e097a8c6c9310787e64e565cc1a62c12bef840cbf11d,lognormal,site_part_r2,0.07684677048662496,0.04618860526299176,0.18753236221471792,1000,joint_parametric_percentile,PASS
main__chest__all_available,main,chest,all_available,complementary_chest,17,mder_mean_of_viable_ratios,participant_day,gaussian,identity,"PRODUCTION - 1,000 successful joint bootstrap refits",b8b93df178fa3ca3bde4e097a8c6c9310787e64e565cc1a62c12bef840cbf11d,lognormal,photoperiod_part_r2,0.02173593511610319,3.144903975982262e-4,0.08167077619684089,1000,joint_parametric_percentile,PASS
main__chest__all_available,main,chest,all_available,complementary_chest,17,mder_mean_of_viable_ratios,participant_day,gaussian,identity,"PRODUCTION - 1,000 successful joint bootstrap refits",b8b93df178fa3ca3bde4e097a8c6c9310787e64e565cc1a62c12bef840cbf11d,lognormal,latitude_model_marginal_r2,0.0591584719079355,0.014222163371635652,0.14098427636100952,1000,joint_parametric_percentile,PASS
main__chest__all_available,main,chest,all_available,complementary_chest,17,mder_mean_of_viable_ratios,participant_day,gaussian,identity,"PRODUCTION - 1,000 successful joint bootstrap refits",b8b93df178fa3ca3bde4e097a8c6c9310787e64e565cc1a62c12bef840cbf11d,lognormal,latitude_part_r2,0.05158071203125391,0.0051039518025086245,0.12435086657229552,1000,joint_parametric_percentile,PASS
main__chest__all_available,main,chest,all_available,complementary_chest,17,mder_mean_of_viable_ratios,participant_day,gaussian,identity,"PRODUCTION - 1,000 successful joint bootstrap refits",b8b93df178fa3ca3bde4e097a8c6c9310787e64e565cc1a62c12bef840cbf11d,lognormal,unrepresented_share,0.11425475567681607,0.08931160825991274,0.13770621979769712,1000,joint_parametric_percentile,PASS
main__chest__paired_common_sample,main,chest,paired_common_sample,paired_placement_comparison,17,mder_mean_of_viable_ratios,participant_day,gaussian,identity,"PRODUCTION - 1,000 successful joint bootstrap refits",b8b93df178fa3ca3bde4e097a8c6c9310787e64e565cc1a62c12bef840cbf11d,lognormal,marginal_r2,0.29592367022621047,0.2155677986663256,0.4134032919361055,1000,joint_parametric_percentile,PASS
main__chest__paired_common_sample,main,chest,paired_common_sample,paired_placement_comparison,17,mder_mean_of_viable_ratios,participant_day,gaussian,identity,"PRODUCTION - 1,000 successful joint bootstrap refits",b8b93df178fa3ca3bde4e097a8c6c9310787e64e565cc1a62c12bef840cbf11d,lognormal,conditional_r2,0.6407137227209366,0.5717346532914759,0.7127598239223474,1000,joint_parametric_percentile,PASS
main__chest__paired_common_sample,main,chest,paired_common_sample,paired_placement_comparison,17,mder_mean_of_viable_ratios,participant_day,gaussian,identity,"PRODUCTION - 1,000 successful joint bootstrap refits",b8b93df178fa3ca3bde4e097a8c6c9310787e64e565cc1a62c12bef840cbf11d,lognormal,participant_associated_share,0.34479005249472616,0.2439498924629165,0.43039233569955704,1000,joint_parametric_percentile,PASS
main__chest__paired_common_sample,main,chest,paired_common_sample,paired_placement_comparison,17,mder_mean_of_viable_ratios,participant_day,gaussian,identity,"PRODUCTION - 1,000 successful joint bootstrap refits",b8b93df178fa3ca3bde4e097a8c6c9310787e64e565cc1a62c12bef840cbf11d,lognormal,site_part_r2,0.11027606143952604,0.06274368845485004,0.21048036829741168,1000,joint_parametric_percentile,PASS
main__chest__paired_common_sample,main,chest,paired_common_sample,paired_placement_comparison,17,mder_mean_of_viable_ratios,participant_day,gaussian,identity,"PRODUCTION - 1,000 successful joint bootstrap refits",b8b93df178fa3ca3bde4e097a8c6c9310787e64e565cc1a62c12bef840cbf11d,lognormal,photoperiod_part_r2,0.192053139833387,0.10141329498791786,0.2848441124012444,1000,joint_parametric_percentile,PASS
main__chest__paired_common_sample,main,chest,paired_common_sample,paired_placement_comparison,17,mder_mean_of_viable_ratios,participant_day,gaussian,identity,"PRODUCTION - 1,000 successful joint bootstrap refits",b8b93df178fa3ca3bde4e097a8c6c9310787e64e565cc1a62c12bef840cbf11d,lognormal,latitude_model_marginal_r2,0.21852974409492687,0.13229208431277653,0.311377245802037,1000,joint_parametric_percentile,PASS
