view,target,observation,status
1440x1000,complete reader flow,"Full-page review covered all sections from title through provenance; hierarchy, callout, prose, tables, figures, captions, notes, and navigation were coherent.",PASS
1440x1000,page geometry,"Document width remained within the viewport with no horizontal page overflow, clipping, overlap, distortion, or excess whitespace.",PASS
1440x1000,all tables,"All 15 table endpoints were present, contained, ordered correctly, and readable at the desktop viewport.",PASS
1440x1000,all figures,"All eight figure endpoints were present, contained, ordered correctly, and free of failed images.",PASS
1440x1000,site convention,"Submitted site ordering, colours, labels, axes, legends, and symbols were visually coherent; all nine site codes were represented in the page and figure source data.",PASS
708x1000,responsive layout,"Sidebar collapsed as intended; headings, Answer in brief callout, text, links, captions, and navigation wrapped cleanly without horizontal overflow.",PASS
708x1000,tables and figures,"All tables and figures remained contained; no narrow table scroller was generated, so no scroller interaction was required.",PASS
708x1000,diagnostic and sensitivity flow,"Diagnostic figures, placement-matched evidence, gap-timing sensitivity, interpretation, and qualification sections remained readable and correctly sequenced.",PASS
720x500,responsive completion,"The 200-percent-equivalent completion viewport retained a single-column reader flow, hidden sidebar, and readable mobile navigation.",PASS
720x500,all tables,"All 15 tables had client width equal to scroll width, stayed inside the viewport, and generated zero horizontal scrollers.",PASS
720x500,all figures,"All eight report figures stayed inside the viewport; image loading and alt-text checks passed.",PASS
720x500,links and console,"DEV-003, DEV-040, DEV-041, and reciprocal preparation links resolved to the intended dynamic targets; browser warning and error logs were empty.",PASS
170mm,Figure 1,"Age distributions, all retained associations, two site-interaction panels, site colours, labels, axes, legend, and all nine site codes were legible without clipping.",PASS
170mm,Figure 2,"Primary near-eye age-association estimates, independent facet limits including zero, metric label breaks, intervals, and legend were legible without overlap.",PASS
170mm,Figure 3,"Measured-biological-sex association estimates, intervals, labels, legend, and construct-qualified caption were legible without clipping.",PASS
170mm,Figure 4,"Diagnostic acceptance heatmap, status colours, labels, legend, and adjacent assessment table were readable and aligned.",PASS
170mm,Figure 5,"Nine retained age-model residual-versus-fitted and normal Q-Q pairs, independent limits, site colours, labels, and legend were legible.",PASS
170mm,Figure 6,"Two retained measured-biological-sex diagnostic pairs, labels, site colours, legend, and caption were legible without overlap.",PASS
170mm,Figure 7,"Placement-matched age and measured-biological-sex panels, component intervals, identity line, metric-category legend, and qualification note were readable.",PASS
170mm,Figure 8,"Primary versus gap-timing-unaware panels, component intervals, identity line, placement legend, and same-sample note were readable.",PASS
1440x1000,technical integrity,"Zero failed images and zero missing or short alt texts were found; endpoint counts and active navigation matched the accepted report.",PASS
720x500,teardown,"QA viewport was reset, the isolated browser tab was closed, the loopback server exited, lsof found no listener, and the server process query returned no match.",PASS
