"type","position","expected","observed","exact"
"table",1,"tbl-h10-formulas","tbl-h10-formulas",TRUE
"table",2,"tbl-h10-response-contract","tbl-h10-response-contract",TRUE
"table",3,"tbl-h10-multiplicity","tbl-h10-multiplicity",TRUE
"table",4,"tbl-h10-main-results","tbl-h10-main-results",TRUE
"table",5,"tbl-h10-near-age","tbl-h10-near-age",TRUE
"table",6,"tbl-h10-near-sex","tbl-h10-near-sex",TRUE
"table",7,"tbl-h10-chest-age","tbl-h10-chest-age",TRUE
"table",8,"tbl-h10-chest-sex","tbl-h10-chest-sex",TRUE
"table",9,"tbl-h10-supported-interactions","tbl-h10-supported-interactions",TRUE
"table",10,"tbl-h10-site-estimates","tbl-h10-site-estimates",TRUE
"table",11,"tbl-h10-diagnostic-counts","tbl-h10-diagnostic-counts",TRUE
"table",12,"tbl-h10-metric-sensitivities","tbl-h10-metric-sensitivities",TRUE
"table",13,"tbl-h10-current-mder","tbl-h10-current-mder",TRUE
"table",14,"tbl-h10-current-mder-distribution","tbl-h10-current-mder-distribution",TRUE
"table",15,"tbl-h10-stability","tbl-h10-stability",TRUE
"figure",1,"fig-h10-age-site-overview","fig-h10-age-site-overview",TRUE
"figure",2,"fig-h10-age-associations","fig-h10-age-associations",TRUE
"figure",3,"fig-h10-sex-associations","fig-h10-sex-associations",TRUE
"figure",4,"fig-h10-diagnostics","fig-h10-diagnostics",TRUE
"figure",5,"fig-h10-core-diagnostics-age","fig-h10-core-diagnostics-age",TRUE
"figure",6,"fig-h10-core-diagnostics-biological-sex","fig-h10-core-diagnostics-biological-sex",TRUE
"figure",7,"fig-h10-paired-placement","fig-h10-paired-placement",TRUE
"figure",8,"fig-h10-gap-common","fig-h10-gap-common",TRUE
