"path","sha256","bytes","observed_sha256","observed_bytes","exact"
"notebooks/hypotheses/H10.qmd","0cf302f74c482168c5f5d4c640bbc6a80ef451333f7d76f3c3be204ac1b5f64d",49224,"0cf302f74c482168c5f5d4c640bbc6a80ef451333f7d76f3c3be204ac1b5f64d",49224,TRUE
"tests/hypotheses/H10/test_h10_stage3_reader_report.R","dac8e70f9389bac48bfb91fd0640f86b3a65e468d52aa2dbb37a63d9aa0303af",25803,"dac8e70f9389bac48bfb91fd0640f86b3a65e468d52aa2dbb37a63d9aa0303af",25803,TRUE
"audit/hypotheses/H10/H10_analysis_preparation.qmd","706fe46f293bd09bfd3cb75c14bc3082410a452acfff666d76219f266fded1a6",58446,"706fe46f293bd09bfd3cb75c14bc3082410a452acfff666d76219f266fded1a6",58446,TRUE
"tests/hypotheses/H10/test_h10_preparation_report.R","15d20f3c3fe4d5387eb64152479d07ea0e94b397b27b0a7b59b3d41c7a1924c4",15201,"15d20f3c3fe4d5387eb64152479d07ea0e94b397b27b0a7b59b3d41c7a1924c4",15201,TRUE
"_build/nathealth/notebooks/hypotheses/H10.html","37d5ffb4b5e33f23690e222c90ac6c26b70a222298c7c631005d41e3db4bee14",359702,"37d5ffb4b5e33f23690e222c90ac6c26b70a222298c7c631005d41e3db4bee14",359702,TRUE
"_build/nathealth/audit/hypotheses/H10/H10_analysis_preparation.html","efd4c91f970040cf551c5d7a8ad2cb8026f36e8413c6f4846882b4c7111521d8",617113,"efd4c91f970040cf551c5d7a8ad2cb8026f36e8413c6f4846882b4c7111521d8",617113,TRUE
"audit/hypotheses/H10/H10_analysis_preparation.html","efd4c91f970040cf551c5d7a8ad2cb8026f36e8413c6f4846882b4c7111521d8",617113,"efd4c91f970040cf551c5d7a8ad2cb8026f36e8413c6f4846882b4c7111521d8",617113,TRUE
"_quarto-nathealth.yml","80dd05573b6c764272d0d0aa1c82571bdaab3cb2bee9ee34441e2456318708e3",7480,"80dd05573b6c764272d0d0aa1c82571bdaab3cb2bee9ee34441e2456318708e3",7480,TRUE
"renv.lock","3bf99c633fb123626eb14d29f0847b91f71030c92e90331fe401e3204bca8350",603493,"3bf99c633fb123626eb14d29f0847b91f71030c92e90331fe401e3204bca8350",603493,TRUE
"audit/report_harmonization/phase4_corpus_manifest.csv","73f1a371f8352f1baf69d38f1613de1a662112642370b0cc89798b4d6d469334",11937,"73f1a371f8352f1baf69d38f1613de1a662112642370b0cc89798b4d6d469334",11937,TRUE
"artifacts/12_manifests/H10/H10_stage3_artifacts.csv","b556d9fdb19eeda766414bab30420846ee5c46138e9d7861f61e92da7516683e",147622,"b556d9fdb19eeda766414bab30420846ee5c46138e9d7861f61e92da7516683e",147622,TRUE
"artifacts/12_manifests/H10/H10_preparation_report_manifest.csv","091c2661020dce63826ea7a21745dd3a1328681f343ba256b04f852b9fef518c",170241,"091c2661020dce63826ea7a21745dd3a1328681f343ba256b04f852b9fef518c",170241,TRUE
"notebooks/hypotheses/H11.qmd","7909ba06782c84223197ab7fcd16493d7ee6e6d8b63c750aa81f17cb97977867",57462,"7909ba06782c84223197ab7fcd16493d7ee6e6d8b63c750aa81f17cb97977867",57462,TRUE
"artifacts/06_model_data/normalized_inputs/demographics.rds","a11d0ff6615b51dbaa0be8c0790c1ea550750d9f1d4d7e8893609803f269dadf",2824,"a11d0ff6615b51dbaa0be8c0790c1ea550750d9f1d4d7e8893609803f269dadf",2824,TRUE
"artifacts/06_model_data/H10/H10_model_frames.rds","2d1c9119409c908f6890062c46827698aff19b12c3bcc93ce15cb37b28b8a6e7",381924,"2d1c9119409c908f6890062c46827698aff19b12c3bcc93ce15cb37b28b8a6e7",381924,TRUE
"artifacts/07_models/H10/H10_model_manifest.csv","9ce9c4153d38122398c259ed9bec013ac91afd99a8f90b70a919390321c3baae",258608,"9ce9c4153d38122398c259ed9bec013ac91afd99a8f90b70a919390321c3baae",258608,TRUE
"audit/hypotheses/H10/01_audit_and_plan.qmd","cc3faa888ba932a7346e89463435b55608529045ad33111be6a5b57a6480cac4",70297,"cc3faa888ba932a7346e89463435b55608529045ad33111be6a5b57a6480cac4",70297,TRUE
