"domain","check_id","pass","detail"
"identity","fixed_sources_outputs_inputs",TRUE,"exact=17/17"
"semantic_dom","tables_figures_ids_headers",TRUE,"tables=15 figures=8 duplicate_ids=0 header_tokens=1038"
"content","scientific_and_construct_contract",TRUE,"required_science=17/17 rendered_country_sites=8/8 source_country_sites=9/9 false_phrases=0"
"render_integrity","no_errors_warnings_unresolved_and_active_navigation",TRUE,"error_nodes=0 unresolved_text=FALSE active_nav=2"
"links","source_and_rendered_links_resolve",TRUE,"source=26/24 rendered=26/24"
"historical_manifest","exact_six_transitions_and_live_test",TRUE,"_build/nathealth/notebooks/hypotheses/H10.html|_quarto-nathealth.yml|audit/hypotheses/H10/H10_analysis_preparation.qmd|notebooks/hypotheses/H10.qmd|tests/hypotheses/H10/test_h10_preparation_report.R|tests/hypotheses/H10/test_h10_stage3_reader_report.R"
"science","fifty_seven_assets",TRUE,"exact=57/57"
"build","exact_three_historical_transitions_and_no_symlinks",TRUE,"entries=1180 delta=3 symlinks=0"
"protected","one_test_transition_other_149_exact",TRUE,"checker correction PASS: rows=150 transitions=1, named-index metadata removed"
"qa_harness","safe_route_figures_alts_and_readability",TRUE,"figures=8 alt_min=405 essential_min=5.696 central_min=7.120"
