"domain","check_id","pass","detail"
"dispatch","all_non_matrix_members",TRUE,"exact=33/33"
"dispatch","released_coordination_matrix",TRUE,"active_order58a_h10_no_rerender_result_completion"
"stopped_acceptance","owner_manifest",TRUE,"exact=13/13"
"stopped_acceptance","independent_manifest",TRUE,"exact=21/21"
"test_transition","sole_literal_postimage_and_reverse",TRUE,"old_count=1 post=dac8e70f9389bac48bfb91fd0640f86b3a65e468d52aa2dbb37a63d9aa0303af/25803 reverse=TRUE"
"test_transition","postimage_parses",TRUE,"R parse without execution"
"semantic","external_evidence",TRUE,"summary and 1,130-row ledger exact"
"science","fifty_seven_assets",TRUE,"exact=57/57"
"build","preserved_three_path_delta",TRUE,"entries=1180 delta=3 symlinks=0"
"protected","all_150_preimages_exact",TRUE,"exact=150/150"
