"id","level","text"
"sec-brown-main-results",2,"Main analysis: adherence across Work and Free days"
"question-and-measurement",3,"Question and measurement"
"model-and-exact-samples",3,"Model and exact samples"
"main-window-day-type-and-site-findings",3,"Main window, day-type, and site findings"
"endpoint-calibration-and-coverage-sensitivity",3,"Endpoint calibration and coverage sensitivity"
"retained-random-effect-and-descriptive-decomposition",3,"Retained random effect and descriptive decomposition"
"complementary-chest-measurements",3,"Complementary chest measurements"
"grouping-and-other-sensitivity-analyses",3,"Grouping and other sensitivity analyses"
"main-analysis-limitations",3,"Main-analysis limitations"
"sec-brown-cross-state",2,"Exploratory within- and between-participant associations"
"what-was-compared",3,"What was compared"
"participant-profiles-across-recommendation-windows",3,"Participant profiles across recommendation windows"
"adjusted-cross-state-associations",3,"Adjusted within- and between-participant associations"
"day-level-question",4,"Within-participant question"
"participant-level-question",4,"Between-participant question"
"descriptive-daytime-cycle-groups-not-participant-rankings",3,"Descriptive Daytime-cycle groups, not participant rankings"
"model-checks-and-sensitivity-analyses",3,"Model checks and sensitivity analyses"
"cross-state-interpretation-and-limitations",3,"Within- and between-participant interpretation and limitations"
"integrated-interpretation",2,"Integrated interpretation"
"sec-brown-provenance",2,"Detailed methods and provenance"
