metric_order,metric_id,manuscript_name,abbreviation,predictor,placement,standardized_estimate_gap_timing_unaware,standardized_estimate_primary,standardized_conf_low_gap_timing_unaware,standardized_conf_low_primary,standardized_conf_high_gap_timing_unaware,standardized_conf_high_primary,participants_gap_timing_unaware,participants_primary,participant_days_gap_timing_unaware,participant_days_primary,row_key_hash_gap_timing_unaware,row_key_hash_primary,placement_label,predictor_label
1,interdaily_stability,Interdaily stability,IS,age,chest,0.08590605721209817,0.10063607967989088,-0.08038443465435216,-0.0661999789470544,0.25219654907854844,0.26747213830683614,153,153,,,5c25faa1e3c1fffecd29b62392cac80ab592269f55bfbf77460d7078447b243f,2f89e43a8768a2387807ae3b612ab4f2b9947d4fdbb0b38141c6b86b1ecdc853,Chest,Age per 10 years
2,intradaily_variability,Intradaily variability,IV,age,chest,-0.1207294310823976,-0.10953589856670908,-0.28457792273297366,-0.2706511539487967,0.04311906056817848,0.05157935681537858,153,153,,,0699dc8eba9acc9aa9a0b9720262d7c2ffd229dc2178f16b01bb4014cc82bb7a,e3afc75122d7cab8c1a76441c8c4d8d6363e5e54760bf9ddbc779dabb79f22f8,Chest,Age per 10 years
3,daily_geometric_mean_medi,Mean melEDI,Mean,age,chest,0.14827435643588752,0.14639090229504184,0.04145530123853288,0.03978030695108577,0.2550934116332422,0.25300149763899793,154,154,894,894,159d7eaf43c98a61e8f64fbffb71c7d5e9de739223fc9f1ec8f787c1a1f9daba,078e684ca0fd6c790c239a473962386b1ee741c6df951e251302d91ebea110a6,Chest,Age per 10 years
4,m10_mean_medi,Brightest 10 h mean,M10mean,age,chest,0.19322145476523664,0.18663715928083727,0.09685566860832943,0.08987198520637807,0.28958724092214383,0.28340233335529647,154,154,894,894,56ee6efce25a05ca2b3521788511d3c6318fb5d299595e96a33d7a8ee0187ae8,391051c9b037517bb68c53dddb8f1c52bfa81e02131c5f2373106399c67144d6,Chest,Age per 10 years
5,l10_mean_medi,Darkest 10 h mean,L10mean,age,chest,-0.08490651692553614,-0.08985338355835416,-0.19907815853155644,-0.20431459075655645,0.02926512468048417,0.02460782363984813,154,154,894,894,e24ba781f35e8597ed5689cfc3d276f343f6d2b1c20527d975ccee040a53a8c0,4190a1292bcde2ac38cf896196dce5023ddcbf11bd61d41726fce15ff8068c34,Chest,Age per 10 years
6,duration_above_1000,"Time above 1,000 lx melEDI",TAT1000,age,chest,0.18789554759421576,0.1843293679631696,0.11468100748019748,0.11197809691136752,0.261110087708234,0.25668063901497173,154,154,894,894,136c059504189a589ef8f65f0d96a0717f70f14f9232e92b431a4b3cc520f142,74a6336f860a2b6a737ec2d5ef893435700ad86a99865d8a76e3731edad032dc,Chest,Age per 10 years
7,duration_above_250_wake,Time above 250 lx melEDI during wake,TAT250,age,chest,0.06574615287147204,0.06435899827229287,0.02740370518926418,0.02626447957179761,0.10408860055367988,0.10245351697278816,153,153,800,800,f13b28f7820e2a4bdb5946974739754d71c28a146ebe2c3fdec5851c285ba98c,fd923d4bb88360078fa7606c81f490011ef16013de724d5870a4adc4af53cab9,Chest,Age per 10 years
8,duration_below_10_pre_sleep,Time below 10 lx melEDI before sleep,TBT10,age,chest,-0.10487853283368384,-0.10616384052097624,-0.21358353654885895,-0.2149089271347801,0.00382647088149126,0.00258124609282764,153,153,740,740,80fa32021b16e8b66b85d9fcc7241a35dde78b5d8d11b3e431bf0c9a1584567b,5c675bb2df82ac5bc747555401689b13942e287f0720980363f8559b089f3b2a,Chest,Age per 10 years
9,duration_below_1_sleep_environment,Time below 1 lx melEDI during sleep,TBT1,age,chest,0.00632256826516021,0.0068985010395372,-0.00852522230522151,-0.00794632823265114,0.02117035883554194,0.02174333031172556,154,154,853,853,1f93c6edbe7f312798c7800d9e66c57088d823d12b38beb644aa4aa78cb12e0d,ee0052b2617083b43fbbb9bc4e47b1182cdd711b6efa053a842878701dd057ef,Chest,Age per 10 years
10,longest_bout_above_250,Longest continuous period above 250 lx melEDI,PAT250,age,chest,0.18721679295429075,0.1907461436797633,0.0922092916138928,0.09739653948015804,0.2822242942946887,0.2840957478793686,154,154,894,894,c2cbf9ee4e9f42f6d4dcd3d52d9fb0b0f90f6da0763f0401c6b77033d9e784f0,49076d3f3884d5457bbe65ecbb35cddc66a7eb2442254b8c1ef7b0a4b69a3f5f,Chest,Age per 10 years
