placement,placement_label,metric_order,metric_id,manuscript_name,analysis_unit,analysis_unit_label,display_unit,observations,base_rows,retention_fraction,rows_not_fitted,participants,participant_days,contributing_participant_days,metric_support_valid_hours,metric_support_expected_hours,sites,female_participants,male_participants,age_min,age_max,row_key_hash,model_frame_sha256
glasses,Near eye (primary),1,interdaily_stability,Interdaily stability,participant,Participant-level metrics,dimensionless,141,141,1,0,141,,816,18851,19586,9,79,62,18,68,58a8ff2913084416841d41b75976d86d997b70c3a073f140be229977caac4a2a,07ad91bef23896a17d96d5529777f3b553c17ea2ac79b0a55b759d35459b03b8
chest,Chest (complementary),1,interdaily_stability,Interdaily stability,participant,Participant-level metrics,dimensionless,153,154,0.9935064935064936,1,153,,900,20845.366666666665,21600,8,85,68,18,68,9b76d6ab4e30144c9a78262ea19176bf590d9eaf2c5ce6f3c4ce391f323e6aec,1b0a2e4d466388acce1a124490f0e54281c6bc77d63969f6fc9c47606f65a2bb
glasses,Near eye (primary),2,intradaily_variability,Intradaily variability,participant,Participant-level metrics,dimensionless,141,141,1,0,141,,816,18851,19586,9,79,62,18,68,c1f06e750ec770494000c47c1b4b03cb7078ec59006ca3fd5fe11cbb51f1ad23,cd74d9d027ffb871efce056d15321a493fe11014f55895f8030be5a98317d195
chest,Chest (complementary),2,intradaily_variability,Intradaily variability,participant,Participant-level metrics,dimensionless,153,154,0.9935064935064936,1,153,,900,20845.366666666665,21600,8,85,68,18,68,038240c200a326c2e5b55e7d732fecc32cd5274fd5aa6593c720eef1536bbb2e,3e08662477e1ee7a9a197fb1165b77b0289e283e559c0218f040fef22e435c76
glasses,Near eye (primary),3,daily_geometric_mean_medi,Mean melEDI,participant_day,Participant-day metrics,lx,816,816,1,0,141,816,816,18851,19586,9,79,62,18,68,a336a7b3ab268491ea61d5986cce72ed0c8e213babc576661dfb27f8f4ff7ca3,a1dca0b6cf9d78a9caaa8a261323114d27bd9d503bdd9cc5670c5f4e03c6628f
chest,Chest (complementary),3,daily_geometric_mean_medi,Mean melEDI,participant_day,Participant-day metrics,lx,902,902,1,0,154,902,902,20891.75,21648,8,86,68,18,68,86cc54016691381422c144dc096eb459d03ae7a2a576c283c64fec4cf2f0db47,7c610b15ea478770aee2e431898c2dc80cc1441283ac4e11b9314ff4990c4c85
glasses,Near eye (primary),4,m10_mean_medi,Brightest 10 h mean,participant_day,Participant-day metrics,lx,816,816,1,0,141,816,816,,,9,79,62,18,68,c3f1f409f577782aa98aabb79f7d10e6a3eb3a6fd772f232803623f4bdb05cb2,ed56f0f3552c5ecd10c9153ad5a7661b98e8b1f396e3b251bcaeba45ce9d488f
chest,Chest (complementary),4,m10_mean_medi,Brightest 10 h mean,participant_day,Participant-day metrics,lx,902,902,1,0,154,902,902,,,8,86,68,18,68,d133680a2447895a08bb8ba2d182cbd5785ed7857182be316f316e1a20bb0be6,7b6a32de5a94a6d9e75d4ebd7222d9b357d028c8f5f48c0a09645b3959f18d36
glasses,Near eye (primary),5,l10_mean_medi,Darkest 10 h mean,participant_day,Participant-day metrics,lx,816,816,1,0,141,816,816,,,9,79,62,18,68,56a1d8b93dd7e030bf3e8649d242aa950943f7e79da287075d9e616a7633cbff,f212d7073a671a2bc7dfa95d2165a89feaa6f23c1a34106979949e0853a5b826
chest,Chest (complementary),5,l10_mean_medi,Darkest 10 h mean,participant_day,Participant-day metrics,lx,902,902,1,0,154,902,902,,,8,86,68,18,68,5bb6b00e1e79caebb61ebd2c99691168a1f41ccddbac2545377d9c2635b4e292,388ed674fbba426569134ff880af96b6eaa3eb18e2ca7d0346fb4a3c9beece2b
