run_order,run_id,data_scenario_id,reader_scenario,placement,placement_label,sample_scenario,analytical_role,inferential_run,metric_order,metric_id,manuscript_name,response_family,response_transform,effect_scale,model_name,formula,engine,observations,log_likelihood,aic,warnings,error,fit_status,converged,positive_definite_hessian,singular,max_gradient,convergence_message,fixed_columns,fixed_rank,fixed_full_rank,fixed_condition_number
1,main__glasses__all_available,main,Primary dataset,glasses,Near eye,all_available,primary_near_eye,TRUE,1,daily_geometric_mean_medi,Mean melEDI,gaussian,log10_offset_0.1,ratio,additive,response_value ~ site + VLSQ8_c + (1 | site:Id),lmerMod,816,-280.8005052298379,585.6010104596758,,,FITTED,TRUE,TRUE,FALSE,3.524291969370097e-8,,10,10,TRUE,26.82146151158737
1,main__glasses__all_available,main,Primary dataset,glasses,Near eye,all_available,primary_near_eye,TRUE,1,daily_geometric_mean_medi,Mean melEDI,gaussian,log10_offset_0.1,ratio,interaction,response_value ~ site * VLSQ8_c + (1 | site:Id),lmerMod,816,-277.47247457974777,594.9449491594955,,,FITTED,TRUE,TRUE,FALSE,3.262925929448102e-5,,18,18,TRUE,36.19862529401286
1,main__glasses__all_available,main,Primary dataset,glasses,Near eye,all_available,primary_near_eye,TRUE,1,daily_geometric_mean_medi,Mean melEDI,gaussian,log10_offset_0.1,ratio,site_only,response_value ~ site + (1 | site:Id),lmerMod,816,-281.85064097054243,585.7012819410849,,,FITTED,TRUE,TRUE,FALSE,4.831690603168681e-8,,9,9,TRUE,4.937462263449516
1,main__glasses__all_available,main,Primary dataset,glasses,Near eye,all_available,primary_near_eye,TRUE,2,m10_mean_medi,Brightest 10 h mean,gaussian,log10_offset_0.1,ratio,additive,response_value ~ site + VLSQ8_c + (1 | site:Id),lmerMod,816,-694.680945527704,1413.361891055408,,,FITTED,TRUE,TRUE,FALSE,2.5703457140480168e-5,,10,10,TRUE,26.82146151158737
1,main__glasses__all_available,main,Primary dataset,glasses,Near eye,all_available,primary_near_eye,TRUE,2,m10_mean_medi,Brightest 10 h mean,gaussian,log10_offset_0.1,ratio,interaction,response_value ~ site * VLSQ8_c + (1 | site:Id),lmerMod,816,-689.8094512115082,1419.6189024230164,,,FITTED,TRUE,TRUE,FALSE,2.2768062990508042e-5,,18,18,TRUE,36.19862529401286
1,main__glasses__all_available,main,Primary dataset,glasses,Near eye,all_available,primary_near_eye,TRUE,2,m10_mean_medi,Brightest 10 h mean,gaussian,log10_offset_0.1,ratio,site_only,response_value ~ site + (1 | site:Id),lmerMod,816,-696.3093375466581,1414.6186750933161,,,FITTED,TRUE,TRUE,FALSE,1.074795363820158e-5,,9,9,TRUE,4.937462263449516
1,main__glasses__all_available,main,Primary dataset,glasses,Near eye,all_available,primary_near_eye,TRUE,3,l10_mean_medi,Darkest 10 h mean,gaussian,log10_offset_0.1,ratio,additive,response_value ~ site + VLSQ8_c + (1 | site:Id),lmerMod,816,-29.395872876117586,82.79174575223517,,,FITTED,TRUE,TRUE,FALSE,9.744738349581894e-6,,10,10,TRUE,26.82146151158737
1,main__glasses__all_available,main,Primary dataset,glasses,Near eye,all_available,primary_near_eye,TRUE,3,l10_mean_medi,Darkest 10 h mean,gaussian,log10_offset_0.1,ratio,interaction,response_value ~ site * VLSQ8_c + (1 | site:Id),lmerMod,816,-25.258114259799456,90.51622851959891,,,FITTED,TRUE,TRUE,FALSE,1.80040871100573e-5,,18,18,TRUE,36.19862529401286
1,main__glasses__all_available,main,Primary dataset,glasses,Near eye,all_available,primary_near_eye,TRUE,3,l10_mean_medi,Darkest 10 h mean,gaussian,log10_offset_0.1,ratio,site_only,response_value ~ site + (1 | site:Id),lmerMod,816,-29.52448647422363,81.04897294844726,,,FITTED,TRUE,TRUE,FALSE,1.3872735848963202e-4,,9,9,TRUE,4.937462263449516
1,main__glasses__all_available,main,Primary dataset,glasses,Near eye,all_available,primary_near_eye,TRUE,4,duration_above_1000,"Time above 1,000 lx melEDI",tweedie_log,identity,ratio,additive,response_value ~ site + VLSQ8_c + (1 | site:Id),glmmTMB,816,-1113.5513303033945,2253.102660606789,,,FITTED,TRUE,TRUE,FALSE,,,10,10,TRUE,26.82146151158737
1,main__glasses__all_available,main,Primary dataset,glasses,Near eye,all_available,primary_near_eye,TRUE,4,duration_above_1000,"Time above 1,000 lx melEDI",tweedie_log,identity,ratio,interaction,response_value ~ site * VLSQ8_c + (1 | site:Id),glmmTMB,816,-1109.0689892950802,2260.1379785901604,,,FITTED,TRUE,TRUE,FALSE,,,18,18,TRUE,36.19862529401286
1,main__glasses__all_available,main,Primary dataset,glasses,Near eye,all_available,primary_near_eye,TRUE,4,duration_above_1000,"Time above 1,000 lx melEDI",tweedie_log,identity,ratio,site_only,response_value ~ site + (1 | site:Id),glmmTMB,816,-1115.3838608851372,2254.7677217702744,,,FITTED,TRUE,TRUE,FALSE,,,9,9,TRUE,4.937462263449516
1,main__glasses__all_available,main,Primary dataset,glasses,Near eye,all_available,primary_near_eye,TRUE,5,duration_above_250_wake,Time above 250 lx melEDI during wake,tweedie_log,identity,ratio,additive,response_value ~ site + VLSQ8_c + (1 | site:Id),glmmTMB,737,-1506.5527576966324,3039.105515393265,,,FITTED,TRUE,TRUE,FALSE,,,10,10,TRUE,26.704126995528892
1,main__glasses__all_available,main,Primary dataset,glasses,Near eye,all_available,primary_near_eye,TRUE,5,duration_above_250_wake,Time above 250 lx melEDI during wake,tweedie_log,identity,ratio,interaction,response_value ~ site * VLSQ8_c + (1 | site:Id),glmmTMB,737,-1504.52245152391,3051.04490304782,,,FITTED,TRUE,TRUE,FALSE,,,18,18,TRUE,38.222187350040294
1,main__glasses__all_available,main,Primary dataset,glasses,Near eye,all_available,primary_near_eye,TRUE,5,duration_above_250_wake,Time above 250 lx melEDI during wake,tweedie_log,identity,ratio,site_only,response_value ~ site + (1 | site:Id),glmmTMB,737,-1508.276759648441,3040.553519296882,,,FITTED,TRUE,TRUE,FALSE,,,9,9,TRUE,4.83787922546233
1,main__glasses__all_available,main,Primary dataset,glasses,Near eye,all_available,primary_near_eye,TRUE,6,duration_below_10_pre_sleep,Time below 10 lx melEDI before sleep,gaussian,identity,difference,additive,response_value ~ site + VLSQ8_c + (1 | site:Id),lmerMod,655,-887.5458141453925,1799.091628290785,,,FITTED,TRUE,TRUE,FALSE,2.091837814077735e-7,,10,10,TRUE,27.58811229542624
1,main__glasses__all_available,main,Primary dataset,glasses,Near eye,all_available,primary_near_eye,TRUE,6,duration_below_10_pre_sleep,Time below 10 lx melEDI before sleep,gaussian,identity,difference,interaction,response_value ~ site * VLSQ8_c + (1 | site:Id),lmerMod,655,-880.5068690397783,1801.0137380795566,,,FITTED,TRUE,TRUE,FALSE,1.7246293282369152e-6,,18,18,TRUE,41.57753524649359
1,main__glasses__all_available,main,Primary dataset,glasses,Near eye,all_available,primary_near_eye,TRUE,6,duration_below_10_pre_sleep,Time below 10 lx melEDI before sleep,gaussian,identity,difference,site_only,response_value ~ site + (1 | site:Id),lmerMod,655,-888.0244342065799,1798.0488684131599,,,FITTED,TRUE,TRUE,FALSE,1.0174971976084635e-6,,9,9,TRUE,5.042676946957255
1,main__glasses__all_available,main,Primary dataset,glasses,Near eye,all_available,primary_near_eye,TRUE,7,duration_below_1_sleep_environment,Time below 1 lx melEDI during sleep,tweedie_log,identity,ratio,additive,response_value ~ site + VLSQ8_c + (1 | site:Id),glmmTMB,778,-1586.3254899830315,3198.650979966063,,,FITTED,TRUE,TRUE,FALSE,,,10,10,TRUE,26.818640738763875
1,main__glasses__all_available,main,Primary dataset,glasses,Near eye,all_available,primary_near_eye,TRUE,7,duration_below_1_sleep_environment,Time below 1 lx melEDI during sleep,tweedie_log,identity,ratio,interaction,response_value ~ site * VLSQ8_c + (1 | site:Id),glmmTMB,778,-1583.2582710592112,3208.5165421184224,,,FITTED,TRUE,TRUE,FALSE,,,18,18,TRUE,36.1183713188738
1,main__glasses__all_available,main,Primary dataset,glasses,Near eye,all_available,primary_near_eye,TRUE,7,duration_below_1_sleep_environment,Time below 1 lx melEDI during sleep,tweedie_log,identity,ratio,site_only,response_value ~ site + (1 | site:Id),glmmTMB,778,-1586.3329924265947,3196.6659848531895,,,FITTED,TRUE,TRUE,FALSE,,,9,9,TRUE,4.889669598472265
1,main__glasses__all_available,main,Primary dataset,glasses,Near eye,all_available,primary_near_eye,TRUE,8,longest_bout_above_250,Longest continuous period above 250 lx melEDI,gaussian,log10_offset_0.1,ratio,additive,response_value ~ site + VLSQ8_c + (1 | site:Id),lmerMod,816,-320.0024256419596,664.0048512839192,,,FITTED,TRUE,TRUE,FALSE,8.548113328288309e-5,,10,10,TRUE,26.82146151158737
1,main__glasses__all_available,main,Primary dataset,glasses,Near eye,all_available,primary_near_eye,TRUE,8,longest_bout_above_250,Longest continuous period above 250 lx melEDI,gaussian,log10_offset_0.1,ratio,interaction,response_value ~ site * VLSQ8_c + (1 | site:Id),lmerMod,816,-317.4580430353819,674.9160860707638,,,FITTED,TRUE,TRUE,FALSE,1.1031602298317011e-5,,18,18,TRUE,36.19862529401286
1,main__glasses__all_available,main,Primary dataset,glasses,Near eye,all_available,primary_near_eye,TRUE,8,longest_bout_above_250,Longest continuous period above 250 lx melEDI,gaussian,log10_offset_0.1,ratio,site_only,response_value ~ site + (1 | site:Id),lmerMod,816,-321.4141959036759,664.8283918073517,,,FITTED,TRUE,TRUE,FALSE,1.5791101759532467e-6,,9,9,TRUE,4.937462263449516
1,main__glasses__all_available,main,Primary dataset,glasses,Near eye,all_available,primary_near_eye,TRUE,9,dose_time_sensitive_corrected_medi,melEDI dose,gaussian,log10_offset_0.1,ratio,additive,response_value ~ site + VLSQ8_c + (1 | site:Id),lmerMod,761,-694.1665194340939,1412.3330388681877,,,FITTED,TRUE,TRUE,FALSE,9.487166607868858e-6,,10,10,TRUE,26.825104526123546
1,main__glasses__all_available,main,Primary dataset,glasses,Near eye,all_available,primary_near_eye,TRUE,9,dose_time_sensitive_corrected_medi,melEDI dose,gaussian,log10_offset_0.1,ratio,interaction,response_value ~ site * VLSQ8_c + (1 | site:Id),lmerMod,761,-690.5516415611231,1421.1032831222462,,,FITTED,TRUE,TRUE,FALSE,1.531361704110168e-6,,18,18,TRUE,37.877144770758846
1,main__glasses__all_available,main,Primary dataset,glasses,Near eye,all_available,primary_near_eye,TRUE,9,dose_time_sensitive_corrected_medi,melEDI dose,gaussian,log10_offset_0.1,ratio,site_only,response_value ~ site + (1 | site:Id),lmerMod,761,-696.0699815614781,1414.1399631229563,,,FITTED,TRUE,TRUE,FALSE,3.410605131648481e-7,,9,9,TRUE,4.924694350942447
2,main__chest__all_available,main,Primary dataset,chest,Chest,all_available,complementary_chest,TRUE,1,daily_geometric_mean_medi,Mean melEDI,gaussian,log10_offset_0.1,ratio,additive,response_value ~ site + VLSQ8_c + (1 | site:Id),lmerMod,902,-403.52979014658104,829.0595802931621,,,FITTED,TRUE,TRUE,FALSE,9.373479770147242e-6,,9,9,TRUE,20.846068973702927
2,main__chest__all_available,main,Primary dataset,chest,Chest,all_available,complementary_chest,TRUE,1,daily_geometric_mean_medi,Mean melEDI,gaussian,log10_offset_0.1,ratio,interaction,response_value ~ site * VLSQ8_c + (1 | site:Id),lmerMod,902,-395.9243302457295,827.848660491459,,,FITTED,TRUE,TRUE,FALSE,1.6412400327681098e-5,,16,16,TRUE,22.22073086489898
2,main__chest__all_available,main,Primary dataset,chest,Chest,all_available,complementary_chest,TRUE,1,daily_geometric_mean_medi,Mean melEDI,gaussian,log10_offset_0.1,ratio,site_only,response_value ~ site + (1 | site:Id),lmerMod,902,-404.27387345736605,828.5477469147321,,,FITTED,TRUE,TRUE,FALSE,8.124061423586681e-6,,8,8,TRUE,3.878694716604537
2,main__chest__all_available,main,Primary dataset,chest,Chest,all_available,complementary_chest,TRUE,2,m10_mean_medi,Brightest 10 h mean,gaussian,log10_offset_0.1,ratio,additive,response_value ~ site + VLSQ8_c + (1 | site:Id),lmerMod,902,-854.7705912400227,1731.5411824800453,,,FITTED,TRUE,TRUE,FALSE,1.9736035028472543e-6,,9,9,TRUE,20.846068973702927
