"sample_id","analysis_state","predictor","pairs","pearson_residual_correlation","quantile_residual_correlation"
"temporal_ANY","Sleep environment","conditional_mean",771,0.150913054851766,0.192635782986004
"temporal_ANY","Wake outside the three hours before sleep","conditional_mean",761,0.219490666543706,0.233256478103685
"temporal_ANY","Pre-sleep","conditional_mean",766,0.315084151853823,0.297523834201924
"temporal_ANY","Sleep environment","exact_zero_probability",771,-0.404060155910251,-0.206217407211026
"temporal_ANY","Wake outside the three hours before sleep","exact_zero_probability",761,-0.129595347617448,-0.199210215429859
"temporal_ANY","Pre-sleep","exact_zero_probability",766,-0.104069096582167,-0.109307948539255
"temporal_ANY","Sleep environment","exact_one_probability",771,0.0730537006385035,0.125271150030824
"temporal_ANY","Wake outside the three hours before sleep","exact_one_probability",761,0.0585555909331235,0.110971878618877
"temporal_ANY","Pre-sleep","exact_one_probability",766,0.18764134774015,0.193413940116122
"temporal_ANY","Sleep environment","valid_minutes",771,0.00148779560556462,-0.0704900625323948
"temporal_ANY","Wake outside the three hours before sleep","valid_minutes",761,-0.0243571422080527,0.00468716956891881
"temporal_ANY","Pre-sleep","valid_minutes",766,0.0197075048824733,0.0125474274703143
"temporal_ANY","Sleep environment","expected_minutes",771,-0.0181105082645147,-0.0486724637226454
"temporal_ANY","Wake outside the three hours before sleep","expected_minutes",761,-0.0428127986600271,-0.0326093194593526
"temporal_ANY","Pre-sleep","expected_minutes",766,,
"temporal_ANY","Sleep environment","support_fraction",771,0.0449262466431963,-0.0484384429613515
"temporal_ANY","Wake outside the three hours before sleep","support_fraction",761,0.0039274630075674,0.02390369968239
"temporal_ANY","Pre-sleep","support_fraction",766,0.0197075048824733,0.0125474274703143
