Placement,Metric,LRT statistic (df),Raw p,FDR-adjusted p
Chest,Mean melEDI,15.211 (7),0.033,0.100
Near eye,Mean melEDI,6.656 (8),0.574,0.813
Chest,Brightest 10 h mean,15.989 (7),0.025,0.100
Near eye,Brightest 10 h mean,9.743 (8),0.284,0.813
Chest,Darkest 10 h mean,6.142 (7),0.523,0.609
Near eye,Darkest 10 h mean,8.276 (8),0.407,0.813
Chest,"Time above 1,000 lx melEDI",8.150 (7),0.320,0.598
Near eye,"Time above 1,000 lx melEDI",8.965 (8),0.345,0.813
Chest,Time above 250 lx melEDI during wake,3.496 (7),0.836,0.836
Near eye,Time above 250 lx melEDI during wake,4.061 (8),0.852,0.852
Chest,Time below 10 lx melEDI before sleep,16.031 (7),0.025,0.100
Near eye,Time below 10 lx melEDI before sleep,14.078 (8),0.080,0.718
Chest,Time below 1 lx melEDI during sleep,7.297 (7),0.399,0.598
Near eye,Time below 1 lx melEDI during sleep,6.134 (8),0.632,0.813
Chest,Longest continuous period above 250 lx melEDI,5.989 (7),0.541,0.609
Near eye,Longest continuous period above 250 lx melEDI,5.089 (8),0.748,0.842
Chest,melEDI dose,7.822 (7),0.349,0.598
Near eye,melEDI dose,7.230 (8),0.512,0.813
