Placement,Metric,Primary effect (95% CI),Photoperiod-adjusted effect (95% CI),Participant-summary effect (95% CI),Fit qualifications
Chest,Mean melEDI,×0.935 (0.840–1.041),×0.928 (0.838–1.026),×0.936 (0.839–1.045),None
Near eye,Mean melEDI,×0.915 (0.811–1.031),×0.931 (0.835–1.039),×0.929 (0.820–1.054),None
Chest,Brightest 10 h mean,×0.888 (0.761–1.037),×0.879 (0.759–1.019),×0.891 (0.771–1.030),None
Near eye,Brightest 10 h mean,×0.851 (0.716–1.013),×0.871 (0.742–1.023),×0.900 (0.757–1.071),None
Chest,Darkest 10 h mean,×1.017 (0.936–1.105),×1.013 (0.934–1.099),×1.026 (0.925–1.138),None
Near eye,Darkest 10 h mean,×1.024 (0.934–1.123),×1.034 (0.945–1.131),×1.004 (0.902–1.119),None
Chest,"Time above 1,000 lx melEDI",×0.873 (0.776–0.983),×0.865 (0.777–0.964),×0.910 (0.811–1.020),None
Near eye,"Time above 1,000 lx melEDI",×0.876 (0.765–1.002),×0.892 (0.790–1.007),×0.890 (0.776–1.021),Participant summary: optimizer did not converge; non-positive-definite Hessian
Chest,Time above 250 lx melEDI during wake,×0.920 (0.840–1.008),×0.915 (0.840–0.997),×0.940 (0.862–1.024),None
Near eye,Time above 250 lx melEDI during wake,×0.900 (0.806–1.005),×0.913 (0.824–1.013),×0.912 (0.824–1.010),None
Chest,Time below 10 lx melEDI before sleep,+0.067 h (-0.037–+0.171 h),+0.071 h (-0.031–+0.172 h),+0.054 h (-0.055–+0.162 h),None
Near eye,Time below 10 lx melEDI before sleep,+0.063 h (-0.062–+0.188 h),+0.047 h (-0.072–+0.165 h),+0.043 h (-0.088–+0.174 h),None
Chest,Time below 1 lx melEDI during sleep,×0.997 (0.970–1.026),×0.998 (0.971–1.026),×1.001 (0.974–1.028),None
Near eye,Time below 1 lx melEDI during sleep,×0.998 (0.964–1.033),×0.996 (0.962–1.032),×1.000 (0.967–1.035),None
Chest,Longest continuous period above 250 lx melEDI,×0.925 (0.853–1.002),×0.920 (0.852–0.993),×0.929 (0.854–1.011),None
Near eye,Longest continuous period above 250 lx melEDI,×0.917 (0.828–1.014),×0.928 (0.844–1.021),×0.936 (0.846–1.035),None
Chest,melEDI dose,×0.869 (0.752–1.004),×0.856 (0.750–0.976),×0.864 (0.753–0.992),None
Near eye,melEDI dose,×0.846 (0.716–0.999),×0.868 (0.747–1.009),×0.886 (0.755–1.041),None
