Placement,Metric,Primary effect (95% CI),Gap-timing-unaware effect (95% CI),Sample,Stability
Chest,Mean melEDI,×0.934 (0.839–1.041),×0.935 (0.839–1.042),154 / 894 / 8,stable within model uncertainty
Near eye,Mean melEDI,×0.914 (0.810–1.030),×0.912 (0.809–1.030),141 / 809 / 9,stable within model uncertainty
Chest,Brightest 10 h mean,×0.888 (0.760–1.038),×0.887 (0.762–1.034),154 / 894 / 8,stable within model uncertainty
Near eye,Brightest 10 h mean,×0.851 (0.715–1.014),×0.852 (0.721–1.007),141 / 809 / 9,stable within model uncertainty
Chest,Darkest 10 h mean,×1.014 (0.933–1.102),×1.004 (0.926–1.088),154 / 894 / 8,stable within model uncertainty
Near eye,Darkest 10 h mean,×1.021 (0.930–1.121),×1.010 (0.922–1.107),141 / 809 / 9,stable within model uncertainty
Chest,"Time above 1,000 lx melEDI",×0.873 (0.777–0.981),×0.872 (0.775–0.982),154 / 894 / 8,stable within model uncertainty
Near eye,"Time above 1,000 lx melEDI",×0.875 (0.765–1.001),×0.873 (0.762–1.001),141 / 809 / 9,stable within model uncertainty
Chest,Time above 250 lx melEDI during wake,×0.919 (0.839–1.006),×0.919 (0.839–1.007),153 / 800 / 8,stable within model uncertainty
Near eye,Time above 250 lx melEDI during wake,×0.899 (0.804–1.005),×0.897 (0.801–1.003),140 / 719 / 9,stable within model uncertainty
Chest,Time below 10 lx melEDI before sleep,+0.067 h (-0.037–+0.171 h),+0.068 h (-0.036–+0.172 h),153 / 740 / 8,stable within model uncertainty
Near eye,Time below 10 lx melEDI before sleep,+0.061 h (-0.064–+0.187 h),+0.063 h (-0.063–+0.188 h),139 / 653 / 9,stable within model uncertainty
Chest,Time below 1 lx melEDI during sleep,×0.998 (0.970–1.026),×0.998 (0.970–1.027),154 / 853 / 8,stable within model uncertainty
Near eye,Time below 1 lx melEDI during sleep,×0.998 (0.963–1.033),×0.998 (0.964–1.034),141 / 771 / 9,stable within model uncertainty
Chest,Longest continuous period above 250 lx melEDI,×0.924 (0.852–1.002),×0.923 (0.849–1.003),154 / 894 / 8,stable within model uncertainty
Near eye,Longest continuous period above 250 lx melEDI,×0.918 (0.829–1.016),×0.918 (0.828–1.019),141 / 809 / 9,stable within model uncertainty
Chest,melEDI dose,×0.867 (0.751–1.002),×0.869 (0.752–1.004),154 / 847 / 8,stable within model uncertainty
Near eye,melEDI dose,×0.843 (0.714–0.996),×0.837 (0.708–0.990),141 / 757 / 9,stable within model uncertainty
