Placement,Metric,Refits,Sign reversal,Largest relative |change|,Most influential omitted site,Interpretation
Chest,Mean melEDI,8 / 8,No,0.86,Madrid (ES),magnitude-sensitive to one site
Near eye,Mean melEDI,9 / 9,No,0.62,Madrid (ES),magnitude-sensitive to one site
Chest,Brightest 10 h mean,8 / 8,No,0.58,Madrid (ES),magnitude-sensitive to one site
Near eye,Brightest 10 h mean,9 / 9,No,0.41,Madrid (ES),direction stable in leave-one-site-out refits
Chest,Darkest 10 h mean,8 / 8,Yes,1.74,San José (CR),direction-sensitive to one site
Near eye,Darkest 10 h mean,9 / 9,No,1.30,Madrid (ES),magnitude-sensitive to one site
Chest,"Time above 1,000 lx melEDI",8 / 8,No,0.30,Borås (SE),direction stable in leave-one-site-out refits
Near eye,"Time above 1,000 lx melEDI",9 / 9,No,0.35,Borås (SE),direction stable in leave-one-site-out refits
Chest,Time above 250 lx melEDI during wake,8 / 8,No,0.23,San José (CR),direction stable in leave-one-site-out refits
Near eye,Time above 250 lx melEDI during wake,9 / 9,No,0.24,Tübingen (DE),direction stable in leave-one-site-out refits
Chest,Time below 10 lx melEDI before sleep,8 / 8,No,1.11,Dortmund (DE),magnitude-sensitive to one site
Near eye,Time below 10 lx melEDI before sleep,9 / 9,No,1.02,Tübingen (DE),magnitude-sensitive to one site
Chest,Time below 1 lx melEDI during sleep,8 / 8,Yes,3.52,Madrid (ES),direction-sensitive to one site
Near eye,Time below 1 lx melEDI during sleep,9 / 9,Yes,3.98,Izmir (TR),direction-sensitive to one site
Chest,Longest continuous period above 250 lx melEDI,8 / 8,No,0.28,Borås (SE),direction stable in leave-one-site-out refits
Near eye,Longest continuous period above 250 lx melEDI,9 / 9,No,0.28,Borås (SE),direction stable in leave-one-site-out refits
Chest,melEDI dose,8 / 8,No,0.44,Borås (SE),direction stable in leave-one-site-out refits
Near eye,melEDI dose,9 / 9,No,0.34,Borås (SE),direction stable in leave-one-site-out refits
