"analysis","source_qmd","accepted_source_qmd_sha256","current_source_qmd_sha256","source_identity_status","reader_html","reader_html_sha256","table_id","accepted_table_caption","table_fragment","table_fragment_sha256","table_fragment_bytes","table_continuation_id","accepted_table_continuation_caption","table_continuation_fragment","table_continuation_fragment_sha256","table_continuation_fragment_bytes","figure_id","accepted_figure_caption","accepted_figure_alt","figure_artifact","figure_artifact_sha256","figure_artifact_bytes"
"Descriptives","notebooks/descriptives.qmd","b631936d9e47c4988dd453ea22184090b076705e3716e8f037e1953e3309cd4c","c17fef3ca932fa8cf195f6ae6604e822e3b46235cefd6a081d4eef69b88546bc","Owner-verified table-harmonization source postimage; accepted reader HTML remains pinned","_build/nathealth/notebooks/descriptives.html","b8451d11fbabc889dff7f811c23df92f9d813975a0b8f00a9ec157b5128c3553","tbl-participant-site-manuscript","Table 3: Reduced participant and site characteristics.","audit/manuscript_nature_health/figure_table_selection_assets/tbl-participant-site-manuscript.html","551b4a68b443b3cc8c91c710960a7b03947654fe0dccc1b71277b0fa611e424c",66624,"","","","",,"fig-descriptive-overview","Figure 1: Study protocol, country-coded sites, collection dates, observed civil photoperiod, and the pooled primary near eye 48-hour profile.","Five-panel study overview showing the protocol, country-coded study sites and coordinates, roster-wide collection dates, site photoperiod distributions, and a repeated 15-minute 48-hour primary near eye melEDI profile with central 50% and 90% value bands.","artifacts/10_figures/descriptives/descriptive_overview.png","97c4e60318a9e0733da44a97cc8bd176ac4ebc85c4e41bdd40d900b32fca7248",2540471
"H01","notebooks/hypotheses/H01.qmd","9448eacc1345a2b0bf73c988be588308d191e42d90c49d68c7f92db36ba83eeb","4618b80ed84518d94b8e8fe8b80db1fc43d272c2781c5294b3cc48b019348d43","Owner-verified table-harmonization source postimage; accepted reader HTML remains pinned","_build/nathealth/notebooks/hypotheses/H01.html","72458413f3a2b025474abdff556feeb897e4a968a254e2f546565348f8a07e4a","tbl-h01-primary-publication-summary","Table 2: Primary near-eye site, photoperiod, latitude, and site-versus-latitude results.","audit/manuscript_nature_health/figure_table_selection_assets/tbl-h01-primary-publication-summary.html","ed6f48b284557044d175d17d70d7fb0e9f82c0f28cfadeb6c83338ea531908d0",42964,"","","","",,"fig-h01-model-support","Figure 1: Support after FDR adjustment across four separate complete 17-test families for the primary near-eye and complementary chest analyses: overall site, photoperiod, latitude, and site-versus-linear-latitude adequacy. A check mark denotes FDR-adjusted p below 0.050 and a dash denotes FDR-adjusted p at least 0.050; symbols accompany colour throughout.","Two-panel matrix for near-eye and chest results. Rows are the 17 personal-light-exposure metrics and columns are overall site, photoperiod, latitude, and site-versus-linear-latitude adequacy. FDR adjustment was applied separately across each complete 17-test family. Blue cells with check marks indicate FDR-adjusted p below 0.050; grey cells with dashes indicate FDR-adjusted p at least 0.050, so colour is not the only cue.","artifacts/10_figures/H01/stage3/H01_stage3_model_support.png","cff7d52c1483b1d90d9fc187a8797b58ec7f0707ec8fc14df7dde9cd08ee5696",332911
"H02","notebooks/hypotheses/H02.qmd","4f431eaba1fd449837186497dc988f95c30a9ece7ae83d57b2f0c377690f0f6d","b50b55eebb75f120928707821dc3b8e8d6f16905418c56d8d689744926ff3de8","Owner-verified table-harmonization source postimage; accepted reader HTML remains pinned","_build/nathealth/notebooks/hypotheses/H02.html","4298689a560cf3ceb693360533dec03c0f724c02022638b7cc8b075c8968f474","tbl-h02-near-variation","Table 1: Near-eye fitted-curve variation and participant-to-site ratios.","audit/manuscript_nature_health/figure_table_selection_assets/tbl-h02-near-variation.html","49ce423b6f67c88ab19ad41e6f4b0e8368cd8d25e51d462515ed041f4270d183",14236,"","","","",,"fig-h02-near-patterns","Figure 1: Daily near-eye melEDI patterns: site-average curve (A), site curves (B), participant curves (C), and site-to-global-time-effect factors (D). Ribbons are pointwise 95% CIs.","Four-panel near-eye daily-pattern figure. Panel A shows the site-average global time effect for 816 participant-days with a pointwise 95% confidence ribbon. Panel B shows nine site curves, pointwise ribbons, country-coded site labels, and a participant-day count in each facet. Panel C shows participant curves. Panel D shows site-to-global-time-effect factors with pointwise ribbons; red segments mark individual clock times whose intervals exclude one.","artifacts/10_figures/H02/figure4_exact_layout_replication.png","2d31f38a169659b37a16c44b9845605186709e4dc7734a8f97342408711f9ac2",2389678
"H03","notebooks/hypotheses/H03.qmd","45ea5a009efd3b451c392dfc23bef584c7b16e087bf4093780b051cfde42ae41","27c1fea54e5f32570613df80768d1fb5b668f3033aee90069820e951001c2513","Owner-verified table-harmonization source postimage; accepted reader HTML remains pinned","_build/nathealth/notebooks/hypotheses/H03.html","1ad80c1574ada455e978ce905a1e5bb4f53b0392bf5e4433cdeac41da85f7cac","tbl-h03-near-site-factorization","Table 3: Near-eye category effects and site-specific deviations in one factorized display.","audit/manuscript_nature_health/figure_table_selection_assets/tbl-h03-near-site-factorization.html","0cfa95366ddae4d83725e6983908ac23c23f40fefb6a32346caa83279cc964c8",27235,"","","","",,"fig-h03-primary-estimates","Figure 1: Site-average one-hour melEDI and ratios to indoor electric light from the category-by-site interaction model; bars are participant-cluster-robust 95% CIs.","Two-panel plot of site-average estimates from the category-by-site interaction model for seven light-source categories. Outdoor daylight is highest and sleep darkness lowest. Near-eye outdoor electric is about one tenth of indoor electric. The complementary chest external-light estimate is absent because a site-average estimate cannot be calculated across all eight chest sites.","artifacts/10_figures/H03/H03_reader_heterogeneity_category_estimates.png","e210a810aac62389ff6b96c306da48ceba74e9bfb7277d7e4e845c4a7f7fa7b6",233681
"H04","notebooks/hypotheses/H04.qmd","f8adb6d78be041ce296dd7e89eb92769b128631c1b4227ce5d8ab3d526daf1d5","243896d4c22f68d23027f77f3721882e0a3d55274e67014e75d6ff55e2e243af","Owner-verified H04 revision 3 source transition; accepted reader HTML remains pinned","_build/nathealth/notebooks/hypotheses/H04.html","edb592760ee086c4b58abf7ab8946dbdf2be2c4b35bb7e6f11d84f66f71160e0","tbl-h04-near-site-factorization","Table 8: Near-eye site-average category estimates and site-specific deviation ratios from the activity-by-site interaction model.","audit/manuscript_nature_health/figure_table_selection_assets/tbl-h04-near-site-factorization.html","514209a6c8861a876d0edf04ec5ccbdeb804e62a39ffbc9344cb2cdc2695dddd",24942,"","","","",,"fig-h04-primary-estimates","Figure 1: Site-average one-hour melEDI estimates from the activity-by-site interaction model and named-category ratios versus At home; bars are participant-cluster-robust 95% CIs. Other/unspecified activity is an additive-model display-only estimate shown with an open point.","Two-panel point-and-interval plot ordered from the At home reference through Office/home working, Outdoors, Vehicle/public transport, and Sleeping, with Other/unspecified activity last. The upper panel shows site-average melEDI estimates from the activity-by-site interaction model at the primary near-eye and complementary chest sensor positions: Sleeping is lowest and Outdoors highest. Other/unspecified activity is marked by an open point and comes from the additive model for display only. The lower panel shows interaction-model ratios for the four named categories versus At home on a logarithmic scale; Sleeping is below one and the other three categories are above one.","artifacts/10_figures/H04/H04_reader_heterogeneity_category_estimates.png","b2f883b89fa4e482442651f97f6e97c2aed14b48b83cc77050cbe7a1f51ed940",233841
"H05","notebooks/hypotheses/H05.qmd","7c20e16629729de433d1ab400038e9d32c73aeb25c95ecd44d581b876755d5e0","f748873f5f68198665fc3cb3d7047f586c619408f86e5e22bd9814593f9f2780","Owner-verified table-harmonization source postimage; accepted reader HTML remains pinned","_build/nathealth/notebooks/hypotheses/H05.html","579921b11cced98f3e39f67f5eb87f43d6b54eebfb6d0903a8b9af9ffdd189fd","tbl-h05-near-results-a","Table 1: Primary near-eye associations across all 68 factor–metric cells.","audit/manuscript_nature_health/figure_table_selection_assets/tbl-h05-near-results-a.html","37ba60ddf9becb8f46ebdc4d8159a2cfdf55709cf46e0db3b3affff07a626c4d",20213,"tbl-h05-near-results-b","Table 2: Primary near-eye associations (continued).","audit/manuscript_nature_health/figure_table_selection_assets/tbl-h05-near-results-b.html","92390b30a8a9218a63bea2e85208d435b99e0cf74ebd50bccad04fcb99ad673b",17466,"fig-h05-near-effects","Figure 1: Near-eye effects per one participant-level SD of each LEBA factor. None of the 68 tests retained FDR-adjusted support. The four grey sleep-environment cells are labelled Unfit, and their estimates are suppressed.","Heatmap with 17 light-exposure metrics as rows and LEBA factors F2 to F5 as columns. Cells show practical-scale effects per one participant-level standard deviation, except four grey sleep-environment cells labelled Unfit. None of the 68 tests retained false-discovery-rate-adjusted support.","artifacts/10_figures/H05/H05_reader_near_eye_effects.png","70c1013d51f7619fafe0d38664db7dcf55692990993098948ed443e83c35e1a5",487117
"H06","notebooks/hypotheses/H06.qmd","d65c197cb37db32101d8a43fcdc80198ab599a95cb73259abd187c9b2b58d350","013496ae4ac5db1e069af98bea87af6c202714ed97d40cf1f7f64e6637239f5a","Owner-verified table-harmonization source postimage; accepted reader HTML remains pinned","_build/nathealth/notebooks/hypotheses/H06.html","bf3f70118afca9264aba77f9483a1cdd783e3c43996c9049fce67780ceca539b","tbl-h06-primary-effects","Table 1: Primary near-eye associations.","audit/manuscript_nature_health/figure_table_selection_assets/tbl-h06-primary-effects.html","d8eb61fd5f7544325d6ad0e1461b7582da946e91a88505c9dcb16671c7c6ba5c",11191,"","","","",,"fig-h06-paired-placement","Figure 3: Near-eye and complementary chest estimates for the same participants and participant-days. Three hourly keys differ at each sensor position, so an observation-level identity scatter is not valid.","Side-by-side forest plot comparing near-eye and chest ratios with 95% confidence intervals on the paired-day sample. Both placements show ratios above one for free versus work and active versus sedentary days, while the sleep intervals include one.","artifacts/10_figures/H06/H06_paired_placement_effects.png","e0a63c615a5422d28e1af7d2cc15ca29e65057b7639308c5cbdcb028e25f9478",59084
"H06_daily","notebooks/hypotheses/H06_daily.qmd","8f696f3f89fe9ea18c8066b756a01fc5da6b41e86f8ac7d37d1e16f9c10ba639","ddf7e8af287831b80243b4d35e83546fa6ee8f7f3794c9874d4712648b3eb2e7","Owner-verified table-harmonization source postimage; accepted reader HTML remains pinned","_build/nathealth/notebooks/hypotheses/H06_daily.html","7fd65a465185a341d5065a2c47b07d510b2ff331a3a99e56bc7f90044e755a02","tbl-h06-daily-primary-matrix","Table 3: Primary near-eye predictor-specific participant-day associations.","audit/manuscript_nature_health/figure_table_selection_assets/tbl-h06-daily-primary-matrix.html","2cf2f1d1913f3e23f98df7e8d8e11c381599a5241cad65985f23008e4ac3d4b3",23129,"","","","",,"fig-h06-daily-fdr-overview","Figure 3: FDR decision overview for the primary and gap-timing-unaware daily-metric association families.","False-discovery-rate decision overview for primary and gap-timing-unaware participant-day associations, with six estimable melanopic daylight efficacy ratio cells shown as not supported and darkest-10-hour mean outcomes shown as non-estimable.","audit/hypotheses/H06_daily/manuscript_selection_supplementary_figure_s12/H06_daily_supplementary_figure_s12.svg","4d95b3f1160a310baa6152f2ec7acecdd03da16c835ddcfbada6676cafd56d0d",24374
"H07","notebooks/hypotheses/H07.qmd","c779c57ffc64a15c82e519ef38e865a39108a6563d82e408e4522253c61e8226","c2d24ee7199fc8399e7edfa1192a21de7c31bd7854a89d356386c5e669ff55ca","Owner-verified table-harmonization source postimage; accepted reader HTML remains pinned","_build/nathealth/notebooks/hypotheses/H07.html","878f1f7bec7dad63ea5b2b18f74502053f1d5d9b3de2a96588e1d2ef1e437462","tbl-h07-near-results","Table 3: Primary near-eye qualifying-transition classifications and derivative estimates at the longest recorded photoperiod.","audit/manuscript_nature_health/figure_table_selection_assets/tbl-h07-near-results.html","91b2d42d9e92ffa6eda43e84f698057ed4201f69ac1aeecdfd864f773918d863",19651,"","","","",,"fig-h07-near-smooth-derivative-pairs","Figure 1: Primary near-eye associations with civil photoperiod. Each row pairs the fitted response-scale smooth (left) with its first derivative on the model scale (right). Grey ribbons are pointwise 95% confidence intervals; blue tail shading and a dashed transition line mark a qualifying transition and the sustained zero-compatible tail. Rugs show observed photoperiods.","Nine paired rows show near-eye metric values against civil photoperiod on the left and first derivatives on the right. Mean melEDI, brightest and darkest 10-hour means, time above 1,000 lx, time above 250 lx during wake, and melEDI dose change from a positive derivative to intervals containing zero through the recorded maximum. Pre-sleep and sleep low-light durations have no preceding detected increase, while the longest continuous period above 250 lx remains increasing at the recorded maximum.","artifacts/08_figures/H07/H07_revised_smooth_derivative_pairs_near_eye.png","f19763fe3c14c723ac38846bf735c0465ba2ee18765777a4f7304c677be71113",643848
"H08","notebooks/hypotheses/H08.qmd","1b6b50b21e22d60909a65b125ce74be54829e5efc10de33f888fcd294c7374b1","56cdd3382ff933f20706d50e75af00160ebdc3c503307f9fdf02fb7c2ae6e859","Owner-verified table-harmonization source postimage; accepted reader HTML remains pinned","_build/nathealth/notebooks/hypotheses/H08.html","d264716572c7e00230544fcb90990a488b970b259b3cacb50c84de5ef9bc4860","tbl-h08-near-eye-results","Table 5: Primary near-eye site-average VLSQ-8 associations, reported scales, 95% CIs, p-values, and exact fitted samples.","audit/manuscript_nature_health/figure_table_selection_assets/tbl-h08-near-eye-results.html","0691c6c8c61428eec8c3448bea5d095db7c22bbcf38ab39097b8b63064c09c88",15982,"","","","",,"fig-h08-near-eye-effects","Figure 1: Primary near-eye site-average associations between VLSQ-8 and nine personal light-exposure metrics. Effects compare scores separated by one participant-level SD. The upper panel is an absolute difference in hours for time below 10 lx melEDI before sleep; the lower panel shows ratios and corresponding percentage changes for eight log-link outcomes. Horizontal bars are 95% Wald CIs; none of the nine associations retained FDR-adjusted support.","Two separated forest-plot panels show nine primary near-eye site-average associations per VLSQ-8 standard deviation. The upper panel shows an absolute hour difference for time below 10 lx melEDI before sleep, with an interval crossing zero. The lower panel shows ratios and percentage changes for eight outcomes; most estimates indicate decreases, but none retained false-discovery-rate-adjusted support.","artifacts/10_figures/H08/H08_near_eye_effects.png","f1cc8e33829cdf821140e95238d20b1516d5796f741002a1f27568d3f9fd7405",140448
