"check","pass","sample"
"caller_serialization_unchanged",TRUE,"ANY"
"endpoint_rows_permutation",TRUE,"ANY"
"BB_rows_permutation",TRUE,"ANY"
"literal_endpoint_Y_N",TRUE,"ANY"
"literal_BB_Y_N",TRUE,"ANY"
"actual_dates_preserved",TRUE,"ANY"
"date_classes_preserved",TRUE,"ANY"
"endpoint_order_exact",TRUE,"ANY"
"actual_gap_lengths_exact",TRUE,"ANY"
"all_noninitial_gaps_positive",TRUE,"ANY"
"BB_coordinates_are_real_days",TRUE,"ANY"
"factor_levels_preserved",TRUE,"ANY"
"caller_serialization_unchanged",TRUE,"80"
"endpoint_rows_permutation",TRUE,"80"
"BB_rows_permutation",TRUE,"80"
"literal_endpoint_Y_N",TRUE,"80"
"literal_BB_Y_N",TRUE,"80"
"actual_dates_preserved",TRUE,"80"
"date_classes_preserved",TRUE,"80"
"endpoint_order_exact",TRUE,"80"
"actual_gap_lengths_exact",TRUE,"80"
"all_noninitial_gaps_positive",TRUE,"80"
"BB_coordinates_are_real_days",TRUE,"80"
"factor_levels_preserved",FALSE,"80"
