path,sha256,bytes,producer,r_version,inference_status,pilot_contract_sha256
audit/decisions/l10_numerical_zero_normalization.md,23b9f70d1d16f7fd3ebbdbc57aaf78c0a701fe1f9d22bd667d926cd320d40797,5435,scripts/hypotheses/H01/run_h01_l10_METRIC011_bootstrap_pilot.R,4.6.1,PILOT — NOT FOR INFERENCE OR MANUSCRIPT REPORTING,04e14e6b1303841eb9705784da9c81e9ef096cba77cdb80decb140c7905ecaa1
audit/hypotheses/H01/l10_METRIC-011/bootstrap_pilot/diagnostics/H01_METRIC-011_bootstrap_pilot_audit.csv,4ba1485422b8c82fecdbaf26a20ada70537368134e83dc75d65fa6cc40edac29,1505,scripts/hypotheses/H01/run_h01_l10_METRIC011_bootstrap_pilot.R,4.6.1,PILOT — NOT FOR INFERENCE OR MANUSCRIPT REPORTING,04e14e6b1303841eb9705784da9c81e9ef096cba77cdb80decb140c7905ecaa1
audit/hypotheses/H01/l10_METRIC-011/bootstrap_pilot/diagnostics/H01_METRIC-011_bootstrap_pilot_failures.csv,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0,scripts/hypotheses/H01/run_h01_l10_METRIC011_bootstrap_pilot.R,4.6.1,PILOT — NOT FOR INFERENCE OR MANUSCRIPT REPORTING,04e14e6b1303841eb9705784da9c81e9ef096cba77cdb80decb140c7905ecaa1
audit/hypotheses/H01/l10_METRIC-011/bootstrap_pilot/diagnostics/H01_METRIC-011_bootstrap_pilot_provenance.csv,1ecc39a68ec1760373483952af6bd97905a0e6f76b25a7c4711393377b80a308,1173,scripts/hypotheses/H01/run_h01_l10_METRIC011_bootstrap_pilot.R,4.6.1,PILOT — NOT FOR INFERENCE OR MANUSCRIPT REPORTING,04e14e6b1303841eb9705784da9c81e9ef096cba77cdb80decb140c7905ecaa1
audit/hypotheses/H01/l10_METRIC-011/bootstrap_pilot/diagnostics/H01_METRIC-011_bootstrap_pilot_runtime.csv,ee9dfd752e2dabf30d4ab814d73b0061cc99c0fc9bcd6d1959b3649d6f1df657,3045,scripts/hypotheses/H01/run_h01_l10_METRIC011_bootstrap_pilot.R,4.6.1,PILOT — NOT FOR INFERENCE OR MANUSCRIPT REPORTING,04e14e6b1303841eb9705784da9c81e9ef096cba77cdb80decb140c7905ecaa1
audit/hypotheses/H01/l10_METRIC-011/bootstrap_pilot/draws/chest/all_available/l10_mean_medi_checkpoint.rds,c86ed5fce071e53b7c1dc8281c2d31c8ac81a21df9aa5e8b1e7c916f700e815d,3848,scripts/hypotheses/H01/run_h01_l10_METRIC011_bootstrap_pilot.R,4.6.1,PILOT — NOT FOR INFERENCE OR MANUSCRIPT REPORTING,04e14e6b1303841eb9705784da9c81e9ef096cba77cdb80decb140c7905ecaa1
audit/hypotheses/H01/l10_METRIC-011/bootstrap_pilot/draws/chest/all_available/l10_mean_medi_draws.rds,279dd8260ea77ba2a4ba6f04c07e55cb69f5fd14b00a0c1ef410a80aab240466,3340,scripts/hypotheses/H01/run_h01_l10_METRIC011_bootstrap_pilot.R,4.6.1,PILOT — NOT FOR INFERENCE OR MANUSCRIPT REPORTING,04e14e6b1303841eb9705784da9c81e9ef096cba77cdb80decb140c7905ecaa1
audit/hypotheses/H01/l10_METRIC-011/bootstrap_pilot/draws/chest/paired_common_sample/l10_mean_medi_checkpoint.rds,ac628fdf47663a7d1a7587bdda88d17f41cea4a89ad03f3c9fcd4081235b7455,3872,scripts/hypotheses/H01/run_h01_l10_METRIC011_bootstrap_pilot.R,4.6.1,PILOT — NOT FOR INFERENCE OR MANUSCRIPT REPORTING,04e14e6b1303841eb9705784da9c81e9ef096cba77cdb80decb140c7905ecaa1
audit/hypotheses/H01/l10_METRIC-011/bootstrap_pilot/draws/chest/paired_common_sample/l10_mean_medi_draws.rds,03c16a0106ab1fcee1c03350c829615a684976d994273bf1166749d781d16afa,3356,scripts/hypotheses/H01/run_h01_l10_METRIC011_bootstrap_pilot.R,4.6.1,PILOT — NOT FOR INFERENCE OR MANUSCRIPT REPORTING,04e14e6b1303841eb9705784da9c81e9ef096cba77cdb80decb140c7905ecaa1
audit/hypotheses/H01/l10_METRIC-011/bootstrap_pilot/draws/glasses/all_available/l10_mean_medi_checkpoint.rds,1a2520a0d872e664c704841233393909bd13ecdcb1a28f4fe3d5cd45f07655ae,3876,scripts/hypotheses/H01/run_h01_l10_METRIC011_bootstrap_pilot.R,4.6.1,PILOT — NOT FOR INFERENCE OR MANUSCRIPT REPORTING,04e14e6b1303841eb9705784da9c81e9ef096cba77cdb80decb140c7905ecaa1
