path,sha256,bytes,role,producer,r_version,resolved_path,current_sha256,current_bytes,exact
artifacts/11_source_data/H01/stage3/H01_stage3_METRIC011_l10_mean_medi_model_support_figure_source.csv,cf869aa233aca9230a9d295f7efae69fc51c1258a80daf90258d08122f5effc0,96013,frozen provenance input,scripts/hypotheses/H01/refresh_h01_stage3_model_support_fdr_label.R,4.6.1,artifacts/11_source_data/H01/stage3/H01_stage3_METRIC011_l10_mean_medi_model_support_figure_source.csv,cf869aa233aca9230a9d295f7efae69fc51c1258a80daf90258d08122f5effc0,96013,TRUE
artifacts/11_source_data/H01/stage3/H01_stage3_model_support_figure_source.csv,2054c097bb6b901ebc12491c78082fe5a56ebca2ccc5e2c61afe7e21244c3772,96014,frozen provenance input,scripts/hypotheses/H01/refresh_h01_stage3_model_support_fdr_label.R,4.6.1,artifacts/11_source_data/H01/stage3/H01_stage3_model_support_figure_source.csv,2054c097bb6b901ebc12491c78082fe5a56ebca2ccc5e2c61afe7e21244c3772,96014,TRUE
scripts/hypotheses/H01/build_h01_stage3_reporting_inputs.R,35443e52e2b554afb5cc2a6a8a88ba1a2b847fdac5f8ae5974005a336debbdc7,68214,H01 model-support FDR display refresh evidence,scripts/hypotheses/H01/refresh_h01_stage3_model_support_fdr_label.R,4.6.1,audit/hypotheses/H01/report017_order32g_continuation/build_h01_stage3_reporting_inputs_pre32g.R,35443e52e2b554afb5cc2a6a8a88ba1a2b847fdac5f8ae5974005a336debbdc7,68214,TRUE
scripts/hypotheses/H01/refresh_h01_stage3_model_support_fdr_label.R,f87486c0975dc560887c92e98f9423baaa56a926a3d6533e6197b625e23c4353,18143,H01 model-support FDR display refresh evidence,scripts/hypotheses/H01/refresh_h01_stage3_model_support_fdr_label.R,4.6.1,scripts/hypotheses/H01/refresh_h01_stage3_model_support_fdr_label.R,f87486c0975dc560887c92e98f9423baaa56a926a3d6533e6197b625e23c4353,18143,TRUE
tests/hypotheses/H01/test_h01_stage3_model_support_display_refresh.R,121135a4ea1c86cc6e11fc476615ee207fb34fe01270912d3f74ef2c8b5ad9cb,6747,H01 model-support FDR display refresh evidence,scripts/hypotheses/H01/refresh_h01_stage3_model_support_fdr_label.R,4.6.1,tests/hypotheses/H01/test_h01_stage3_model_support_display_refresh.R,dcd3e62574a493d18733a9cb50eb6eb9d7493f8ac7bbb27918dc6535dcd1a603,8224,FALSE
artifacts/10_figures/H01/stage3/H01_stage3_model_support.png,2244f043d4fb676200524440098be223e23106578513f4ac61567ba3f636da8b,238682,H01 model-support FDR display refresh evidence,scripts/hypotheses/H01/refresh_h01_stage3_model_support_fdr_label.R,4.6.1,audit/hypotheses/H01/report017_order32g_continuation/durable_pre32g/H01_stage3_model_support.png,2244f043d4fb676200524440098be223e23106578513f4ac61567ba3f636da8b,238682,TRUE
artifacts/10_figures/H01/stage3/H01_stage3_model_support.svg,602dd62de063d3e12ac53ca7d22dd2563e64213255b9cdc7e138941450ce1966,54757,H01 model-support FDR display refresh evidence,scripts/hypotheses/H01/refresh_h01_stage3_model_support_fdr_label.R,4.6.1,audit/hypotheses/H01/report017_order32g_continuation/durable_pre32g/H01_stage3_model_support.svg,602dd62de063d3e12ac53ca7d22dd2563e64213255b9cdc7e138941450ce1966,54757,TRUE
audit/hypotheses/H01/report017_model_support_fdr_refresh/H01_stage3_model_support_pre_refresh.png,601c65eebff8260b9c19d6f5e3a6054799e1fb7fa7f39442745073cb36098e7a,238260,H01 model-support FDR display refresh evidence,scripts/hypotheses/H01/refresh_h01_stage3_model_support_fdr_label.R,4.6.1,audit/hypotheses/H01/report017_model_support_fdr_refresh/H01_stage3_model_support_pre_refresh.png,601c65eebff8260b9c19d6f5e3a6054799e1fb7fa7f39442745073cb36098e7a,238260,TRUE
audit/hypotheses/H01/report017_model_support_fdr_refresh/H01_stage3_model_support_pre_refresh.svg,c054674bacdd41ca2d02fff0a784955dfd77caf7604dacc166ccd0c8e1cfc098,54756,H01 model-support FDR display refresh evidence,scripts/hypotheses/H01/refresh_h01_stage3_model_support_fdr_label.R,4.6.1,audit/hypotheses/H01/report017_model_support_fdr_refresh/H01_stage3_model_support_pre_refresh.svg,c054674bacdd41ca2d02fff0a784955dfd77caf7604dacc166ccd0c8e1cfc098,54756,TRUE
audit/hypotheses/H01/report017_model_support_fdr_refresh/H01_model_support_fdr_refresh_sealed_source_comparison.csv,b6d4caa0be10581d6b9580e3eaf893c90e15147366ecf94ab737cef547a23592,357,H01 model-support FDR display refresh evidence,scripts/hypotheses/H01/refresh_h01_stage3_model_support_fdr_label.R,4.6.1,audit/hypotheses/H01/report017_model_support_fdr_refresh/H01_model_support_fdr_refresh_sealed_source_comparison.csv,b6d4caa0be10581d6b9580e3eaf893c90e15147366ecf94ab737cef547a23592,357,TRUE
