path,sha256,bytes,role,current_sha256,current_bytes,exact
audit/report_harmonization/owner_orders/32g_h01_final_scalar_geometry_continuation.md,6b63571775dc3a66a51815636dd2bb0d9cbd4ff27ce97c45041d390c4ef7ec4f,10927,controlling scalar-safe continuation,6b63571775dc3a66a51815636dd2bb0d9cbd4ff27ce97c45041d390c4ef7ec4f,10927,TRUE
audit/report_harmonization/report017_h01_order32f_stopped_state_independent_acceptance.md,1b06370f6ec10b25ba3784df6ab3516660cd47a14f79fb4e008ad1801a33a008,4889,accepted order 32f stopped state,1b06370f6ec10b25ba3784df6ab3516660cd47a14f79fb4e008ad1801a33a008,4889,TRUE
audit/report_harmonization/report017_h01_order32f_stopped_state_independent_manifest.csv,7e27de24284757e6e77a3d0bf2e7a2275d8e390555352212c935ad6b7f84a787,4189,25-row independent stopped-state seal,7e27de24284757e6e77a3d0bf2e7a2275d8e390555352212c935ad6b7f84a787,4189,TRUE
audit/hypotheses/H01/report017_order32f_continuation/order32f_stopped_state.md,9a050f6603b3d33452813193cd22deb56ca5f991cf3d86a42cc25d3b305dbdcd,4168,owner order 32f stopped-state record,9a050f6603b3d33452813193cd22deb56ca5f991cf3d86a42cc25d3b305dbdcd,4168,TRUE
audit/hypotheses/H01/report017_order32f_continuation/order32f_stopped_state_manifest.csv,872a129792bf677c805aaee51b131e49d614fcc9c86e682d0c9c661925efa7a7,2024,owner 11-row stopped-state seal,872a129792bf677c805aaee51b131e49d614fcc9c86e682d0c9c661925efa7a7,2024,TRUE
audit/report_harmonization/owner_orders/32f_h01_final_consolidated_harness_continuation.md,4cc3eb52566d586d7afdedddc301650f3c4f637be6d82702062d02d87681a145,10356,parent continuation order,4cc3eb52566d586d7afdedddc301650f3c4f637be6d82702062d02d87681a145,10356,TRUE
audit/report_harmonization/report017_h01_order32f_dispatch_manifest.csv,af8cf5540737685bf2d32222c0ee4f278e619e0cf3263e9ef878c7cc6ad73bec,6692,parent dispatch seal,af8cf5540737685bf2d32222c0ee4f278e619e0cf3263e9ef878c7cc6ad73bec,6692,TRUE
scripts/hypotheses/H01/refresh_h01_order32d_figures.R,10288d5fb28df713c43f52a5f3e984070d8062701a28a3e6eb4fe8d9d8b223aa,28717,current stopped refresh implementation,367e1544e5533cdb2670c0e413a5f15c23c3d4a95f431bbf7784615e9bb00ff7,29036,FALSE
scripts/hypotheses/H01/build_h01_stage3_reporting_inputs.R,35443e52e2b554afb5cc2a6a8a88ba1a2b847fdac5f8ae5974005a336debbdc7,68214,accepted builder before display-literal refresh,39511a898f5d55be1abeb571e48a7812a0143f1db3aa641614e5464eb9c75bbc,68626,FALSE
notebooks/hypotheses/H01.qmd,9448eacc1345a2b0bf73c988be588308d191e42d90c49d68c7f92db36ba83eeb,93260,accepted H01 result source,9448eacc1345a2b0bf73c988be588308d191e42d90c49d68c7f92db36ba83eeb,93260,TRUE
