event,status,detail
dispatch_preflight,PASS,"35/35 exact before mutation"
scalar_geometry_preflight,PASS,"One non-mutating R 4.6.1 preflight"
candidate_generation,PASS,"Exactly one run in /private/tmp/H01-order32g-candidates.Q1iS0N"
candidate_visual_qa,PASS,"Original, intended, desktop, narrow, and 200 percent views"
durable_replacement,PASS,"Exactly six targets written once and candidate-identical"
dedicated_display_test,PASS,"Order-32g display test passed under R 4.6.1"
legacy_fdr_transition_test,STOP,"One missing historical test identity"
manifest_reseal,NOT_RUN,"Held after first focused-test failure"
quarto_render,NOT_RUN,"Held after first focused-test failure"
loopback_server,NOT_STARTED,"No browser QA server was started"
