figure,view,review_width_pixels,status,notes
model_support,original,3360,PASS,"Text, symbols, tiles, legend, and panel labels are legible and unclipped"
model_support,intended_final,642,PASS,"Required text remains legible at intended final size"
model_support,desktop,1440,PASS,"Balanced layout with no clipping or overlap"
model_support,narrow,708,PASS,"Required text remains at least 7 pt and all statuses are distinguishable"
model_support,200_percent,1284,PASS,"Legend and individual matrix cells remain clear"
paired_placement,original,3840,PASS,"All 30 direct labels are present, unclipped, and non-overlapping"
paired_placement,intended_final,642,PASS,"Direct labels and point geometry remain readable"
paired_placement,desktop,1440,PASS,"Panels, labels, identity lines, and null lines are clear"
paired_placement,narrow,708,PASS,"Direct labels remain distinct without clipping"
paired_placement,200_percent,1284,PASS,"All labels and markers remain independently legible"
diagnostic_assessment,original,3680,PASS,"Text, symbols, tiles, and legend are legible and unclipped"
diagnostic_assessment,intended_final,642,PASS,"Required diagnostic labels remain readable"
diagnostic_assessment,desktop,1440,PASS,"Balanced matrix layout with no overlap"
diagnostic_assessment,narrow,708,PASS,"Required text remains at least 7 pt and symbols are distinct"
diagnostic_assessment,200_percent,1284,PASS,"Legend, symbols, and matrix labels remain clear"
