"position","old_words","new_words"
"P-I01",93,93
"P-I02",105,105
"P-I03",116,116
"P-I04",129,129
"P-R01",99,99
"P-R02",120,120
"P-R03",74,74
"P-R04",22,22
"P-R04A",98,88
"P-R04B",94,89
"P-R04C",106,78
"P-R04D",168,115
"P-R05",70,70
"P-R06",55,55
"P-R07",91,91
"P-R08",64,64
"P-R09",100,100
"P-R09A",146,146
"P-R09B",153,153
"P-R10",142,142
"P-R10A",37,37
"P-R10B",125,125
"P-R10C",86,86
"P-R11",280,280
"P-R12",241,241
"P-R14",74,74
"P-R15",102,102
"P-R16",143,143
"P-R17",73,73
"P-R18",64,71
"P-R19",62,62
"P-D01",111,111
"P-D02",132,136
"P-D02A",117,117
"P-D02B",118,118
"P-D03",117,117
"P-D04",91,91
"P-D05",82,82
"P-D06",83,83
"P-D07",87,87
"P-D08",148,148
"P-D09",129,129
