"position","field","expected_literal","source","source_sha256","selector","derivation","found_in_candidate"
"P-R04A","rows","2,298","/Users/zauner/.codex/worktrees/82ab/ZaunerEtAl_bioRxiv_2026/audit/analyses/brown_adherence/main_linkage_b_amendment/stage2/source_data/main_linkage_b_amendment_stage2_frames_sample_flow_source.csv","d6aa360f923826746377c5a0c9f6f5f4d4556ec6f08a1d20716842e62180b051","B_any rows","Stored value, unit conversion and display rounding only",TRUE
"P-R04A","participants","140","/Users/zauner/.codex/worktrees/82ab/ZaunerEtAl_bioRxiv_2026/audit/analyses/brown_adherence/main_linkage_b_amendment/stage2/source_data/main_linkage_b_amendment_stage2_frames_sample_flow_source.csv","d6aa360f923826746377c5a0c9f6f5f4d4556ec6f08a1d20716842e62180b051","B_any participants","Stored value, unit conversion and display rounding only",TRUE
"P-R04A","cycles","794","/Users/zauner/.codex/worktrees/82ab/ZaunerEtAl_bioRxiv_2026/audit/analyses/brown_adherence/main_linkage_b_amendment/stage2/source_data/main_linkage_b_amendment_stage2_frames_sample_flow_source.csv","d6aa360f923826746377c5a0c9f6f5f4d4556ec6f08a1d20716842e62180b051","B_any cycles","Stored value, unit conversion and display rounding only",TRUE
"P-R04A","valid_minutes","1,043,192","/Users/zauner/.codex/worktrees/82ab/ZaunerEtAl_bioRxiv_2026/audit/analyses/brown_adherence/main_linkage_b_amendment/stage2/source_data/main_linkage_b_amendment_stage2_frames_sample_flow_source.csv","d6aa360f923826746377c5a0c9f6f5f4d4556ec6f08a1d20716842e62180b051","B_any valid_minutes","Stored value, unit conversion and display rounding only",TRUE
"Table 2","rows","2,069","/Users/zauner/.codex/worktrees/82ab/ZaunerEtAl_bioRxiv_2026/audit/analyses/brown_adherence/main_linkage_b_amendment/stage2/source_data/main_linkage_b_amendment_stage2_frames_sample_flow_source.csv","d6aa360f923826746377c5a0c9f6f5f4d4556ec6f08a1d20716842e62180b051","B_80 rows","Stored value, unit conversion and display rounding only",TRUE
"Table 2","participants","140","/Users/zauner/.codex/worktrees/82ab/ZaunerEtAl_bioRxiv_2026/audit/analyses/brown_adherence/main_linkage_b_amendment/stage2/source_data/main_linkage_b_amendment_stage2_frames_sample_flow_source.csv","d6aa360f923826746377c5a0c9f6f5f4d4556ec6f08a1d20716842e62180b051","B_80 participants","Stored value, unit conversion and display rounding only",TRUE
"Table 2","cycles","762","/Users/zauner/.codex/worktrees/82ab/ZaunerEtAl_bioRxiv_2026/audit/analyses/brown_adherence/main_linkage_b_amendment/stage2/source_data/main_linkage_b_amendment_stage2_frames_sample_flow_source.csv","d6aa360f923826746377c5a0c9f6f5f4d4556ec6f08a1d20716842e62180b051","B_80 cycles","Stored value, unit conversion and display rounding only",TRUE
"Table 2","valid_minutes","996,868","/Users/zauner/.codex/worktrees/82ab/ZaunerEtAl_bioRxiv_2026/audit/analyses/brown_adherence/main_linkage_b_amendment/stage2/source_data/main_linkage_b_amendment_stage2_frames_sample_flow_source.csv","d6aa360f923826746377c5a0c9f6f5f4d4556ec6f08a1d20716842e62180b051","B_80 valid_minutes","Stored value, unit conversion and display rounding only",TRUE
"P-R04A","primary_any_valid Daytime estimate","5.1","/Users/zauner/.codex/worktrees/82ab/ZaunerEtAl_bioRxiv_2026/audit/analyses/brown_adherence/main_linkage_b_amendment/stage2/source_data/main_linkage_b_amendment_stage2_multiplicity_BA_M1_source.csv","c17e04f98eaf8b84430e0f8dcdc5206881deb184c832873c504edf5838883f47","primary_any_valid Daytime estimate","Stored value, unit conversion and display rounding only",TRUE
"P-R04A","primary_any_valid Daytime conf_low","7.8","/Users/zauner/.codex/worktrees/82ab/ZaunerEtAl_bioRxiv_2026/audit/analyses/brown_adherence/main_linkage_b_amendment/stage2/source_data/main_linkage_b_amendment_stage2_multiplicity_BA_M1_source.csv","c17e04f98eaf8b84430e0f8dcdc5206881deb184c832873c504edf5838883f47","primary_any_valid Daytime conf_low","Stored value, unit conversion and display rounding only",TRUE
"P-R04A","primary_any_valid Daytime conf_high","2.4","/Users/zauner/.codex/worktrees/82ab/ZaunerEtAl_bioRxiv_2026/audit/analyses/brown_adherence/main_linkage_b_amendment/stage2/source_data/main_linkage_b_amendment_stage2_multiplicity_BA_M1_source.csv","c17e04f98eaf8b84430e0f8dcdc5206881deb184c832873c504edf5838883f47","primary_any_valid Daytime conf_high","Stored value, unit conversion and display rounding only",TRUE
"P-R04A","primary_any_valid Pre-sleep estimate","5.9","/Users/zauner/.codex/worktrees/82ab/ZaunerEtAl_bioRxiv_2026/audit/analyses/brown_adherence/main_linkage_b_amendment/stage2/source_data/main_linkage_b_amendment_stage2_multiplicity_BA_M1_source.csv","c17e04f98eaf8b84430e0f8dcdc5206881deb184c832873c504edf5838883f47","primary_any_valid Pre-sleep estimate","Stored value, unit conversion and display rounding only",TRUE
"P-R04A","primary_any_valid Pre-sleep conf_low","1.4","/Users/zauner/.codex/worktrees/82ab/ZaunerEtAl_bioRxiv_2026/audit/analyses/brown_adherence/main_linkage_b_amendment/stage2/source_data/main_linkage_b_amendment_stage2_multiplicity_BA_M1_source.csv","c17e04f98eaf8b84430e0f8dcdc5206881deb184c832873c504edf5838883f47","primary_any_valid Pre-sleep conf_low","Stored value, unit conversion and display rounding only",TRUE
"P-R04A","primary_any_valid Pre-sleep conf_high","10.5","/Users/zauner/.codex/worktrees/82ab/ZaunerEtAl_bioRxiv_2026/audit/analyses/brown_adherence/main_linkage_b_amendment/stage2/source_data/main_linkage_b_amendment_stage2_multiplicity_BA_M1_source.csv","c17e04f98eaf8b84430e0f8dcdc5206881deb184c832873c504edf5838883f47","primary_any_valid Pre-sleep conf_high","Stored value, unit conversion and display rounding only",TRUE
"P-R04A","primary_any_valid Sleep estimate","6.5","/Users/zauner/.codex/worktrees/82ab/ZaunerEtAl_bioRxiv_2026/audit/analyses/brown_adherence/main_linkage_b_amendment/stage2/source_data/main_linkage_b_amendment_stage2_multiplicity_BA_M1_source.csv","c17e04f98eaf8b84430e0f8dcdc5206881deb184c832873c504edf5838883f47","primary_any_valid Sleep estimate","Stored value, unit conversion and display rounding only",TRUE
"P-R04A","primary_any_valid Sleep conf_low","9.1","/Users/zauner/.codex/worktrees/82ab/ZaunerEtAl_bioRxiv_2026/audit/analyses/brown_adherence/main_linkage_b_amendment/stage2/source_data/main_linkage_b_amendment_stage2_multiplicity_BA_M1_source.csv","c17e04f98eaf8b84430e0f8dcdc5206881deb184c832873c504edf5838883f47","primary_any_valid Sleep conf_low","Stored value, unit conversion and display rounding only",TRUE
"P-R04A","primary_any_valid Sleep conf_high","3.8","/Users/zauner/.codex/worktrees/82ab/ZaunerEtAl_bioRxiv_2026/audit/analyses/brown_adherence/main_linkage_b_amendment/stage2/source_data/main_linkage_b_amendment_stage2_multiplicity_BA_M1_source.csv","c17e04f98eaf8b84430e0f8dcdc5206881deb184c832873c504edf5838883f47","primary_any_valid Sleep conf_high","Stored value, unit conversion and display rounding only",TRUE
"P-R04A","support_80 Pre-sleep estimate","4.1","/Users/zauner/.codex/worktrees/82ab/ZaunerEtAl_bioRxiv_2026/audit/analyses/brown_adherence/main_linkage_b_amendment/stage2/source_data/main_linkage_b_amendment_stage2_multiplicity_BA_M1_source.csv","c17e04f98eaf8b84430e0f8dcdc5206881deb184c832873c504edf5838883f47","support_80 Pre-sleep estimate","Stored value, unit conversion and display rounding only",TRUE
"P-R04A","support_80 Pre-sleep conf_low","-0.9","/Users/zauner/.codex/worktrees/82ab/ZaunerEtAl_bioRxiv_2026/audit/analyses/brown_adherence/main_linkage_b_amendment/stage2/source_data/main_linkage_b_amendment_stage2_multiplicity_BA_M1_source.csv","c17e04f98eaf8b84430e0f8dcdc5206881deb184c832873c504edf5838883f47","support_80 Pre-sleep conf_low","Stored value, unit conversion and display rounding only",TRUE
"P-R04A","support_80 Pre-sleep conf_high","9.1","/Users/zauner/.codex/worktrees/82ab/ZaunerEtAl_bioRxiv_2026/audit/analyses/brown_adherence/main_linkage_b_amendment/stage2/source_data/main_linkage_b_amendment_stage2_multiplicity_BA_M1_source.csv","c17e04f98eaf8b84430e0f8dcdc5206881deb184c832873c504edf5838883f47","support_80 Pre-sleep conf_high","Stored value, unit conversion and display rounding only",TRUE
"P-R04B","Site heterogeneity in Free day minus Work day","0.002","/Users/zauner/.codex/worktrees/82ab/ZaunerEtAl_bioRxiv_2026/audit/analyses/brown_adherence/main_linkage_b_amendment/stage2/source_data/main_linkage_b_amendment_stage2_multiplicity_BA_M2_source.csv","36b498480944e95be5701cab9a4e0fcccd0e4d8bdf66a0101a15f56686182327","primary_any_valid Site heterogeneity in Free day minus Work day p_adjusted","Stored value, unit conversion and display rounding only",TRUE
"P-R04B","Site heterogeneity in Free day minus Work day","0.818","/Users/zauner/.codex/worktrees/82ab/ZaunerEtAl_bioRxiv_2026/audit/analyses/brown_adherence/main_linkage_b_amendment/stage2/source_data/main_linkage_b_amendment_stage2_multiplicity_BA_M2_source.csv","36b498480944e95be5701cab9a4e0fcccd0e4d8bdf66a0101a15f56686182327","primary_any_valid Site heterogeneity in Free day minus Work day p_adjusted","Stored value, unit conversion and display rounding only",TRUE
"P-R04B","Site heterogeneity in Free day minus Work day","0.002","/Users/zauner/.codex/worktrees/82ab/ZaunerEtAl_bioRxiv_2026/audit/analyses/brown_adherence/main_linkage_b_amendment/stage2/source_data/main_linkage_b_amendment_stage2_multiplicity_BA_M2_source.csv","36b498480944e95be5701cab9a4e0fcccd0e4d8bdf66a0101a15f56686182327","primary_any_valid Site heterogeneity in Free day minus Work day p_adjusted","Stored value, unit conversion and display rounding only",TRUE
"P-R04B","Global State by Site by Day-type interaction","0.008","/Users/zauner/.codex/worktrees/82ab/ZaunerEtAl_bioRxiv_2026/audit/analyses/brown_adherence/main_linkage_b_amendment/stage2/source_data/main_linkage_b_amendment_stage2_multiplicity_BA_M3_source.csv","5961cd10191268a08edd55a4f2b4c0dea7835af0ab4dda1e7bb86211b0f8de65","primary_any_valid Global State by Site by Day-type interaction p_adjusted","Stored value, unit conversion and display rounding only",TRUE
"P-R04B","Daytime Dortmund (DE) estimate","14.8","/Users/zauner/.codex/worktrees/82ab/ZaunerEtAl_bioRxiv_2026/audit/analyses/brown_adherence/main_linkage_b_amendment/stage2/source_data/main_linkage_b_amendment_stage2_multiplicity_BA_M6_primary_source.csv","660884e745e0210b92e5363d76f8e668bca2ea5ff2264f6b02ea8c5bd9b30930","Daytime Dortmund (DE) estimate","Stored value, unit conversion and display rounding only",TRUE
"P-R04B","Daytime Dortmund (DE) conf_low","6.7","/Users/zauner/.codex/worktrees/82ab/ZaunerEtAl_bioRxiv_2026/audit/analyses/brown_adherence/main_linkage_b_amendment/stage2/source_data/main_linkage_b_amendment_stage2_multiplicity_BA_M6_primary_source.csv","660884e745e0210b92e5363d76f8e668bca2ea5ff2264f6b02ea8c5bd9b30930","Daytime Dortmund (DE) conf_low","Stored value, unit conversion and display rounding only",TRUE
"P-R04B","Daytime Dortmund (DE) conf_high","22.9","/Users/zauner/.codex/worktrees/82ab/ZaunerEtAl_bioRxiv_2026/audit/analyses/brown_adherence/main_linkage_b_amendment/stage2/source_data/main_linkage_b_amendment_stage2_multiplicity_BA_M6_primary_source.csv","660884e745e0210b92e5363d76f8e668bca2ea5ff2264f6b02ea8c5bd9b30930","Daytime Dortmund (DE) conf_high","Stored value, unit conversion and display rounding only",TRUE
"P-R04B","Daytime Dortmund (DE) FDR","0.004","/Users/zauner/.codex/worktrees/82ab/ZaunerEtAl_bioRxiv_2026/audit/analyses/brown_adherence/main_linkage_b_amendment/stage2/source_data/main_linkage_b_amendment_stage2_multiplicity_BA_M6_primary_source.csv","660884e745e0210b92e5363d76f8e668bca2ea5ff2264f6b02ea8c5bd9b30930","Daytime Dortmund (DE) p_adjusted","Stored value, unit conversion and display rounding only",TRUE
"P-R04B","Daytime Madrid (ES) estimate","9.2","/Users/zauner/.codex/worktrees/82ab/ZaunerEtAl_bioRxiv_2026/audit/analyses/brown_adherence/main_linkage_b_amendment/stage2/source_data/main_linkage_b_amendment_stage2_multiplicity_BA_M6_primary_source.csv","660884e745e0210b92e5363d76f8e668bca2ea5ff2264f6b02ea8c5bd9b30930","Daytime Madrid (ES) estimate","Stored value, unit conversion and display rounding only",TRUE
"P-R04B","Daytime Madrid (ES) conf_low","-15.6","/Users/zauner/.codex/worktrees/82ab/ZaunerEtAl_bioRxiv_2026/audit/analyses/brown_adherence/main_linkage_b_amendment/stage2/source_data/main_linkage_b_amendment_stage2_multiplicity_BA_M6_primary_source.csv","660884e745e0210b92e5363d76f8e668bca2ea5ff2264f6b02ea8c5bd9b30930","Daytime Madrid (ES) conf_low","Stored value, unit conversion and display rounding only",TRUE
"P-R04B","Daytime Madrid (ES) conf_high","-2.8","/Users/zauner/.codex/worktrees/82ab/ZaunerEtAl_bioRxiv_2026/audit/analyses/brown_adherence/main_linkage_b_amendment/stage2/source_data/main_linkage_b_amendment_stage2_multiplicity_BA_M6_primary_source.csv","660884e745e0210b92e5363d76f8e668bca2ea5ff2264f6b02ea8c5bd9b30930","Daytime Madrid (ES) conf_high","Stored value, unit conversion and display rounding only",TRUE
"P-R04B","Daytime Madrid (ES) FDR","0.044","/Users/zauner/.codex/worktrees/82ab/ZaunerEtAl_bioRxiv_2026/audit/analyses/brown_adherence/main_linkage_b_amendment/stage2/source_data/main_linkage_b_amendment_stage2_multiplicity_BA_M6_primary_source.csv","660884e745e0210b92e5363d76f8e668bca2ea5ff2264f6b02ea8c5bd9b30930","Daytime Madrid (ES) p_adjusted","Stored value, unit conversion and display rounding only",TRUE
"P-R04B","Sleep Kumasi (GH) estimate","6.3","/Users/zauner/.codex/worktrees/82ab/ZaunerEtAl_bioRxiv_2026/audit/analyses/brown_adherence/main_linkage_b_amendment/stage2/source_data/main_linkage_b_amendment_stage2_multiplicity_BA_M6_primary_source.csv","660884e745e0210b92e5363d76f8e668bca2ea5ff2264f6b02ea8c5bd9b30930","Sleep Kumasi (GH) estimate","Stored value, unit conversion and display rounding only",TRUE
