"check","pass","detail"
"full_main_reverse_reconstruction",TRUE,"All non-Brown text and structure, including title, abstract and declarations, remain byte-exact"
"full_SI_reverse_reconstruction",TRUE,""
"live_preimage_ZaunerEtAl2026_NatHealth_phase3_brown.qmd",TRUE,""
"live_preimage_supplementary_information_outline.qmd",TRUE,""
"live_preimage__quarto.yml",TRUE,""
"live_preimage_references_merged.bib",TRUE,""
"live_preimage_manuscript_displays.css",TRUE,""
"accepted_report_13_cross_state_association_results_amendment.qmd",TRUE,""
"accepted_report_13_cross_state_association_results_amendment.html",TRUE,""
"accepted_report_14_cross_state_association_preparation_and_provenance.qmd",TRUE,""
"accepted_report_14_cross_state_association_preparation_and_provenance.html",TRUE,""
"accepted_report_main_linkage_b_amendment/stage2/implementation_and_reconciliation.qmd",TRUE,""
"accepted_report_main_linkage_b_amendment/stage2/implementation_and_reconciliation.html",TRUE,""
"selected_accepted_leaf_main_adherence_levels.svg",TRUE,""
"frozen_copy_main_adherence_levels.svg",TRUE,""
"selected_accepted_leaf_main_site_workday.svg",TRUE,""
"frozen_copy_main_site_workday.svg",TRUE,""
"selected_accepted_leaf_main_site_free_work.svg",TRUE,""
"frozen_copy_main_site_free_work.svg",TRUE,""
"selected_accepted_leaf_main_adherence_levels_source.csv",TRUE,""
"frozen_copy_main_adherence_levels_source.csv",TRUE,""
"selected_accepted_leaf_main_site_workday_source.csv",TRUE,""
"frozen_copy_main_site_workday_source.csv",TRUE,""
"selected_accepted_leaf_main_site_free_work_source.csv",TRUE,""
"frozen_copy_main_site_free_work_source.csv",TRUE,""
"selected_accepted_leaf_table_samples_source.csv",TRUE,""
"frozen_copy_table_samples_source.csv",TRUE,""
"selected_accepted_leaf_table_levels_source.csv",TRUE,""
"frozen_copy_table_levels_source.csv",TRUE,""
"selected_accepted_leaf_table_primary_source.csv",TRUE,""
"frozen_copy_table_primary_source.csv",TRUE,""
"selected_accepted_leaf_table_interactions_source.csv",TRUE,""
"frozen_copy_table_interactions_source.csv",TRUE,""
"selected_accepted_leaf_table_coverage_source.csv",TRUE,""
"frozen_copy_table_coverage_source.csv",TRUE,""
"selected_accepted_leaf_table_r2_source.csv",TRUE,""
"frozen_copy_table_r2_source.csv",TRUE,""
"selected_accepted_leaf_table_shapley_global_source.csv",TRUE,""
"frozen_copy_table_shapley_global_source.csv",TRUE,""
"selected_accepted_leaf_table_shapley_within_source.csv",TRUE,""
"frozen_copy_table_shapley_within_source.csv",TRUE,""
"selected_accepted_leaf_table_chest_source.csv",TRUE,""
"frozen_copy_table_chest_source.csv",TRUE,""
"selected_accepted_leaf_table_multiplicity_source.csv",TRUE,""
"frozen_copy_table_multiplicity_source.csv",TRUE,""
"selected_accepted_leaf_table_localizations_source.csv",TRUE,""
"frozen_copy_table_localizations_source.csv",TRUE,""
"selected_accepted_leaf_table_grouping_source.csv",TRUE,""
"frozen_copy_table_grouping_source.csv",TRUE,""
"selected_accepted_leaf_table_pair_eligibility_source.csv",TRUE,""
"frozen_copy_table_pair_eligibility_source.csv",TRUE,""
"selected_accepted_leaf_table_diagnostics_source.csv",TRUE,""
"frozen_copy_table_diagnostics_source.csv",TRUE,""
"selected_accepted_leaf_table_measurement_source.csv",TRUE,""
"frozen_copy_table_measurement_source.csv",TRUE,""
"selected_accepted_leaf_table_model_components_source.csv",TRUE,""
"frozen_copy_table_model_components_source.csv",TRUE,""
"canonical_to_sealed_aggregate_values_table_association_effects.csv",TRUE,""
"selected_accepted_leaf_stage3_cross_state_association_source_data_table_association_effects_source.csv",TRUE,""
"frozen_copy_table_association_effects.csv",TRUE,""
"canonical_to_sealed_aggregate_values_table_coverage_gate.csv",TRUE,""
"selected_accepted_leaf_stage3_cross_state_association_source_data_table_coverage_gate_source.csv",TRUE,""
"frozen_copy_table_coverage_gate.csv",TRUE,""
"canonical_to_sealed_aggregate_values_table_selected_sample.csv",TRUE,""
"selected_accepted_leaf_stage3_cross_state_association_source_data_table_selected_sample_source.csv",TRUE,""
"frozen_copy_table_selected_sample.csv",TRUE,""
"selected_accepted_leaf_main_linkage_b_amendment_stage2_frames_sample_flow_source.csv",TRUE,""
"selected_accepted_leaf_main_linkage_b_amendment_stage2_estimands_equal_site_means_source.csv",TRUE,""
"selected_accepted_leaf_main_linkage_b_amendment_stage2_multiplicity_BA_M1_source.csv",TRUE,""
"selected_accepted_leaf_main_linkage_b_amendment_stage2_multiplicity_BA_M2_source.csv",TRUE,""
"selected_accepted_leaf_main_linkage_b_amendment_stage2_multiplicity_BA_M3_source.csv",TRUE,""
"selected_accepted_leaf_main_linkage_b_amendment_stage2_multiplicity_BA_M6_primary_source.csv",TRUE,""
"selected_accepted_leaf_main_linkage_b_amendment_stage2_estimands_B_to_B80_claim_gate_source.csv",TRUE,""
"selected_accepted_leaf_main_linkage_b_amendment_stage2_r2_variance_decomposition_source.csv",TRUE,""
"selected_accepted_leaf_main_linkage_b_amendment_stage2_r2_shapley_global_source.csv",TRUE,""
"M6_stored_adjusted_field",TRUE,""
"M6_three_retained_localizations",TRUE,""
"P-R04A / rows",TRUE,"2,298"
"P-R04A / participants",TRUE,"140"
"P-R04A / cycles",TRUE,"794"
"P-R04A / valid_minutes",TRUE,"1,043,192"
"Table 2 / rows",TRUE,"2,069"
"Table 2 / participants",TRUE,"140"
"Table 2 / cycles",TRUE,"762"
"Table 2 / valid_minutes",TRUE,"996,868"
"P-R04A / primary_any_valid Daytime estimate",TRUE,"5.1"
"P-R04A / primary_any_valid Daytime conf_low",TRUE,"7.8"
"P-R04A / primary_any_valid Daytime conf_high",TRUE,"2.4"
"P-R04A / primary_any_valid Pre-sleep estimate",TRUE,"5.9"
"P-R04A / primary_any_valid Pre-sleep conf_low",TRUE,"1.4"
"P-R04A / primary_any_valid Pre-sleep conf_high",TRUE,"10.5"
"P-R04A / primary_any_valid Sleep estimate",TRUE,"6.5"
"P-R04A / primary_any_valid Sleep conf_low",TRUE,"9.1"
"P-R04A / primary_any_valid Sleep conf_high",TRUE,"3.8"
"P-R04A / support_80 Pre-sleep estimate",TRUE,"4.1"
"P-R04A / support_80 Pre-sleep conf_low",TRUE,"-0.9"
"P-R04A / support_80 Pre-sleep conf_high",TRUE,"9.1"
"P-R04B / Site heterogeneity in Free day minus Work day",TRUE,"0.002"
"P-R04B / Site heterogeneity in Free day minus Work day",TRUE,"0.818"
"P-R04B / Site heterogeneity in Free day minus Work day",TRUE,"0.002"
"P-R04B / Global State by Site by Day-type interaction",TRUE,"0.008"
"P-R04B / Daytime Dortmund (DE) estimate",TRUE,"14.8"
"P-R04B / Daytime Dortmund (DE) conf_low",TRUE,"6.7"
"P-R04B / Daytime Dortmund (DE) conf_high",TRUE,"22.9"
"P-R04B / Daytime Dortmund (DE) FDR",TRUE,"0.004"
"P-R04B / Daytime Madrid (ES) estimate",TRUE,"9.2"
"P-R04B / Daytime Madrid (ES) conf_low",TRUE,"-15.6"
"P-R04B / Daytime Madrid (ES) conf_high",TRUE,"-2.8"
"P-R04B / Daytime Madrid (ES) FDR",TRUE,"0.044"
"P-R04B / Sleep Kumasi (GH) estimate",TRUE,"6.3"
"P-R04B / Sleep Kumasi (GH) conf_low",TRUE,"3.5"
"P-R04B / Sleep Kumasi (GH) conf_high",TRUE,"9.1"
"P-R04B / Sleep Kumasi (GH) FDR",TRUE,"<0.001"
"P-R04C / marginal_r2",TRUE,"58.0"
"P-R04C / random_effect_increment",TRUE,"2.3"
"P-R04C / observation_distribution_share",TRUE,"39.8"
"P-R04C / conditional_r2",TRUE,"60.2"
"P-R04C / analysis_state relative share",TRUE,"94.2"
"P-R04C / site relative share",TRUE,"4.8"
"P-R04C / site absolute contribution",TRUE,"2.8"
"P-R04C / day_type relative share",TRUE,"1.0"
"P-R04C / day_type absolute contribution",TRUE,"0.6"
"P-R04C / site / participant increment",TRUE,"1.2"
"site_day_approximately_five",TRUE,""
"coverage_direction_and_interval_boundary",TRUE,""
"canonical_to_sealed_aggregate_values_table_association_effects.csv",TRUE,""
"selected_accepted_leaf_stage3_cross_state_association_source_data_table_association_effects_source.csv",TRUE,""
"P-R04D / within Sleep response_effect_percentage_points",TRUE,"-0.26"
"P-R04D / within Sleep response_conf_low_percentage_points",TRUE,"-0.95"
"P-R04D / within Sleep response_conf_high_percentage_points",TRUE,"0.43"
"P-R04D / within Pre-sleep response_effect_percentage_points",TRUE,"-1.09"
"P-R04D / within Pre-sleep response_conf_low_percentage_points",TRUE,"-2.75"
"P-R04D / within Pre-sleep response_conf_high_percentage_points",TRUE,"0.56"
"P-R04D / between Sleep response_effect_percentage_points",TRUE,"2.52"
"P-R04D / between Sleep response_conf_low_percentage_points",TRUE,"3.55"
"P-R04D / between Sleep response_conf_high_percentage_points",TRUE,"1.48"
"P-R04D / between Pre-sleep response_effect_percentage_points",TRUE,"3.59"
"P-R04D / between Pre-sleep response_conf_low_percentage_points",TRUE,"5.94"
