"path","manifest_match","classification"
"audit/hypotheses/H06/01_audit_and_plan.html",TRUE,"must match historical Stage 3 manifest"
"audit/hypotheses/H06/01_audit_and_plan.qmd",TRUE,"must match historical Stage 3 manifest"
"audit/hypotheses/H06/02_implementation_and_v0_comparison.html",TRUE,"must match historical Stage 3 manifest"
"audit/hypotheses/H06/02_implementation_and_v0_comparison.qmd",TRUE,"must match historical Stage 3 manifest"
"audit/hypotheses/H06/02a_v0_scaffold_model_pilots.html",TRUE,"must match historical Stage 3 manifest"
"audit/hypotheses/H06/02a_v0_scaffold_model_pilots.qmd",TRUE,"must match historical Stage 3 manifest"
"scripts/hypotheses/H06/assess_h06_v0_scaffold_robust_candidate.R",TRUE,"must match historical Stage 3 manifest"
"scripts/hypotheses/H06/audit_h06_stored_bam_models.R",TRUE,"must match historical Stage 3 manifest"
"scripts/hypotheses/H06/build_h06_exploratory_two_part_reader_artifacts.R",TRUE,"must match historical Stage 3 manifest"
"scripts/hypotheses/H06/build_h06_stage2_reader_artifacts.R",TRUE,"must match historical Stage 3 manifest"
"scripts/hypotheses/H06/build_h06_stage3_manifest.R",TRUE,"must match historical Stage 3 manifest"
"scripts/hypotheses/H06/build_h06_stage3_reader_displays.R",TRUE,"must match historical Stage 3 manifest"
"scripts/hypotheses/H06/build_h06_stage3_site_deviations.R",TRUE,"must match historical Stage 3 manifest"
"scripts/hypotheses/H06/build_h06_stage3_site_specific_screening.R",TRUE,"must match historical Stage 3 manifest"
"scripts/hypotheses/H06/build_h06_stage3_temporal_contrasts.R",TRUE,"must match historical Stage 3 manifest"
"scripts/hypotheses/H06/build_h06_v0_scaffold_pilot_reader_artifacts.R",TRUE,"must match historical Stage 3 manifest"
"scripts/hypotheses/H06/diagnose_h06_exploratory_two_part.R",TRUE,"must match historical Stage 3 manifest"
"scripts/hypotheses/H06/h06_contract.R",FALSE,"superseded by accepted later H06 transition"
"scripts/hypotheses/H06/h06_modeling.R",TRUE,"must match historical Stage 3 manifest"
"scripts/hypotheses/H06/h06_robust_modeling.R",TRUE,"must match historical Stage 3 manifest"
"scripts/hypotheses/H06/pilot_h06_h03_robust_mean_route.R",TRUE,"must match historical Stage 3 manifest"
