"endpoint","table_present","caption_present","caption"
"tbl-h06-primary-effects",TRUE,FALSE,NA
"tbl-h06-primary-site-interactions",TRUE,FALSE,NA
"tbl-h06-site-specific-associations",TRUE,FALSE,NA
"tbl-h06-gap-sensitivity-comparisons",TRUE,FALSE,NA
"tbl-h06-employment-eligibility-sensitivity",TRUE,FALSE,NA
"tbl-h06-key-sensitivities",TRUE,FALSE,NA
"tbl-h06-influence-checks",TRUE,FALSE,NA
"tbl-h06-model-checks",TRUE,FALSE,NA
"tbl-h06-exploratory-diary-associations",TRUE,FALSE,NA
"tbl-h06-exploratory-two-part-formulas",TRUE,FALSE,NA
"tbl-h06-exact-samples",TRUE,FALSE,NA
"tbl-h06-exact-confirmatory-formulas",TRUE,FALSE,NA
"tbl-h06-fdr-adjustment",TRUE,FALSE,NA
"tbl-h06-figure-readability-checks",TRUE,FALSE,NA
