"type","source_order","endpoint"
"table",1,"tbl-h06-primary-effects"
"table",2,"tbl-h06-primary-site-interactions"
"table",3,"tbl-h06-site-specific-associations"
"table",4,"tbl-h06-gap-sensitivity-comparisons"
"table",5,"tbl-h06-employment-eligibility-sensitivity"
"table",6,"tbl-h06-key-sensitivities"
"table",7,"tbl-h06-influence-checks"
"table",8,"tbl-h06-model-checks"
"table",9,"tbl-h06-exploratory-diary-associations"
"table",10,"tbl-h06-exploratory-two-part-formulas"
"table",11,"tbl-h06-exact-samples"
"table",12,"tbl-h06-exact-confirmatory-formulas"
"table",13,"tbl-h06-fdr-adjustment"
"table",14,"tbl-h06-figure-readability-checks"
"figure",1,"fig-h06-core-effects"
"figure",2,"fig-h06-primary-site-associations"
"figure",3,"fig-h06-paired-placement"
"figure",4,"fig-h06-residual-clock"
"figure",5,"fig-h06-exploratory-day-type-time"
"figure",6,"fig-h06-exploratory-activity-time"
