"href","scope","target_exists","fragment_exists"
"../../index.html","internal",TRUE,TRUE
"#","internal",TRUE,TRUE
"../../notebooks/preparation/01_import_state_alignment.html","internal",TRUE,TRUE
"../../notebooks/preparation/02_coverage_sample_flow.html","internal",TRUE,TRUE
"../../notebooks/preparation/03_reference_profiles.html","internal",TRUE,TRUE
"../../notebooks/preparation/04_metric_derivation.html","internal",TRUE,TRUE
"../../notebooks/preparation/05_model_input_acquisition.html","internal",TRUE,TRUE
"../../notebooks/preparation/06_model_ready_datasets.html","internal",TRUE,TRUE
"../../notebooks/preparation/07_example_days.html","internal",TRUE,TRUE
"../../notebooks/placement_decision.html","internal",TRUE,TRUE
"../../notebooks/descriptives.html","internal",TRUE,TRUE
"../../notebooks/preregistration_deviations.html","internal",TRUE,TRUE
"../../notebooks/hypotheses/H01.html","internal",TRUE,TRUE
"../../audit/hypotheses/H01/H01_analysis_preparation.html","internal",TRUE,TRUE
"../../notebooks/hypotheses/H02.html","internal",TRUE,TRUE
"../../audit/hypotheses/H02/H02_analysis_preparation.html","internal",TRUE,TRUE
"../../notebooks/hypotheses/H03.html","internal",TRUE,TRUE
"../../audit/hypotheses/H03/H03_analysis_preparation.html","internal",TRUE,TRUE
"../../notebooks/hypotheses/H04.html","internal",TRUE,TRUE
"../../audit/hypotheses/H04/H04_analysis_preparation.html","internal",TRUE,TRUE
"../../notebooks/hypotheses/H05.html","internal",TRUE,TRUE
"../../audit/hypotheses/H05/H05_analysis_preparation.html","internal",TRUE,TRUE
"../../notebooks/hypotheses/H06.html","internal",TRUE,TRUE
"../../audit/hypotheses/H06/H06_analysis_preparation.html","internal",TRUE,TRUE
"../../notebooks/hypotheses/H06_daily.html","internal",TRUE,TRUE
"../../audit/hypotheses/H06_daily/H06_daily_analysis_preparation.html","internal",TRUE,TRUE
"../../notebooks/hypotheses/H07.html","internal",TRUE,TRUE
"../../audit/hypotheses/H07/H07_analysis_preparation.html","internal",TRUE,TRUE
"../../notebooks/hypotheses/H08.html","internal",TRUE,TRUE
"../../audit/hypotheses/H08/H08_analysis_preparation.html","internal",TRUE,TRUE
"../../notebooks/hypotheses/H09.html","internal",TRUE,TRUE
"../../audit/hypotheses/H09/H09_analysis_preparation.html","internal",TRUE,TRUE
"../../notebooks/hypotheses/H10.html","internal",TRUE,TRUE
"../../audit/hypotheses/H10/H10_analysis_preparation.html","internal",TRUE,TRUE
"../../notebooks/hypotheses/H11.html","internal",TRUE,TRUE
"../../audit/hypotheses/H11/H11_analysis_preparation.html","internal",TRUE,TRUE
"../../supplementary_information.html","internal",TRUE,TRUE
"../../notebooks/sensitivity_battery.html","internal",TRUE,TRUE
"","internal",TRUE,TRUE
"https://github.com/tscnlab/ZaunerEtAl_bioRxiv_2026","external",TRUE,TRUE
"https://github.com/tscnlab/ZaunerEtAl_bioRxiv_2026/issues","external",TRUE,TRUE
"https://github.com/MeLiDosProject","external",TRUE,TRUE
"../../LICENSE.md","internal",TRUE,TRUE
"#scientific-question","internal",TRUE,TRUE
"#reader-orientation","internal",TRUE,TRUE
"#principal-hourly-result","internal",TRUE,TRUE
"#site-dependence","internal",TRUE,TRUE
