"path","expected_sha256","actual_sha256","expected_bytes","actual_bytes","classification","status"
"audit/report_harmonization/owner_orders/66a_h06_sass_cache_environment_retry.md","ee3375f423ca8cdaf46d68f3d6d6d64e29a63758dd0e383dfc42739ae07ba469","ee3375f423ca8cdaf46d68f3d6d6d64e29a63758dd0e383dfc42739ae07ba469",6710,6710,"must remain exact","PASS"
"audit/report_harmonization/report018_h06_order66_environment_stop_independent_acceptance.md","d27941b813f5ebfa07ff47b93444dc0d6eca47f91713f4ea102aa1a5f3f21813","d27941b813f5ebfa07ff47b93444dc0d6eca47f91713f4ea102aa1a5f3f21813",2471,2471,"must remain exact","PASS"
"audit/report_harmonization/report018_h06_order66_environment_stop_independent_acceptance_manifest.csv","3ffebeea9b1039c62e624cb4240b87d92c797fa749f19e698d63b74b7535e325","3ffebeea9b1039c62e624cb4240b87d92c797fa749f19e698d63b74b7535e325",2733,2733,"must remain exact","PASS"
"scripts/report_harmonization/check_h06_order66_environment_stop.R","1bbd77a6e0813ffab82f14f27fcc40734e9841e3559232ddf4ae0a7a2dc6f91f","1bbd77a6e0813ffab82f14f27fcc40734e9841e3559232ddf4ae0a7a2dc6f91f",5113,5113,"must remain exact","PASS"
"audit/hypotheses/H06/employment_eligibility_sensitivity/H06_order66_result_render_fail_closed.md","2cd9930da36e0f048be039b07903f935c7ded9f4718b34f602b30e89f55d3372","2cd9930da36e0f048be039b07903f935c7ded9f4718b34f602b30e89f55d3372",4182,4182,"must remain exact","PASS"
"audit/report_harmonization/owner_orders/66_h06_employment_eligibility_result_render.md","5b32f25938356cdfb59de312b8116cf69c84c2bdaf73cf9882e94b27bd582848","5b32f25938356cdfb59de312b8116cf69c84c2bdaf73cf9882e94b27bd582848",6674,6674,"must remain exact","PASS"
"audit/report_harmonization/report018_h06_order66_dispatch_manifest.csv","8c51f137ede41312188d006a0ea4a7ff75049b6212664e9b604f30fa83960d7d","8c51f137ede41312188d006a0ea4a7ff75049b6212664e9b604f30fa83960d7d",4331,4331,"must remain exact","PASS"
"audit/report_harmonization/report018_h06_employment_eligibility_reader_source_independent_acceptance.md","4be7904fc641bd25d9937ee4d1da4fe6697c9c7086e128920d4abfbe8bcba57e","4be7904fc641bd25d9937ee4d1da4fe6697c9c7086e128920d4abfbe8bcba57e",3642,3642,"must remain exact","PASS"
"audit/report_harmonization/report018_h06_employment_eligibility_reader_source_independent_acceptance_manifest.csv","8972792ada8d76466aa976b847faa7c1a27b9a5ecb99ffe1c5e3a0aac8f22339","8972792ada8d76466aa976b847faa7c1a27b9a5ecb99ffe1c5e3a0aac8f22339",3819,3819,"must remain exact","PASS"
"scripts/report_harmonization/check_h06_employment_eligibility_reader_source_acceptance.R","d49fb9d53274a20f972054ffcd027c201c3cf31a170270895ce75f5e481d936e","d49fb9d53274a20f972054ffcd027c201c3cf31a170270895ce75f5e481d936e",7545,7545,"must remain exact","PASS"
