"category","check","status","details"
"semantic","summary, exact reverse, and exact reapplication","PASS","tables=14; ids=69; headers=355; substitutions=424; pre=4bf5f7437f3192abd8fdb40994e2b638673cf920bf561141052761c61735f357; post=b701a6d6e10e37fbe143117b70c0ba78e2d65ade0b973f3e1cd3e43a6f658dc9"
"semantic","non-semantic DOM invariance","PASS","Pre-hook and post-hook DOMs differ only in repaired id and headers values."
"structure","single main document","PASS","main_count=1"
"structure","ordered table endpoints","PASS","native_tables=14; endpoints=14"
"structure","ordered figure endpoints","PASS","figures=6"
"semantic","unique document ids","FAIL","ids=1911; unique=1843"
"semantic","table-scoped header resolution","FAIL","tables=14; tokens=355"
"semantic","unsupported references to replaced ids","PASS","findings=0"
"display","table endpoints and captions","FAIL","tables=14"
"display","figure endpoints, captions, and alternate text","PASS","figures=6"
"display","no embedded execution errors or warnings","PASS","nodes=0"
"content","employment-eligibility disclosure","PASS","required_tokens=16"
"links","employment source CSV links","PASS","links=3"
"links","no standalone sensitivity report link","PASS","The unregistered standalone sensitivity QMD is not linked."
"links","internal targets and fragments","PASS","internal=1806; external=4; failed=0"
"links","registration-record anchors","PASS","dev-015, dev-030, dev-031, dev-032"
"content","nine country-coded study sites","PASS","Borås (SE); Delft (NL); Dortmund (DE); Tübingen (DE); Munich (DE); Madrid (ES); Izmir (TR); San José (CR); Kumasi (GH)"
"links","no local, source, or build-path reader links","FAIL","hrefs=1828"
"build","classified target-owned build delta","PASS","pre=889; post=892; delta=6"
"protection","dispatch paths after render","FAIL","paths=21; authorized_html_delta=1"
"protection","historical Stage 3 manifest under later-transition classifications","PASS","exact=303/308; accepted_superseded=5"
"environment","Sass cache preserved","PASS","sass.kv remains 36,864 bytes with its accepted SHA-256 and no WAL or SHM file."
