"table_endpoint","header_tokens","status"
"tbl-h06-primary-effects",9,"FAIL"
"tbl-h06-primary-site-interactions",9,"FAIL"
"tbl-h06-site-specific-associations",55,"FAIL"
"tbl-h06-gap-sensitivity-comparisons",18,"FAIL"
"tbl-h06-employment-eligibility-sensitivity",15,"FAIL"
"tbl-h06-key-sensitivities",48,"FAIL"
"tbl-h06-influence-checks",24,"FAIL"
"tbl-h06-model-checks",54,"FAIL"
"tbl-h06-exploratory-diary-associations",12,"FAIL"
"tbl-h06-exploratory-two-part-formulas",12,"FAIL"
"tbl-h06-exact-samples",36,"FAIL"
"tbl-h06-exact-confirmatory-formulas",6,"FAIL"
"tbl-h06-fdr-adjustment",15,"FAIL"
"tbl-h06-figure-readability-checks",42,"FAIL"
