"check_id","expected","observed","status","notes"
"hash_O72I-ORDER","c813c7244989d3878c09d95136162fdfd4e5923621782941586f2136a6dc85f0","c813c7244989d3878c09d95136162fdfd4e5923621782941586f2136a6dc85f0","PASS",""
"hash_O72H-QMD","197e571f3aaa2be34747ee742a20018f98d541eed87851250b4f3eda131c72a9","197e571f3aaa2be34747ee742a20018f98d541eed87851250b4f3eda131c72a9","PASS",""
"hash_O72H-HTML","7055fc384bd845f8b42e3d37901c846060aeef6b8248536dc75240070e7a51e4","7055fc384bd845f8b42e3d37901c846060aeef6b8248536dc75240070e7a51e4","PASS",""
"hash_O72H-ACCEPT","8870898213aaf300f289d81f5317a2a27faa97b1798f2d2922d7cb3cfb531c59","8870898213aaf300f289d81f5317a2a27faa97b1798f2d2922d7cb3cfb531c59","PASS",""
"hash_O72H-MANIFEST","6ca21403fdaa2f08c069c0381e6ff3fc0a34e3ad5787dff82f4b61b087c24465","6ca21403fdaa2f08c069c0381e6ff3fc0a34e3ad5787dff82f4b61b087c24465","PASS",""
"hash_O72D-DOCX","933249b33defbb2155b0d98da60db980302817537b06671982dc5114ce29eac9","933249b33defbb2155b0d98da60db980302817537b06671982dc5114ce29eac9","PASS",""
"hash_O72D-MANIFEST","76bebd6da0ab5985c67b229780d6c8143d82bd8fdb969b1b22d38b4d96d9ecf3","76bebd6da0ab5985c67b229780d6c8143d82bd8fdb969b1b22d38b4d96d9ecf3","PASS",""
"hash_MAIN-QMD","c6beb79ca34128c0b69d882c1e3ea332cb88664ce9a3c0883b39d1569db0a0d0","c6beb79ca34128c0b69d882c1e3ea332cb88664ce9a3c0883b39d1569db0a0d0","PASS",""
"hash_S5-COMPOSITE","61e8d4671939659ecf5eca6c6688c03414bb849d15b9d3f59f39c96ca7069cfd","61e8d4671939659ecf5eca6c6688c03414bb849d15b9d3f59f39c96ca7069cfd","PASS",""
"hash_S5-A","b3e3be0c603511efb64301ea3a5640acc49410217467f3f6850a848e33281206","b3e3be0c603511efb64301ea3a5640acc49410217467f3f6850a848e33281206","PASS",""
"hash_S5-B","fb75a367f8ce78acda0dfb28c00b73c75a944b81a2c4e6b9fb18292d12c13198","fb75a367f8ce78acda0dfb28c00b73c75a944b81a2c4e6b9fb18292d12c13198","PASS",""
"hash_S7-COMPOSITE","2dde6fd681f21feecf2acb6d693679bc56f68f809691172bb755e7aac47fa032","2dde6fd681f21feecf2acb6d693679bc56f68f809691172bb755e7aac47fa032","PASS",""
"hash_S7-A-SVG","4ddf972fc4c8082594d13a3b446537ae8a525ca35077e0605967f9c4c0ce519e","4ddf972fc4c8082594d13a3b446537ae8a525ca35077e0605967f9c4c0ce519e","PASS",""
"hash_S7-B-PNG","f19763fe3c14c723ac38846bf735c0465ba2ee18765777a4f7304c677be71113","f19763fe3c14c723ac38846bf735c0465ba2ee18765777a4f7304c677be71113","PASS",""
"hash_S15-COMPOSITE","e4b1fe228897a7135bd017c7c01f80a796a43819d5c1078008f2a927093508b5","e4b1fe228897a7135bd017c7c01f80a796a43819d5c1078008f2a927093508b5","PASS",""
"hash_S15-A-PNG","8525b9dda4a635efe2d8410e6eeb6a99722c6bc0d225f09abe684a73595dc4dd","8525b9dda4a635efe2d8410e6eeb6a99722c6bc0d225f09abe684a73595dc4dd","PASS",""
"hash_S15-A-PDF","69275a6a3fbfa7bd0b47efa4f53cb61ccbe3c7a776f146148f58026f4329357f","69275a6a3fbfa7bd0b47efa4f53cb61ccbe3c7a776f146148f58026f4329357f","PASS",""
"hash_S15-A-SOURCE","3972ae75c9aef8551cc85f50d7a438b35b7a55dca58d81f3630133132a25aaf6","3972ae75c9aef8551cc85f50d7a438b35b7a55dca58d81f3630133132a25aaf6","PASS",""
"hash_S15-B-PNG","a23cb2a9a90a232ae9bf3f94ec7b1c5ac0e3c83933d056c0920ffd59e8e0eb59","a23cb2a9a90a232ae9bf3f94ec7b1c5ac0e3c83933d056c0920ffd59e8e0eb59","PASS",""
"hash_S15-B-PDF","6912f7b1730219f5ece1d78c69fa96db0497156066fce9c9329039240d6293f3","6912f7b1730219f5ece1d78c69fa96db0497156066fce9c9329039240d6293f3","PASS",""
"hash_S15-B-SOURCE","34640aba210181b973902e00cd6924f79f6ae76faf01fa3c5b66078e2e2e7cee","34640aba210181b973902e00cd6924f79f6ae76faf01fa3c5b66078e2e2e7cee","PASS",""
"hash_S2-HTML","6832c791ed3ebcf8895106dafe68c7c5118a12a74e37aacdeb8a84b02d9bfe97","6832c791ed3ebcf8895106dafe68c7c5118a12a74e37aacdeb8a84b02d9bfe97","PASS",""
"hash_S2-CLIPPED","dfae33faff53ee52c9ff894c9788e99bb0f456b9a85cff069ffd676356daa3b8","dfae33faff53ee52c9ff894c9788e99bb0f456b9a85cff069ffd676356daa3b8","PASS",""
"hash_S17-SVG","ee82f8f1ef3f360a584a92712ea1e9e1e48341617d5d0e332743c72c956cdbfe","ee82f8f1ef3f360a584a92712ea1e9e1e48341617d5d0e332743c72c956cdbfe","PASS",""
"hash_S12-SVG","2b955196ce35eae1c973201a00523e538a6535ac59c8abe240160611a74c8b83","2b955196ce35eae1c973201a00523e538a6535ac59c8abe240160611a74c8b83","PASS",""
"all_inventory_inputs_exist","62","62","PASS",""
"s5_current_nested_image_nodes","2","2","PASS",""
"s5_component_a_image_nodes","0","0","PASS",""
"s5_component_b_image_nodes","0","0","PASS",""
"s7_current_embedded_image_nodes","2","2","PASS",""
"s7_h01_native_image_nodes","0","0","PASS",""
"s15_current_embedded_image_nodes","2","2","PASS",""
"s17_native_image_nodes","0","0","PASS",""
"s17_helvetica_declarations_present","at least 1","34","PASS",""
"s17_bottom_note_present","present","TRUE","PASS",""
"s12_mder_legend_absent","0","0","PASS",""
"table3_group_order","Duration | Dynamics | Exposure history | Level | Spectrum | Timing","Duration | Dynamics | Exposure history | Level | Spectrum | Timing","PASS",""
"table3_metric_order","Time above 1,000 lx melEDI | Time above 250 lx melEDI during wake | Time below 10 lx melEDI before sleep | Time below 1 lx melEDI during sleep | Longest period above 250 lx melEDI | Interdaily stability | Intradaily variability | melEDI dose | Mean melEDI | Brightest 10 h geometric mean | Darkest 10 h geometric mean | Melanopic daylight efficacy ratio | Midpoint of the brightest 10 hours | Midpoint of the darkest 10 hours | First light timing above 250 lx melEDI | Last light timing above 250 lx melEDI | Mean timing of exposure above 250 lx melEDI","Time above 1,000 lx melEDI | Time above 250 lx melEDI during wake | Time below 10 lx melEDI before sleep | Time below 1 lx melEDI during sleep | Longest period above 250 lx melEDI | Interdaily stability | Intradaily variability | melEDI dose | Mean melEDI | Brightest 10 h geometric mean | Darkest 10 h geometric mean | Melanopic daylight efficacy ratio | Midpoint of the brightest 10 hours | Midpoint of the darkest 10 hours | First light timing above 250 lx melEDI | Last light timing above 250 lx melEDI | Mean timing of exposure above 250 lx melEDI","PASS",""
"s2_source_columns","14","14","PASS",""
"s2_source_metric_rows","17","17","PASS",""
"s2_source_distributions","17","17","PASS",""
"current_s2_horizontal_column_sets","2","2","PASS","Repair removes horizontal splitting"
"supp_qmd_s7_current_single_image","1","1","PASS",""
"supp_qmd_s15_current_single_image","1","1","PASS",""
"selection_h06_daily_display_refs_excluded","0","0","PASS","The audit prose may name H06_daily only to record its omission"
