"change_id","display","owner","exact_inputs","candidate_only_output","proposed_change","must_preserve","prospective_tests","reverse_proof","trial_limit","dependency","promotion_condition"
"DR-S5-01","Supplementary Figure S5","Brown","Accepted BA-017 replacement panel A and panel B SVGs plus the accepted S5 layout; historical compatibility inputs are S5-A SHA b3e3be0c603511efb64301ea3a5640acc49410217467f3f6850a848e33281206, S5-B SHA fb75a367f8ce78acda0dfb28c00b73c75a944b81a2c4e6b9fb18292d12c13198, and layout geometry A x=90 y=190 width=2640 height=3360, B x=2826 y=190 width=2640 height=3360 on 5556 by 3640","audit/analyses/brown_adherence/manuscript_selection/supplementary_figure_s5/report018_order72j_flat_svg/candidate/brown_supplementary_figure_s5_flat.svg","Copy the two accepted graphical trees into prefixed SVG groups within one flat left-right native-vector SVG. Do not use nested image elements or a raster fallback.","Every mark, label, interval, reference line, color, non-color cue, panel size, relative position, and qualification; uppercase A and B at the left","XML parses; zero image elements; unique prefixed ids; all references resolve; exact outer geometry; browser, native Word, and LibreOffice appearance checks; compare against accepted component renders","Extract the A and B groups from the candidate, undo the recorded transforms, canonicalize XML, and compare graphical-tree structure and rendered geometry to the accepted input components","One historical compatibility trial if needed, then one final trial using accepted BA-017 panels","BA-017 accepted replacement panels and Coordinator resolution of caption authority","Independent acceptance confirms native-vector identity and display equivalence; BA-017 is closed; caption authority is sealed"
"DR-S5-02","Supplementary Figure S5","Brown/Coordinator","audit/decisions/brown_adherence_main_linkage_b_stage1_reopening.md and later BA-017 acceptance evidence","No display output","Hold final S5 generation until the reopened Brown analysis supplies accepted replacement panels.","Historical values cannot be promoted as final scientific content","Hash the accepted BA-017 inputs and verify the flat candidate was built from those exact hashes","Manifest traces every output group to the final accepted BA-017 component","No additional scientific run","BA-017","Accepted Brown scientific outputs are sealed before display generation"
"DR-S5-03","Supplementary Figure S5 caption","Coordinator","Brown caption draft SHA 8306919b74648a51e7b3afb88564dcdeabfab0d24ea9d57f7e58e7eea7478d37 and audit/decisions/placement_decision.md","A separately sealed caption decision, not an asset","Resolve the conflict between the Brown draft's recorded near-eye interpretation and PLACEMENT-006 bedside-environment wording.","Measurement meaning, placement caveat, and no unsupported ocular-exposure claim","Protected-token comparison plus Coordinator approval","Diff records the exact replaced clause and preserves all numbers and statistical terms","One wording decision","Coordinator scientific authority","One authoritative caption is named before Writer integration"
"DR-S7-01","Supplementary Figure S7 A","H01/Harmonizer","artifacts/10_figures/H01/stage3/H01_stage3_model_support.svg SHA 4ddf972fc4c8082594d13a3b446537ae8a525ca35077e0605967f9c4c0ce519e","Byte-exact reuse at the existing path","Use the existing genuine H01 SVG as the first independent full-width block.","Every source byte and accepted H01 meaning","SHA-256 equality; zero image elements; browser and Word inspection","Candidate reference resolves to the same exact SHA","Zero regeneration trials","None","Exact source hash and appearance pass"
"DR-S7-02","Supplementary Figure S7 B","H07","Accepted PNG SHA f19763fe3c14c723ac38846bf735c0465ba2ee18765777a4f7304c677be71113; H07_main_curve_points.csv; H07_revised_derivative_points.csv; H07_revised_plateau_summary.csv; H07_revised_derivative_photoperiod_rows.csv; H07_revised_paired_figure_settings.csv; existing plotting expression","audit/hypotheses/H07/report018_order72j_split_svg_export/candidate/H07_revised_smooth_derivative_pairs_near_eye.svg","Export a native SVG from the accepted frozen display rows only.","All accepted plotted values, intervals, annotations, axes, colors, non-color cues, and component-internal panels","R 4.6.1; input hash pins; no model or inferential object read; zero image elements; SVG/PDF or SVG/PNG rendered comparison; browser and Word inspection","Manifest maps SVG plot layers to the frozen rows and verifies the PNG comparator geometry","One bounded SVG export trial and one correction trial if a renderer-only defect is found","Coordinator implementation release","Independent visual and structural acceptance"
"DR-S7-03","Supplementary Figure S7 layout","Harmonizer/Writer","Accepted S7 caption, H01 SVG, and accepted H07 SVG","audit/manuscript_nature_health/consolidated_display_repair_2026_09_11/integration_candidate/manuscript_figure_table_selection.qmd and manuscript/R0_NatHealth/revision candidate only","Replace the current wrapper with two stacked full-width image blocks inside one fig-s7 container, each with its own alt text and uppercase left-side A/B tag.","One figure number, one shared caption, all inbound links, all downstream numbering, component-internal panels","Quarto AST/HTML check finds one fig-s7 and two image blocks; caption exactly once; two nonempty distinct alt texts; 20 numbered figures total; browser inspection","Source diff is limited to the one S7 block and its asset references","One integration trial and one layout correction trial","DR-S7-01 and DR-S7-02 accepted","Browser, Word, and independent acceptance pass"
"DR-S15-01","Supplementary Figure S15 A","H09","H09_primary_effects.png SHA 8525b9dda4a635efe2d8410e6eeb6a99722c6bc0d225f09abe684a73595dc4dd; H09_primary_effects.pdf SHA 69275a6a3fbfa7bd0b47efa4f53cb61ccbe3c7a776f146148f58026f4329357f; H09_primary_effects_data.csv SHA 3972ae75c9aef8551cc85f50d7a438b35b7a55dca58d81f3630133132a25aaf6; existing plotting expression","audit/hypotheses/H09/report018_order72j_split_svg_export/candidate/H09_primary_effects.svg","Export a genuine native SVG from frozen accepted display rows.","Every estimate, interval, non-estimable state, label, axis, color, and non-color cue","R 4.6.1; input pins; no model read; zero image elements; rendered equality against accepted PNG/PDF comparators; browser and Word inspection","Manifest maps graphical layers to frozen source rows and comparator geometry","One bounded export trial and one renderer-only correction trial","Coordinator implementation release","Independent visual and structural acceptance"
"DR-S15-02","Supplementary Figure S15 B","H09","H09_observed_timing_patterns.png SHA a23cb2a9a90a232ae9bf3f94ec7b1c5ac0e3c83933d056c0920ffd59e8e0eb59; H09_observed_timing_patterns.pdf SHA 6912f7b1730219f5ece1d78c69fa96db0497156066fce9c9329039240d6293f3; H09_observed_timing_patterns_data.csv SHA 34640aba210181b973902e00cd6924f79f6ae76faf01fa3c5b66078e2e2e7cee; existing plotting expression","audit/hypotheses/H09/report018_order72j_split_svg_export/candidate/H09_observed_timing_patterns.svg","Export a genuine native SVG from frozen accepted display rows while preserving all internal panels.","Every plotted value, interval, label, internal panel, axis, color, and non-color cue","R 4.6.1; input pins; no model read; zero image elements; rendered equality against accepted PNG/PDF comparators; browser and Word inspection","Manifest maps graphical layers to frozen source rows and comparator geometry","One bounded export trial and one renderer-only correction trial","Coordinator implementation release","Independent visual and structural acceptance"
"DR-S15-03","Supplementary Figure S15 layout","Harmonizer/Writer","Accepted S15 caption and accepted H09 A/B SVGs","audit/manuscript_nature_health/consolidated_display_repair_2026_09_11/integration_candidate/manuscript_figure_table_selection.qmd and manuscript/R0_NatHealth/revision candidate only","Replace the current wrapper with two stacked full-width image blocks inside one fig-s15 container, each with its own alt text and uppercase left-side A/B tag.","One figure number, one shared caption, all inbound links, all downstream numbering, and all B component-internal panels","Quarto AST/HTML check finds one fig-s15 and two image blocks; caption exactly once; two nonempty distinct alt texts; 20 numbered figures total; browser inspection","Source diff is limited to the one S15 block and its asset references","One integration trial and one layout correction trial","DR-S15-01 and DR-S15-02 accepted","Browser, Word, and independent acceptance pass"
"DR-S2-01","Supplementary Table S2 capture","Writer","tbl-near-eye-metrics.html SHA 6832c791ed3ebcf8895106dafe68c7c5118a12a74e37aacdeb8a84b02d9bfe97 containing 14 columns, 17 metric rows, and 17 distribution images","audit/manuscript_nature_health/consolidated_display_repair_2026_09_11/word_table_capture_candidate/supp_table_s2_part_*.png","Capture all 14 columns in one horizontal set. Narrow numeric columns, preserve complete contain-fit distribution miniplots, and split only vertically with repeated headers.","All cells, 14 columns, 17 metric rows, 17 exact embedded image payloads, row order, notes, and aspect ratios","DOM dimensions and bounding boxes; zero horizontal overflow; every distribution bounding box contained in its cell; source image data hashes unchanged; OCR/text completeness; seam and repeated-header inspection","Reconstruct the full semantic table from the ordered vertical parts and compare cell text, row keys, headers, notes, and embedded image hashes to the accepted HTML","One geometry trial plus at most two vertical-pagination adjustments","Coordinator implementation release","All 14 columns and every distribution are complete and legible in browser and Word"
