"table","column","preferred_css_px"
"Table 2",1,176
"Table 2",2,254
"Table 2",3,230
"Table 2",4,180
"Table 2",5,180
"Table 2",6,200
"Table 2",7,100
"Table S2",1,210
"Table S2",2,48
"Table S2",3,138
"Table S2",4,146
"Table S2",5,146
"Table S2",6,154
"Table S2",7,138
"Table S2",8,146
"Table S2",9,138
"Table S2",10,146
"Table S2",11,130
"Table S2",12,130
"Table S2",13,76
"Table S2",14,185
"Table S7 tail",1,135
"Table S7 tail",2,65
"Table S7 tail",3,137
"Table S7 tail",4,65
"Table S7 tail",5,137
"Table S7 tail",6,65
"Table S7 tail",7,95
"Table S7 tail",8,197
