table_index,endpoint,th_id_count,headers_token_count,unresolved,ambiguous
1,tbl-h06-prep-render-boundary,3,18,0,0
2,tbl-h06-prep-shared-provenance,4,12,0,0
3,tbl-h06-prep-input-provenance,3,30,0,0
4,tbl-h06-prep-diary-pin,7,7,0,0
5,tbl-h06-prep-candidate-flow,7,120,0,0
6,tbl-h06-prep-missingness,8,48,0,0
7,tbl-h06-prep-previous-night,4,12,0,0
8,tbl-h06-prep-exact-samples,7,42,0,0
9,tbl-h06-prep-frame-integrity,7,42,0,0
10,tbl-h06-prep-response-distribution,8,16,0,0
11,tbl-h06-prep-site-cell-summary,9,112,0,0
12,tbl-h06-prep-category-cell-minima,5,0,0,0
13,tbl-h06-prep-participant-day-support,7,14,0,0
14,tbl-h06-prep-true-time-sequences,7,42,0,0
15,tbl-h06-prep-primary-formulas,3,6,0,0
16,tbl-h06-prep-model-settings,3,18,0,0
17,tbl-h06-prep-multiplicity,3,15,0,0
18,tbl-h06-prep-fit-diagnostics,13,120,0,0
19,tbl-h06-prep-residual-correlation,9,72,0,0
20,tbl-h06-prep-influence,7,60,0,0
21,tbl-h06-prep-sensitivity-map,3,27,0,0
22,tbl-h06-prep-sensitivity-stability,3,33,0,0
23,tbl-h06-prep-temporal-formulas,8,16,0,0
24,tbl-h06-prep-temporal-diagnostics,9,18,0,0
25,tbl-h06-prep-temporal-basis,7,120,0,0
26,tbl-h06-prep-exploratory-samples,6,30,0,0
27,tbl-h06-prep-code-map,2,18,0,0
28,tbl-h06-prep-output-inventory,3,30,0,0
29,tbl-h06-prep-environment,2,28,0,0
30,tbl-h06-prep-source-data,2,16,0,0
