check,status,detail
preparation_manifest,PASS,411 rows; 0 duplicate paths; 0 live mismatches; self row FALSE
website_qmd_copy,PASS,authoring=f952d5ec72066ee86fded4888aaa815bdf763c11f466806ebc7391c79e22918b; website=f952d5ec72066ee86fded4888aaa815bdf763c11f466806ebc7391c79e22918b
semantic_ledger,PASS,REPAIRED; 985 substitutions; reverse=TRUE; reapply=TRUE
document_ids_and_table_headers,PASS,30 gt tables; 2807 ids/2807 unique; 1142 header tokens; 0 unresolved; 0 ambiguous
ordered_endpoints,PASS,30 ordered table endpoints; 3 ordered figure endpoints; Mermaid source/html 1/1
internal_links,PASS,2508 unique hrefs; 2505 internal; 0 missing targets; 0 invalid fragments; 0 forbidden
reciprocal_deviation_navigation_site_links,PASS,companion-to-result=2; result-to-companion=1; DEV exact=TRUE; active nav=TRUE; sites=9/9
embedded_execution_and_paths,PASS,0 error/warning/stderr nodes; 0 forbidden or unresolved pattern hits
companion_figure_pngs,FAIL,"2/3 exact SHA-256, byte, and pixel-dimension pins"
protected_paths,FAIL,335 protected rows; 4 changed; 1 unexpected
build_delta_and_symlinks,PASS,"836 pre/821 post files; 0 added, 15 removed, 5 content-changed, 140 mtime-only; 0 unexpected; 0 symlinks"
fixed_result_tools_and_daily_pins,PASS,14/14 exact
