path,sha256,bytes,role,live_exists,live_sha256,live_bytes,exact
audit/report_harmonization/owner_orders/47d_h06_hourly_companion_render.md,fe25c05e3fb20b9a76c41bd2fd67810e9b2cf7845fb52ffc1b92cd01d0663523,9631,controlling order,TRUE,fe25c05e3fb20b9a76c41bd2fd67810e9b2cf7845fb52ffc1b92cd01d0663523,9631,TRUE
audit/report_harmonization/report018_h06_result_independent_acceptance.md,1e5097504278defa98cbc42cc6798d85926cb525316886c12d4cf8f3c7f8f7a1,5097,result independent acceptance,TRUE,1e5097504278defa98cbc42cc6798d85926cb525316886c12d4cf8f3c7f8f7a1,5097,TRUE
audit/report_harmonization/report018_h06_result_independent_acceptance_manifest.csv,920d3b384046231d3d404f41fbf61cc2504583bbd1b0e5769fbe8f2fa9c1f32f,3459,result acceptance manifest,TRUE,920d3b384046231d3d404f41fbf61cc2504583bbd1b0e5769fbe8f2fa9c1f32f,3459,TRUE
notebooks/hypotheses/H06.qmd,d65c197cb37db32101d8a43fcdc80198ab599a95cb73259abd187c9b2b58d350,60791,accepted result source,TRUE,d65c197cb37db32101d8a43fcdc80198ab599a95cb73259abd187c9b2b58d350,60791,TRUE
_build/nathealth/notebooks/hypotheses/H06.html,8b5f1b0ada997290ec5324de35e0c874fd25e2e9ef052281acaab07d0a3dccaa,4874263,accepted result HTML,TRUE,8b5f1b0ada997290ec5324de35e0c874fd25e2e9ef052281acaab07d0a3dccaa,4874263,TRUE
scripts/hypotheses/H06/h06_contract.R,b11447a49a52a6a1a66618f9f471c0cda5284cbb8a251f7dffb2512d9ede231f,13468,accepted H06 contract,TRUE,b11447a49a52a6a1a66618f9f471c0cda5284cbb8a251f7dffb2512d9ede231f,13468,TRUE
audit/hypotheses/H06/H06_analysis_preparation.qmd,f952d5ec72066ee86fded4888aaa815bdf763c11f466806ebc7391c79e22918b,59613,companion authoring source,TRUE,f952d5ec72066ee86fded4888aaa815bdf763c11f466806ebc7391c79e22918b,59613,TRUE
_build/nathealth/audit/hypotheses/H06/H06_analysis_preparation.html,222894f4416f6f4d48bace8e9bfa9c08d22f22d613bf2b0c1e5440b0485efcae,771694,stale companion HTML target,TRUE,222894f4416f6f4d48bace8e9bfa9c08d22f22d613bf2b0c1e5440b0485efcae,771694,TRUE
_build/nathealth/audit/hypotheses/H06/H06_analysis_preparation.qmd,a4b35a1997fdae48b2e751d31a70147bd4149354eddd2a703d6473abbc67ea97,50898,stale website QMD copy,TRUE,a4b35a1997fdae48b2e751d31a70147bd4149354eddd2a703d6473abbc67ea97,50898,TRUE
tests/hypotheses/H06/test_h06_preparation_report.R,2b9f02f7caa448a3c7fdb88b0febc5ce306239002ebe220b6f5f7a7c4285a4fc,12918,unchanged full companion test,TRUE,2b9f02f7caa448a3c7fdb88b0febc5ce306239002ebe220b6f5f7a7c4285a4fc,12918,TRUE
scripts/hypotheses/H06/build_h06_preparation_report_manifest.R,bc53e754478a3fa17de0aaf498aea8720d58b958949050f7447d25c5ec23e2fb,9615,dedicated companion integration helper,TRUE,bc53e754478a3fa17de0aaf498aea8720d58b958949050f7447d25c5ec23e2fb,9615,TRUE
artifacts/12_manifests/H06/H06_preparation_report_manifest.csv,db976477b9cdbce2a6d4575e382b2f04062e8834c086f1d82cb25d7e8a2176e4,78784,pre-integration preparation manifest,TRUE,db976477b9cdbce2a6d4575e382b2f04062e8834c086f1d82cb25d7e8a2176e4,78784,TRUE
artifacts/12_manifests/H06/H06_preparation_figure_readability_qa.csv,49045b8064870acb8c51c797a7b75bf8962524da2239397f70a3e457ede801dd,4358,accepted figure physical-size QA,TRUE,49045b8064870acb8c51c797a7b75bf8962524da2239397f70a3e457ede801dd,4358,TRUE
artifacts/12_manifests/H06/qa/H06_preparation_figure_A4_proofs.pdf,a7f6d8e8e30e4ce7be812049766e15631c579d1216dc0d0c88c24b6cb029c6d5,410504,accepted figure final-size proofs,TRUE,a7f6d8e8e30e4ce7be812049766e15631c579d1216dc0d0c88c24b6cb029c6d5,410504,TRUE
audit/hypotheses/H06/H06_preparation_figure_readability_qa.md,2df08630c1ed98b47bac831a6e8416314af77edcdcec83424858ec70407a91e4,3082,accepted figure QA record,TRUE,2df08630c1ed98b47bac831a6e8416314af77edcdcec83424858ec70407a91e4,3082,TRUE
scripts/hypotheses/H06/build_h06_preparation_figure_readability_qa.R,560012d4ab09a6ff052c08f66a84c166366c749761f419e24d0bb605fc933b00,7911,protected figure QA builder,TRUE,560012d4ab09a6ff052c08f66a84c166366c749761f419e24d0bb605fc933b00,7911,TRUE
audit/handoffs/H06_worker_handoff.md,21b37d161f07ec27a2802239a3999621f484b9d697c7cddaf3a73f6c09fe4e90,11453,accepted H06 handoff,TRUE,21b37d161f07ec27a2802239a3999621f484b9d697c7cddaf3a73f6c09fe4e90,11453,TRUE
audit/hypotheses/H06/report017_order37a/bounded_audit.md,a544c1b15037c7ac3760c109050b7ba0b51bba18e1f9bc36b876ca5984c11b4c,2447,accepted source-only audit,TRUE,a544c1b15037c7ac3760c109050b7ba0b51bba18e1f9bc36b876ca5984c11b4c,2447,TRUE
audit/hypotheses/H06/report017_order37a/order37a_source_manifest.csv,b8274e71d13e05fe387cf82a901f1b83dec15c4b5e6ceb3a88e101110be7a22b,17302,accepted source-only manifest,TRUE,b8274e71d13e05fe387cf82a901f1b83dec15c4b5e6ceb3a88e101110be7a22b,17302,TRUE
_quarto-nathealth.yml,80dd05573b6c764272d0d0aa1c82571bdaab3cb2bee9ee34441e2456318708e3,7480,accepted profile,TRUE,80dd05573b6c764272d0d0aa1c82571bdaab3cb2bee9ee34441e2456318708e3,7480,TRUE
