"check_id","status","detail"
"result_preimage_identity","PASS","63e815683e1e81dadd480aeb230c7913de7726aa9242f5ce89ec4a0e7e90471c"
"result_nonwhitespace_bytes","PASS","Full source identical after removing whitespace"
"result_token_sequence","PASS","Full token sequence identical"
"result_chunk_labels","PASS","R chunk-label order identical"
"result_chunk_bodies","PASS","Every executable R chunk body byte-identical"
"result_inline_r","PASS","Inline-R sequence identical"
"result_boundary_counts","PASS","Exactly one authorized line-boundary relocation"
"result_reverse_identity","PASS","63e815683e1e81dadd480aeb230c7913de7726aa9242f5ce89ec4a0e7e90471c"
"result_zero_context_hunk","PASS","Exactly one zero-context diff hunk"
"companion_preimage_identity","PASS","52160297aaaa65f9cc0e36839adb0fcbe86e55631c847476b5006f03d657e9da"
"companion_nonwhitespace_bytes","PASS","Full source identical after removing whitespace"
"companion_token_sequence","PASS","Full token sequence identical"
"companion_chunk_labels","PASS","R chunk-label order identical"
"companion_chunk_bodies","PASS","Every executable R chunk body byte-identical"
"companion_inline_r","PASS","Inline-R sequence identical"
"companion_boundary_counts","PASS","Exactly one authorized line-boundary relocation"
"companion_reverse_identity","PASS","52160297aaaa65f9cc0e36839adb0fcbe86e55631c847476b5006f03d657e9da"
"companion_zero_context_hunk","PASS","Exactly one zero-context diff hunk"
"combined_zero_context_hunks","PASS","Exactly two QMD hunks across the source pair"
