"audit_group","role","path","pre_sha256","pre_bytes","expected_current_sha256","expected_current_bytes","observed_sha256","observed_bytes","status","note"
"order35b_dispatch","owner_order","audit/report_harmonization/owner_orders/35b_h04_country_label_source_reflow.md","eef9e794836a06d1d92d8cac10f8dbe9cbe6023afc444e3deabeac291c9253c3",5975,"eef9e794836a06d1d92d8cac10f8dbe9cbe6023afc444e3deabeac291c9253c3",5975,"eef9e794836a06d1d92d8cac10f8dbe9cbe6023afc444e3deabeac291c9253c3",5975,"PASS","Protected identity preserved byte-for-byte"
"order35b_dispatch","accepted_source_state","audit/report_harmonization/report017_h04_order35a_source_independent_acceptance.md","de987cb6cfb4df36726b6fdcc7331db6326feb64f2dccb3c5287b150bc3c8df1",2648,"de987cb6cfb4df36726b6fdcc7331db6326feb64f2dccb3c5287b150bc3c8df1",2648,"de987cb6cfb4df36726b6fdcc7331db6326feb64f2dccb3c5287b150bc3c8df1",2648,"PASS","Protected identity preserved byte-for-byte"
"order35b_dispatch","accepted_source_manifest","audit/report_harmonization/report017_h04_order35a_source_acceptance_manifest.csv","5173ebe87cb59ff9d40fefea10bc480e42f63976fe770dd2c3a4bb6f3c906c34",2661,"5173ebe87cb59ff9d40fefea10bc480e42f63976fe770dd2c3a4bb6f3c906c34",2661,"5173ebe87cb59ff9d40fefea10bc480e42f63976fe770dd2c3a4bb6f3c906c34",2661,"PASS","Protected identity preserved byte-for-byte"
"order35b_dispatch","protected_owner_package","audit/report_harmonization/report017_h04_consolidated_audit_manifest.csv","ab0cfd8b663c70d78e4d6b2b9adaf507bf547c7ae21190e4ff2aec81ff3bca89",5495,"ab0cfd8b663c70d78e4d6b2b9adaf507bf547c7ae21190e4ff2aec81ff3bca89",5495,"ab0cfd8b663c70d78e4d6b2b9adaf507bf547c7ae21190e4ff2aec81ff3bca89",5495,"PASS","Protected identity preserved byte-for-byte"
"order35b_dispatch","sequencing_failure_evidence","audit/hypotheses/H01/report017_order32k_companion_acceptance/order32k_h04_global_country_findings.csv","cc7d51ae2248b9223250580f12b48bc6092d10eb9b22e85a6682ee923f31f963",234,"cc7d51ae2248b9223250580f12b48bc6092d10eb9b22e85a6682ee923f31f963",234,"cc7d51ae2248b9223250580f12b48bc6092d10eb9b22e85a6682ee923f31f963",234,"PASS","Protected identity preserved byte-for-byte"
"order35b_dispatch","mutable_result_source","notebooks/hypotheses/H04.qmd","63e815683e1e81dadd480aeb230c7913de7726aa9242f5ce89ec4a0e7e90471c",83285,"f8adb6d78be041ce296dd7e89eb92769b128631c1b4227ce5d8ab3d526daf1d5",83285,"f8adb6d78be041ce296dd7e89eb92769b128631c1b4227ce5d8ab3d526daf1d5",83285,"PASS","Authorized order-35b source or append-only handoff change"
"order35b_dispatch","mutable_companion_source","audit/hypotheses/H04/H04_analysis_preparation.qmd","52160297aaaa65f9cc0e36839adb0fcbe86e55631c847476b5006f03d657e9da",91202,"efdb5be8dc194695f40c50249fab14905ec337bc63079ae589557de860188474",91202,"efdb5be8dc194695f40c50249fab14905ec337bc63079ae589557de860188474",91202,"PASS","Authorized order-35b source or append-only handoff change"
"order35b_dispatch","protected_source_test","tests/hypotheses/H04/test_h04_report017_source_harmonization.R","934ec16dcd2b7e6c4b2771f09f35c0832d059d695c21c5b917ba3303bd16c19b",33144,"934ec16dcd2b7e6c4b2771f09f35c0832d059d695c21c5b917ba3303bd16c19b",33144,"934ec16dcd2b7e6c4b2771f09f35c0832d059d695c21c5b917ba3303bd16c19b",33144,"PASS","Protected identity preserved byte-for-byte"
"order35b_dispatch","protected_auxiliary_test","tests/hypotheses/H04/test_h04_participant_random_intercept_assessment.R","247523ec05b484e161e2717a21d33314375370b84413a3bbcfb150582b86ad90",9022,"247523ec05b484e161e2717a21d33314375370b84413a3bbcfb150582b86ad90",9022,"247523ec05b484e161e2717a21d33314375370b84413a3bbcfb150582b86ad90",9022,"PASS","Protected identity preserved byte-for-byte"
"order35b_dispatch","mutable_current_handoff","audit/handoffs/H04_worker_handoff.md","1961b349d527b3c945d0d299a27f46603a674843629a918461ea2a504023b50a",30132,"99de6fd036b7e7c52a55406615642024092e3177317255101c4a5db1ff391036",31926,"99de6fd036b7e7c52a55406615642024092e3177317255101c4a5db1ff391036",31926,"PASS","Authorized order-35b source or append-only handoff change"
"order35b_dispatch","protected_stale_result_html","_build/nathealth/notebooks/hypotheses/H04.html","cad724ca28c651db62f2bb11a51d0d53adbf133785a6d9477f600900269e3cbe",380116,"cad724ca28c651db62f2bb11a51d0d53adbf133785a6d9477f600900269e3cbe",380116,"cad724ca28c651db62f2bb11a51d0d53adbf133785a6d9477f600900269e3cbe",380116,"PASS","Protected identity preserved byte-for-byte"
"order35b_dispatch","protected_stale_companion_html","_build/nathealth/audit/hypotheses/H04/H04_analysis_preparation.html","73e1c1f097b2053fd55bfea4857d3c72490af490bfa5e7ebf96c8f801bb57a8f",1207573,"73e1c1f097b2053fd55bfea4857d3c72490af490bfa5e7ebf96c8f801bb57a8f",1207573,"73e1c1f097b2053fd55bfea4857d3c72490af490bfa5e7ebf96c8f801bb57a8f",1207573,"PASS","Protected identity preserved byte-for-byte"
"order35b_dispatch","protected_profile","_quarto-nathealth.yml","80dd05573b6c764272d0d0aa1c82571bdaab3cb2bee9ee34441e2456318708e3",7480,"80dd05573b6c764272d0d0aa1c82571bdaab3cb2bee9ee34441e2456318708e3",7480,"80dd05573b6c764272d0d0aa1c82571bdaab3cb2bee9ee34441e2456318708e3",7480,"PASS","Protected identity preserved byte-for-byte"
"order35b_dispatch","protected_global_country_test","tests/report_harmonization/test_country_coded_site_names.R","aab0faa578f2e4a0de093247dec65b395837789a5c6211ee46669b82f6402c2b",3490,"aab0faa578f2e4a0de093247dec65b395837789a5c6211ee46669b82f6402c2b",3490,"aab0faa578f2e4a0de093247dec65b395837789a5c6211ee46669b82f6402c2b",3490,"PASS","Protected identity preserved byte-for-byte"
"order35b_dispatch","dispatch_evidence","audit/report_harmonization/coordination_matrix.csv","392dfc49982e02ba487c1527175c46889ea2267d583a1109d4e7d3d9bf1f09f7",25448,"392dfc49982e02ba487c1527175c46889ea2267d583a1109d4e7d3d9bf1f09f7",25448,"392dfc49982e02ba487c1527175c46889ea2267d583a1109d4e7d3d9bf1f09f7",25448,"PASS","Protected identity preserved byte-for-byte"
"order35_and_order35a_history","independent_acceptance","audit/report_harmonization/report017_h04_order35a_source_independent_acceptance.md","de987cb6cfb4df36726b6fdcc7331db6326feb64f2dccb3c5287b150bc3c8df1",2648,"de987cb6cfb4df36726b6fdcc7331db6326feb64f2dccb3c5287b150bc3c8df1",2648,"de987cb6cfb4df36726b6fdcc7331db6326feb64f2dccb3c5287b150bc3c8df1",2648,"PASS","Protected identity preserved byte-for-byte"
"order35_and_order35a_history","owner_order","audit/report_harmonization/owner_orders/35a_h04_complete_test_contract_correction_and_source_seal.md","ffbcb9542427a611d10f284e880e13b690066f4e6dbd1f8f1d3919de2a8670f5",4969,"ffbcb9542427a611d10f284e880e13b690066f4e6dbd1f8f1d3919de2a8670f5",4969,"ffbcb9542427a611d10f284e880e13b690066f4e6dbd1f8f1d3919de2a8670f5",4969,"PASS","Protected identity preserved byte-for-byte"
"order35_and_order35a_history","stopped_state_acceptance","audit/report_harmonization/report017_h04_order35_stopped_state_independent_acceptance.md","4486fae1a8eda3f1d7bc82891ec258b3d62dfee8c48533529abefbc2ed29513e",3170,"4486fae1a8eda3f1d7bc82891ec258b3d62dfee8c48533529abefbc2ed29513e",3170,"4486fae1a8eda3f1d7bc82891ec258b3d62dfee8c48533529abefbc2ed29513e",3170,"PASS","Protected identity preserved byte-for-byte"
