viewport,table_index,table_id,caption_nonempty,contained,uses_horizontal_scroller,scroller_client_width,scroller_scroll_width
1440x1000,1,tbl-h11-prep-frame-integrity,true,true,false,,
1440x1000,2,tbl-h11-prep-frame-content,true,true,false,,
1440x1000,3,tbl-h11-prep-ar-boundaries-primary,true,true,false,,
1440x1000,4,tbl-h11-prep-ar-boundaries-sensitivity,true,true,false,,
1440x1000,5,tbl-h11-prep-samples,true,true,false,,
1440x1000,6,tbl-h11-prep-site-summary,true,true,false,,
1440x1000,7,tbl-h11-prep-melEDI-distribution,true,true,false,,
1440x1000,8,tbl-h11-prep-global-tests,true,true,false,,
1440x1000,9,tbl-h11-prep-decomposition,true,true,false,,
1440x1000,10,tbl-h11-prep-effect-sizes,true,true,false,,
1440x1000,11,tbl-h11-prep-parametric-level,true,true,false,,
1440x1000,12,tbl-h11-prep-diagnostic-assessment,true,true,false,,
1440x1000,13,tbl-h11-prep-robust-influence,true,true,false,,
1440x1000,14,tbl-h11-prep-activity-attrition,true,true,false,,
1440x1000,15,tbl-h11-prep-activity-global,true,true,false,,
1440x1000,16,tbl-h11-prep-activity-attenuation,true,true,false,,
1440x1000,17,tbl-h11-prep-activity-diagnostics,true,true,false,,
1440x1000,18,tbl-h11-prep-placement-assessment,true,true,false,,
1440x1000,19,tbl-h11-prep-deferred-analyses,true,true,false,,
1440x1000,20,tbl-h11-prep-input-identities,true,true,false,,
1440x1000,21,tbl-h11-prep-formula-registry,true,true,false,,
1440x1000,22,tbl-h11-prep-fit-settings,true,true,false,,
1440x1000,23,tbl-h11-prep-code-map,true,true,false,,
1440x1000,24,tbl-h11-prep-output-map,true,true,false,,
1440x1000,25,tbl-h11-prep-figure-qa,true,true,false,,
1440x1000,26,tbl-h11-prep-environment,true,true,false,,
708x1000,1,tbl-h11-prep-frame-integrity,true,true,false,,
708x1000,2,tbl-h11-prep-frame-content,true,true,false,,
708x1000,3,tbl-h11-prep-ar-boundaries-primary,true,true,false,,
708x1000,4,tbl-h11-prep-ar-boundaries-sensitivity,true,true,false,,
708x1000,5,tbl-h11-prep-samples,true,true,false,,
708x1000,6,tbl-h11-prep-site-summary,true,true,false,,
708x1000,7,tbl-h11-prep-melEDI-distribution,true,true,false,,
708x1000,8,tbl-h11-prep-global-tests,true,true,false,,
708x1000,9,tbl-h11-prep-decomposition,true,true,false,,
708x1000,10,tbl-h11-prep-effect-sizes,true,true,false,,
708x1000,11,tbl-h11-prep-parametric-level,true,true,false,,
708x1000,12,tbl-h11-prep-diagnostic-assessment,true,true,false,,
708x1000,13,tbl-h11-prep-robust-influence,true,true,false,,
708x1000,14,tbl-h11-prep-activity-attrition,true,true,false,,
708x1000,15,tbl-h11-prep-activity-global,true,true,false,,
708x1000,16,tbl-h11-prep-activity-attenuation,true,true,false,,
708x1000,17,tbl-h11-prep-activity-diagnostics,true,true,false,,
708x1000,18,tbl-h11-prep-placement-assessment,true,true,false,,
708x1000,19,tbl-h11-prep-deferred-analyses,true,true,false,,
708x1000,20,tbl-h11-prep-input-identities,true,true,false,,
708x1000,21,tbl-h11-prep-formula-registry,true,true,false,,
708x1000,22,tbl-h11-prep-fit-settings,true,true,false,,
708x1000,23,tbl-h11-prep-code-map,true,true,false,,
708x1000,24,tbl-h11-prep-output-map,true,true,false,,
708x1000,25,tbl-h11-prep-figure-qa,true,true,false,,
708x1000,26,tbl-h11-prep-environment,true,true,false,,
720x500,1,tbl-h11-prep-frame-integrity,true,true,false,,
720x500,2,tbl-h11-prep-frame-content,true,true,false,,
720x500,3,tbl-h11-prep-ar-boundaries-primary,true,true,false,,
720x500,4,tbl-h11-prep-ar-boundaries-sensitivity,true,true,false,,
720x500,5,tbl-h11-prep-samples,true,true,false,,
720x500,6,tbl-h11-prep-site-summary,true,true,false,,
720x500,7,tbl-h11-prep-melEDI-distribution,true,true,false,,
720x500,8,tbl-h11-prep-global-tests,true,true,false,,
720x500,9,tbl-h11-prep-decomposition,true,true,false,,
720x500,10,tbl-h11-prep-effect-sizes,true,true,false,,
720x500,11,tbl-h11-prep-parametric-level,true,true,false,,
720x500,12,tbl-h11-prep-diagnostic-assessment,true,true,false,,
720x500,13,tbl-h11-prep-robust-influence,true,true,false,,
720x500,14,tbl-h11-prep-activity-attrition,true,true,false,,
720x500,15,tbl-h11-prep-activity-global,true,true,false,,
720x500,16,tbl-h11-prep-activity-attenuation,true,true,false,,
720x500,17,tbl-h11-prep-activity-diagnostics,true,true,false,,
720x500,18,tbl-h11-prep-placement-assessment,true,true,false,,
720x500,19,tbl-h11-prep-deferred-analyses,true,true,false,,
720x500,20,tbl-h11-prep-input-identities,true,true,false,,
720x500,21,tbl-h11-prep-formula-registry,true,true,false,,
720x500,22,tbl-h11-prep-fit-settings,true,true,false,,
720x500,23,tbl-h11-prep-code-map,true,true,false,,
720x500,24,tbl-h11-prep-output-map,true,true,false,,
720x500,25,tbl-h11-prep-figure-qa,true,true,false,,
720x500,26,tbl-h11-prep-environment,true,true,false,,
