path,sha256,bytes,link_target
artifacts/06_model_data/H11/activity_context/activity_adjusted_effect_size_prediction_manifest.csv,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0,
artifacts/06_model_data/H11/activity_context/activity_AR_boundary_audit.csv,2f175b4d147f264399bbbcef259aa331091228ef015c8f62a7231ef0c4141281,590,
artifacts/06_model_data/H11/activity_context/activity_context__chest__frame.rds,01e46c607f1642c4e84582b68461bd2270c63c2d81ad5340c3c8dab771bd9713,431612,
artifacts/06_model_data/H11/activity_context/activity_context__glasses__frame.rds,96c52c7a24eea3d4d158bbcda97552057c26a77877a334943899c233e76a50ae,356792,
artifacts/06_model_data/H11/activity_context/activity_context_completion.rds,d17e15a1505e18c4aa06bf93c0cf7d35821b580c6371770af61f5426debf4fde,2288,
artifacts/06_model_data/H11/activity_context/activity_join_attrition.csv,9da38eaf0c85c5857b819d4b47046f945f52546db8e69a55f734ec52a409b1de,1030,
artifacts/06_model_data/H11/activity_context/environment.csv,51350140533efc4cff229819a2b1264193ff6b441d60097b5446c20404795a29,226,
artifacts/06_model_data/H11/activity_context/formula_and_fit_manifest.csv,d5b8a24e652fdbfd8bb7cde39a875b0a159ecad7df10b2a1f888bc080a35cff9,1923,
artifacts/06_model_data/H11/activity_context/input_provenance.csv,78a82f13cfc799b09b227126c28827ac5c5bafa6634bc1d5ad2303a3864f2878,966,
artifacts/06_model_data/H11/activity_context/normalized_diary_activity_audit.csv,f990d139b5e61d6a310321100b087f763a1da2048f262f9cca8cde5de74a2ca7,345,
artifacts/06_model_data/H11/stage1_author_decisions.csv,5ba71a43cc3572e7a3e54d49f5095b34e114545242fab3032180d4e2e7aace08,3628,
artifacts/06_model_data/H11/stage1_candidate_sample_counts.csv,d17c48d69e77fcb7c37ae979a6fa6aec68de33873129b156897117588558c40a,3135,
artifacts/06_model_data/H11/stage1_environment.csv,2d3332d92b068fb607129623807df50d79b4355df2716ab967d69df303904fb7,162,
artifacts/06_model_data/H11/stage1_findings.csv,fd235e43cc4cf8ceeaab3a22c40af00a30d02ddf88e037a0f02f418d56d34180,4530,
artifacts/06_model_data/H11/stage1_formula_manifest.csv,9d0d4360496a3847d4e145ed95a9096d6dcd36499c2c07a7c63b18d498bbd287,4148,
artifacts/06_model_data/H11/stage1_input_provenance.csv,da04c97c98f38a93fd6f121f3bef024f64112b349197dbebb6cb4fefb548477e,11363,
artifacts/06_model_data/H11/stage1_main_manuscript_common_samples.csv,647944f597cac1be37a3c9bc1c6c2b4bd05bf68a34bdccdef1c7154ad7fd6eaf,194,
artifacts/06_model_data/H11/stage1_sensitivity_plan.csv,54584f7e45c194d1af6115392e3f9d9b925e8c021c1478da52448b57f48d5ee5,2190,
artifacts/06_model_data/H11/stage1_sex_gender_crosswalk.csv,e86ba71fca975edfb50a2f9f1737d4da08d2f6bb71f04ec66d7a3d8cc0f89268,117,
artifacts/06_model_data/H11/stage1_site_sex_support.csv,24ae6354521975a73424423cdda32cc3406509f39ba0066424560eea6ba12f42,2936,
artifacts/06_model_data/H11/stage1_v0_result_summary.csv,23289a4b8eadbb9d3cfa59cc7f6bce26ab370806bc469848b6d37f055e4452ac,1076,
artifacts/06_model_data/H11/stage2/author_decision_record.csv,b5e499d2cb9b58d64fdc51b42bf92b20a5a22a72586e798cd3bd66ee7991f328,2591,
artifacts/06_model_data/H11/stage2/deferred_analysis_registry.csv,aea7b8b02d71586babdc9466ba1ada07e6d394bcfb35dea93b14264752ec8b42,1523,
artifacts/06_model_data/H11/stage2/effect_size_prediction_manifest.csv,072eed7075a17b07c1acb69b979c830c71009b4c835dad78334c51486d0a3056,2061,
artifacts/06_model_data/H11/stage2/environment.csv,cb494fb1d0b6c500ac6de223d2924770208a4673f7880cacbfb8e77da8ad2f32,337,
artifacts/06_model_data/H11/stage2/formula_and_fit_manifest.csv,900cf81ff48131877d405d0741f3ced7ab755b924ffdd8bbfb4ff90ead5323aa,12120,
