expected_order,rendered_order,exact
tbl-h11-prep-frame-integrity,tbl-h11-prep-frame-integrity,TRUE
tbl-h11-prep-frame-content,tbl-h11-prep-frame-content,TRUE
tbl-h11-prep-ar-boundaries-primary,tbl-h11-prep-ar-boundaries-primary,TRUE
tbl-h11-prep-ar-boundaries-sensitivity,tbl-h11-prep-ar-boundaries-sensitivity,TRUE
tbl-h11-prep-samples,tbl-h11-prep-samples,TRUE
tbl-h11-prep-site-summary,tbl-h11-prep-site-summary,TRUE
tbl-h11-prep-melEDI-distribution,tbl-h11-prep-melEDI-distribution,TRUE
tbl-h11-prep-global-tests,tbl-h11-prep-global-tests,TRUE
tbl-h11-prep-decomposition,tbl-h11-prep-decomposition,TRUE
tbl-h11-prep-effect-sizes,tbl-h11-prep-effect-sizes,TRUE
tbl-h11-prep-parametric-level,tbl-h11-prep-parametric-level,TRUE
tbl-h11-prep-diagnostic-assessment,tbl-h11-prep-diagnostic-assessment,TRUE
tbl-h11-prep-robust-influence,tbl-h11-prep-robust-influence,TRUE
tbl-h11-prep-activity-attrition,tbl-h11-prep-activity-attrition,TRUE
tbl-h11-prep-activity-global,tbl-h11-prep-activity-global,TRUE
tbl-h11-prep-activity-attenuation,tbl-h11-prep-activity-attenuation,TRUE
tbl-h11-prep-activity-diagnostics,tbl-h11-prep-activity-diagnostics,TRUE
tbl-h11-prep-placement-assessment,tbl-h11-prep-placement-assessment,TRUE
tbl-h11-prep-deferred-analyses,tbl-h11-prep-deferred-analyses,TRUE
tbl-h11-prep-input-identities,tbl-h11-prep-input-identities,TRUE
tbl-h11-prep-formula-registry,tbl-h11-prep-formula-registry,TRUE
tbl-h11-prep-fit-settings,tbl-h11-prep-fit-settings,TRUE
tbl-h11-prep-code-map,tbl-h11-prep-code-map,TRUE
tbl-h11-prep-output-map,tbl-h11-prep-output-map,TRUE
tbl-h11-prep-figure-qa,tbl-h11-prep-figure-qa,TRUE
tbl-h11-prep-environment,tbl-h11-prep-environment,TRUE
fig-h11-prep-site-sex-support,fig-h11-prep-site-sex-support,TRUE
fig-h11-prep-melEDI-distribution,fig-h11-prep-melEDI-distribution,TRUE
fig-h11-prep-activity-attrition,fig-h11-prep-activity-attrition,TRUE
