view_id,status,observation
00,FINDING,"Initial author-opened view showed the historical Figure S5 region with blank plot content. Page not reliably assigned; explicit page-74 confirmation is view 22."
01,PASS_SCOPED,"Title, author superscripts, affiliations and correspondence fit on page 1. Initial 119% zoom and formatting marks on."
02,STATE_RECORD,"Fresh supported state read after an app-state-change notice. Same exact document; no edit or access denial."
03,STATE_RECORD,"Title page at 100% zoom with formatting marks hidden. A guarded navigation attempt encountered the already-open Zoom dialog and stopped before further action; confirmed view controls were then used."
04,PASS_SCOPED,"Abstract is a normal top-level heading on page 2. Introduction begins on the following page."
05,PASS_WITH_READABILITY_NOTE,"Main Figure 1 panels and legend visible. This overview does not certify every small label at print size."
06,PASS_SCOPED,"Main Table 1 first part visible with complete site columns and left-aligned caption."
07,PASS_SCOPED,"Main Table 1 second part visible with repeated header and notes; no obvious clipping."
08,FINDING,"Main Table 2 caption begins on page 10, leaving a large empty area before the table on page 11. Caption is split across pages."
09,FINDING,"Main Table 2 itself is visible on page 11; its caption continues from page 10. Preserve Brown scientific hold."
10,PASS_SCOPED,"Main Figure 2 native SVG panels visible, with caption."
11,FINDING,"Main Table 3 caption begins on page 16 and continues on page 17, leaving page 16 mostly empty."
12,PASS_SCOPED,"Main Table 3 first part visible, including rightmost distributions. Approved metric order is not a redesign target."
13,PASS_SCOPED,"Main Table 3 second part visible, including rightmost distributions."
14,PASS_SCOPED,"Main Table 3 third part visible, including rightmost distributions."
15,PASS_SCOPED,"Main Table 3 fourth part visible, including rightmost distributions."
16,FINDING,"Main Figure 3 panels visible but relatively small; caption starts on the next page despite substantial blank space below the image."
17,FINDING,"Main Figure 3 caption is isolated on page 24 after the image on page 23."
18,FINDING,"Table S2 first vertical part shows all columns and rightmost mini-plots. Mean plus-minus SD expressions wrap in numeric columns."
19,FINDING,"Table S2 second vertical part retains columns and mini-plots. Mean plus-minus SD wrapping remains."
20,FINDING,"Table S2 third vertical part and notes visible. Rightmost mini-plots are not visibly cut off; numeric no-break requirement remains open."
21,FINDING,"Page 66 is visually blank apart from its footer, between Table S2 and Table S3. Do not infer the exact section-break cause from this view alone."
22,FINDING,"Historical Figure S5 on page 74 has no visible plot content in the native Word view; surrounding heading and caption render. This does not authorize a scientific or display replacement."
23,PASS_WITH_READABILITY_NOTE,"Figure S7 first independent image is visible on page 81. Small lettering needs final print-size QA."
24,PASS_WITH_READABILITY_NOTE,"Figure S7 second independent image and its internal panels are visible on page 82. Shared caption starts on page 83; small internal labels need print-size QA."
25,PASS_SCOPED,"Figure S8 upper crop displays panels A-C without an obvious clipped right edge."
26,PASS_WITH_READABILITY_NOTE,"Figure S8 lower crop displays panel D and notes with its continuation caption. Numerical text is small; full legibility is not certified by this overview."
27,PASS_SCOPED,"Figure S15 first independent image visible on page 107."
28,PASS_SCOPED,"Figure S15 second independent image, including its own internal panels, visible on page 108. Caption follows this second image."
29,PASS_SCOPED,"Retained accepted Figure S17 visibly renders in native Word, including both curve panels and legend. Optional H11 replacement remains unpromoted."
30,FINDING,"Table S5 uses a consistent sans-serif appearance, not the reported Times-like mismatch. Its caption splits between pages 79 and 80."
31,PASS_SCOPED,"Table S6 uses consistent sans-serif text and fits the page. The preceding Table S5 caption continuation remains at the top."
32,PASS_SCOPED,"Table S10 first part uses consistent sans-serif text with all column boundaries visible."
33,FINDING,"Table S10 second part uses consistent sans-serif text, but the caption splits onto page 101."
34,FINDING,"Table S1 image is visible on page 60; its entire caption starts on page 61."
35,FINDING,"Page 62 is visually blank apart from its footer, immediately before the Table S2 landscape section."
36,FINDING,"Table S3 image is visible on page 68 with all columns; its caption is isolated on page 69. The heading is on page 67."
37,PASS_WITH_READABILITY_NOTE,"Figure S1 multi-panel image and caption visible. Small labels require final print-size readability review."
38,PASS_SCOPED,"Figure S2 worked-example panels and caption visible."
39,PASS_SCOPED,"Figure S3 is displayed smaller and centered, with its plot boundaries and caption visible."
40,PASS_SCOPED,"Figure S4 plot and caption visible. Brown scientific freshness remains a separate dependency."
41,PASS_SCOPED,"Table S4 first of two image parts visible, with within-participant rows and complete columns."
42,FINDING,"Table S4 second image part visible; caption starts below it and continues onto page 77."
43,FINDING,"Page 77 contains only the final two lines of the Table S4 caption. It is not a third table-image part, despite the planned capture note."
44,PASS_SCOPED,"Figure S6 anonymous participant raincloud, connecting lines and caption visible."
45,PASS_SCOPED,"Table S7 first image part visible at a broad landscape width."
46,FINDING,"Table S7 second part uses the broad width; the following third part is visibly narrower and smaller in the adjacent-page view."
47,FINDING,"Table S7 third part has smaller physical width and text than the first two parts. Its caption also continues onto page 87."
48,FINDING,"Table S8 image is visible on page 89; heading is on page 88 and caption on page 90."
49,PASS_SCOPED,"Figure S9 paired sensor-position contrast plot visible with its caption."
50,PASS_WITH_READABILITY_NOTE,"Figure S10 time-of-day panels visible; small source notes require final print-size readability review."
51,PASS_WITH_READABILITY_NOTE,"Figure S11 time-of-day panels visible; small source notes require final print-size readability review."
52,PASS_SCOPED,"Figure S12 shows all three routine-by-site contrast columns, not only previous sleep. Plot and caption are visible."
53,PASS_SCOPED,"Table S9 is visible with its caption. The next page begins the Table S10 heading without the table image."
54,PASS_SCOPED,"Figure S13 heatmap and caption visible."
55,PASS_SCOPED,"Figure S14 contrast plot and caption visible."
56,PASS_WITH_READABILITY_NOTE,"Figure S16 three-panel image renders, but internal text is small at the overview size. No claim of complete print-size label legibility."
57,PASS_SCOPED,"Table S11a visible, including retained non-estimable-cell wording. Typography is consistently sans serif."
58,PASS_SCOPED,"Table S11b visible with repeated columns and notes."
59,PASS_SCOPED,"Table S12 visible with complete columns and notes."
60,PASS_SCOPED,"Table S13 visible with complete columns and notes. AX status briefly lagged navigation; the screenshot footer and content identify page 109."
61,PASS_SCOPED,"Table S14 visible with complete columns and notes."
62,PASS_SCOPED,"Table S15 visible on page 113. The following reproducibility section is visible on the next page, not duplicated in the document."
63,PASS_SCOPED,"Final page 114 contains the measurement-position, robustness and reproducibility note. It is not a blank end page."
64,PASS_SCOPED,"Introduction has its own top-level heading and starts on page 3."
65,PASS_SCOPED,"Results starts on page 5. Internal references are visibly blue, but semantic link entries are marked disabled; no native link activation was attempted or claimed."
66,PASS_SCOPED,"Discussion starts on page 27."
67,PASS_SCOPED,"Methods starts on page 31."
68,PASS_SCOPED,"Data availability starts on page 41."
69,PASS_SCOPED,"Code availability starts on page 42."
70,PASS_SCOPED,"References starts on page 43. Only this reference page was visually reviewed, not the entire bibliography."
71,PASS_SCOPED,"Acknowledgements starts on page 53. The intentional new-page requirement explains the remaining white space."
72,PASS_SCOPED,"Funding starts on page 54."
73,PASS_SCOPED,"Author contributions starts on page 55 and displays the CRediT-style role list."
74,PASS_SCOPED,"Competing interests starts on page 56."
75,PASS_SCOPED,"Page 57 is the competing-interest continuation, not the AI statement. The planned filename is retained; views 77-78 locate the actual AI statement."
76,PASS_SCOPED,"Supplementary Information starts on page 58. Its non-S5 preview warning remains present and is not final-submission prose."
77,PASS_SCOPED,"Artificial-intelligence assistance declaration is visibly present within Methods on page 39."
78,PASS_SCOPED,"AI-use declaration continues on page 40, including author-responsibility wording."
79,STATE_RECORD,"Returned to title page before restoring initial view settings."
80,STATE_RECORD,"Final state: title page; 119% zoom; formatting marks on; thumbnail sidebar open; print layout; AutoSave off. Author document and Word left open without saving."
