"key","note","utc","view_id","status","observation","page","screenshot","state"
"00_initial_view","Initial supported native state screenshot; exact page unassigned",,"00","FINDING","Initial author-opened view showed the historical Figure S5 region with blank plot content. Page not reliably assigned; explicit page-74 confirmation is view 22.",,"audit/manuscript_nature_health/revision_2026_09_11/final_documents_readiness_2026_09_12/native_word_review_001/00_initial_view.png",""
"01_page_1","Go To page 1; no edit or save; original zoom119%, formatting marks shown, thumbnail sidebar remains open.","2026-09-12T07:44:33.716Z","01","PASS_SCOPED","Title, author superscripts, affiliations and correspondence fit on page 1. Initial 119% zoom and formatting marks on.","1","audit/manuscript_nature_health/revision_2026_09_11/final_documents_readiness_2026_09_12/native_word_review_001/01_page_1.png","audit/manuscript_nature_health/revision_2026_09_11/final_documents_readiness_2026_09_12/native_word_review_001/01_page_1.txt"
"02_state_refresh","Attempted view-control action was interrupted by user-changed-app notice. Re-read current supported Word state before any further action.","2026-09-12T07:46:30.425Z","02","STATE_RECORD","Fresh supported state read after an app-state-change notice. Same exact document; no edit or access denial.","1","audit/manuscript_nature_health/revision_2026_09_11/final_documents_readiness_2026_09_12/native_word_review_001/02_state_refresh.png","audit/manuscript_nature_health/revision_2026_09_11/final_documents_readiness_2026_09_12/native_word_review_001/02_state_refresh.txt"
"03_page1_zoom100","Zoom dialog confirmed after delayed state; selected100% and hidden formatting marks. Navigation helper stopped safely because it saw Zoom, not Go To. No document edit/save.","2026-09-12T07:47:46.238Z","03","STATE_RECORD","Title page at 100% zoom with formatting marks hidden. A guarded navigation attempt encountered the already-open Zoom dialog and stopped before further action; confirmed view controls were then used.","1","audit/manuscript_nature_health/revision_2026_09_11/final_documents_readiness_2026_09_12/native_word_review_001/03_page1_zoom100.png","audit/manuscript_nature_health/revision_2026_09_11/final_documents_readiness_2026_09_12/native_word_review_001/03_page1_zoom100.txt"
"04_page2_abstract","Abstract and section start; Go To page 2; formatting marks hidden; no save.","2026-09-12T07:47:59.354Z","04","PASS_SCOPED","Abstract is a normal top-level heading on page 2. Introduction begins on the following page.","2","audit/manuscript_nature_health/revision_2026_09_11/final_documents_readiness_2026_09_12/native_word_review_001/04_page2_abstract.png","audit/manuscript_nature_health/revision_2026_09_11/final_documents_readiness_2026_09_12/native_word_review_001/04_page2_abstract.txt"
"05_page6_figure1","Main Figure1 and legend; Go To page 6; formatting marks hidden; no save.","2026-09-12T07:48:01.953Z","05","PASS_WITH_READABILITY_NOTE","Main Figure 1 panels and legend visible. This overview does not certify every small label at print size.","6","audit/manuscript_nature_health/revision_2026_09_11/final_documents_readiness_2026_09_12/native_word_review_001/05_page6_figure1.png","audit/manuscript_nature_health/revision_2026_09_11/final_documents_readiness_2026_09_12/native_word_review_001/05_page6_figure1.txt"
"06_page7_table1a","Main Table1 part1 and caption; Go To page 7; formatting marks hidden; no save.","2026-09-12T07:48:36.044Z","06","PASS_SCOPED","Main Table 1 first part visible with complete site columns and left-aligned caption.","7","audit/manuscript_nature_health/revision_2026_09_11/final_documents_readiness_2026_09_12/native_word_review_001/06_page7_table1a.png","audit/manuscript_nature_health/revision_2026_09_11/final_documents_readiness_2026_09_12/native_word_review_001/06_page7_table1a.txt"
"07_page8_table1b","Main Table1 part2 continuation; Go To page 8; formatting marks hidden; no save.","2026-09-12T07:48:39.201Z","07","PASS_SCOPED","Main Table 1 second part visible with repeated header and notes; no obvious clipping.","8","audit/manuscript_nature_health/revision_2026_09_11/final_documents_readiness_2026_09_12/native_word_review_001/07_page8_table1b.png","audit/manuscript_nature_health/revision_2026_09_11/final_documents_readiness_2026_09_12/native_word_review_001/07_page8_table1b.txt"
"08_page10_table2_caption","Main Table2 caption begins; Go To page 10; formatting marks hidden; no save.","2026-09-12T07:48:42.342Z","08","FINDING","Main Table 2 caption begins on page 10, leaving a large empty area before the table on page 11. Caption is split across pages.","10","audit/manuscript_nature_health/revision_2026_09_11/final_documents_readiness_2026_09_12/native_word_review_001/08_page10_table2_caption.png","audit/manuscript_nature_health/revision_2026_09_11/final_documents_readiness_2026_09_12/native_word_review_001/08_page10_table2_caption.txt"
"09_page11_table2","Main Table2 image and caption continuation; Go To page 11; formatting marks hidden; no save.","2026-09-12T07:48:45.415Z","09","FINDING","Main Table 2 itself is visible on page 11; its caption continues from page 10. Preserve Brown scientific hold.","11","audit/manuscript_nature_health/revision_2026_09_11/final_documents_readiness_2026_09_12/native_word_review_001/09_page11_table2.png","audit/manuscript_nature_health/revision_2026_09_11/final_documents_readiness_2026_09_12/native_word_review_001/09_page11_table2.txt"
