"check","pass","detail"
"glasses_seven_rows",TRUE,"rows=7"
"glasses_exact_cells",TRUE,"all 28 displayed cells preserve exact normalized text"
"glasses_groups",TRUE,"Component summaries | Participant-to-site comparisons"
"glasses_native_gt",TRUE,"one native gt table"
"chest_seven_rows",TRUE,"rows=7"
"chest_exact_cells",TRUE,"all 28 displayed cells preserve exact normalized text"
"chest_groups",TRUE,"Component summaries | Participant-to-site comparisons"
"chest_native_gt",TRUE,"one native gt table"
"person_seven_rows",TRUE,"rows=7"
"person_exact_cells",TRUE,"all 49 displayed cells match the accepted candidate pre-repair preview"
"person_native_gt",TRUE,"one native gt table"
"person_selected_once",TRUE,"selection_includes=1"
"tbl-plan-h02-chest-variation-shapley-gt-candidate.html_scopes",TRUE,"scoped_headers=11"
"tbl-plan-h02-glasses-variation-shapley-gt-candidate.html_scopes",TRUE,"scoped_headers=11"
"tbl-plan-person-level-synthesis-gt-candidate.html_scopes",TRUE,"scoped_headers=14"
