"page","section","row","cell","old_text","new_text","baseline_page","baseline_sha256","candidate_sha256","label","found_in_complete_table"
"table_2.html","thead",1,1,"Recommendation adherence by recommendation window and day type","Recommendation adherence by recommendation window and day type","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/table_layout_revision_2026_09_13/attempt_04/pages/table_2.html","d6e8c202f928bd692b13ae25541f4c804f9ba759bd0c170ffe443760d232d60a","770bb8ebcdefedd82de81511944c5345a2c1b0f0bbcd9377bef36a03bfabb21f","Table_2",TRUE
"table_2.html","thead",2,1,"Recommendation window","Recommendation window","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/table_layout_revision_2026_09_13/attempt_04/pages/table_2.html","d6e8c202f928bd692b13ae25541f4c804f9ba759bd0c170ffe443760d232d60a","770bb8ebcdefedd82de81511944c5345a2c1b0f0bbcd9377bef36a03bfabb21f","Table_2",TRUE
"table_2.html","thead",2,2,"Recommendation","Recommendation","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/table_layout_revision_2026_09_13/attempt_04/pages/table_2.html","d6e8c202f928bd692b13ae25541f4c804f9ba759bd0c170ffe443760d232d60a","770bb8ebcdefedd82de81511944c5345a2c1b0f0bbcd9377bef36a03bfabb21f","Table_2",TRUE
"table_2.html","thead",2,3,"Observed pooled-minute adherence","Observed pooled-minute adherence","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/table_layout_revision_2026_09_13/attempt_04/pages/table_2.html","d6e8c202f928bd692b13ae25541f4c804f9ba759bd0c170ffe443760d232d60a","770bb8ebcdefedd82de81511944c5345a2c1b0f0bbcd9377bef36a03bfabb21f","Table_2",TRUE
"table_2.html","thead",2,4,"Site-average recommendation-window model","Site-average recommendation-window model","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/table_layout_revision_2026_09_13/attempt_04/pages/table_2.html","d6e8c202f928bd692b13ae25541f4c804f9ba759bd0c170ffe443760d232d60a","770bb8ebcdefedd82de81511944c5345a2c1b0f0bbcd9377bef36a03bfabb21f","Table_2",TRUE
"table_2.html","thead",3,1,"Valid minutes meeting recommendation, n/N (%)","Valid minutes meeting recommendation, n/N (%)","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/table_layout_revision_2026_09_13/attempt_04/pages/table_2.html","d6e8c202f928bd692b13ae25541f4c804f9ba759bd0c170ffe443760d232d60a","770bb8ebcdefedd82de81511944c5345a2c1b0f0bbcd9377bef36a03bfabb21f","Table_2",TRUE
"table_2.html","thead",3,2,"Work-day adherence % (95% CI)","Work-day adherence % (95% CI)","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/table_layout_revision_2026_09_13/attempt_04/pages/table_2.html","d6e8c202f928bd692b13ae25541f4c804f9ba759bd0c170ffe443760d232d60a","770bb8ebcdefedd82de81511944c5345a2c1b0f0bbcd9377bef36a03bfabb21f","Table_2",TRUE
"table_2.html","thead",3,3,"Free-day adherence % (95% CI)","Free-day adherence % (95% CI)","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/table_layout_revision_2026_09_13/attempt_04/pages/table_2.html","d6e8c202f928bd692b13ae25541f4c804f9ba759bd0c170ffe443760d232d60a","770bb8ebcdefedd82de81511944c5345a2c1b0f0bbcd9377bef36a03bfabb21f","Table_2",TRUE
"table_2.html","thead",3,4,"Free minus Work percentage points (95% CI)","Free minus Work percentage points (95% CI)","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/table_layout_revision_2026_09_13/attempt_04/pages/table_2.html","d6e8c202f928bd692b13ae25541f4c804f9ba759bd0c170ffe443760d232d60a","770bb8ebcdefedd82de81511944c5345a2c1b0f0bbcd9377bef36a03bfabb21f","Table_2",TRUE
"table_2.html","thead",3,5,"FDR-adjusted p","FDR-adjusted p","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/table_layout_revision_2026_09_13/attempt_04/pages/table_2.html","d6e8c202f928bd692b13ae25541f4c804f9ba759bd0c170ffe443760d232d60a","770bb8ebcdefedd82de81511944c5345a2c1b0f0bbcd9377bef36a03bfabb21f","Table_2",TRUE
"table_2.html","tbody",1,1,"Daytime","Daytime","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/table_layout_revision_2026_09_13/attempt_04/pages/table_2.html","d6e8c202f928bd692b13ae25541f4c804f9ba759bd0c170ffe443760d232d60a","770bb8ebcdefedd82de81511944c5345a2c1b0f0bbcd9377bef36a03bfabb21f","Table_2",TRUE
"table_2.html","tbody",1,2,"At least 250 lx melanopic EDI during wake, excluding the three hours before sleep","At least 250 lx melanopic EDI during wake, excluding the three hours before sleep","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/table_layout_revision_2026_09_13/attempt_04/pages/table_2.html","d6e8c202f928bd692b13ae25541f4c804f9ba759bd0c170ffe443760d232d60a","770bb8ebcdefedd82de81511944c5345a2c1b0f0bbcd9377bef36a03bfabb21f","Table_2",TRUE
"table_2.html","tbody",1,3,"137,792/573,712 (24.0%)","137,792/573,712 (24.0%)","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/table_layout_revision_2026_09_13/attempt_04/pages/table_2.html","d6e8c202f928bd692b13ae25541f4c804f9ba759bd0c170ffe443760d232d60a","770bb8ebcdefedd82de81511944c5345a2c1b0f0bbcd9377bef36a03bfabb21f","Table_2",TRUE
"table_2.html","tbody",1,4,"26.6 (24.5 to 28.7)","26.6 (24.5 to 28.7)","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/table_layout_revision_2026_09_13/attempt_04/pages/table_2.html","d6e8c202f928bd692b13ae25541f4c804f9ba759bd0c170ffe443760d232d60a","770bb8ebcdefedd82de81511944c5345a2c1b0f0bbcd9377bef36a03bfabb21f","Table_2",TRUE
"table_2.html","tbody",1,5,"21.5 (19.2 to 23.8)","21.5 (19.2 to 23.8)","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/table_layout_revision_2026_09_13/attempt_04/pages/table_2.html","d6e8c202f928bd692b13ae25541f4c804f9ba759bd0c170ffe443760d232d60a","770bb8ebcdefedd82de81511944c5345a2c1b0f0bbcd9377bef36a03bfabb21f","Table_2",TRUE
"table_2.html","tbody",1,6,"-5.1 (-7.8 to -2.4)","-5.1 (-7.8 to -2.4)","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/table_layout_revision_2026_09_13/attempt_04/pages/table_2.html","d6e8c202f928bd692b13ae25541f4c804f9ba759bd0c170ffe443760d232d60a","770bb8ebcdefedd82de81511944c5345a2c1b0f0bbcd9377bef36a03bfabb21f","Table_2",TRUE
