"id","pass","detail"
"19_complete_tables",TRUE,""
"source_pin_Table_1",TRUE,""
"Table_1_thead_ordered_cell_text",TRUE,""
"Table_1_thead_colspan",TRUE,""
"Table_1_thead_rowspan",TRUE,""
"Table_1_thead_scope",TRUE,""
"Table_1_thead_headers",TRUE,""
"Table_1_tbody_ordered_cell_text",TRUE,""
"Table_1_tbody_colspan",TRUE,""
"Table_1_tbody_rowspan",TRUE,""
"Table_1_tbody_scope",TRUE,""
"Table_1_tbody_headers",TRUE,""
"Table_1_tfoot_ordered_cell_text",TRUE,""
"Table_1_tfoot_colspan",TRUE,""
"Table_1_tfoot_rowspan",TRUE,""
"Table_1_tfoot_scope",TRUE,""
"Table_1_tfoot_headers",TRUE,""
"source_pin_Table_2",TRUE,""
"Table_2_thead_ordered_cell_text",TRUE,""
"Table_2_thead_colspan",TRUE,""
"Table_2_thead_rowspan",TRUE,""
"Table_2_thead_scope",TRUE,""
"Table_2_thead_headers",TRUE,""
"Table_2_tbody_ordered_cell_text",TRUE,""
"Table_2_tbody_colspan",TRUE,""
"Table_2_tbody_rowspan",TRUE,""
"Table_2_tbody_scope",TRUE,""
"Table_2_tbody_headers",TRUE,""
"Table_2_tfoot_ordered_cell_text",TRUE,""
"Table_2_tfoot_colspan",TRUE,""
"Table_2_tfoot_rowspan",TRUE,""
"Table_2_tfoot_scope",TRUE,""
"Table_2_tfoot_headers",TRUE,""
"source_pin_Table_3",TRUE,""
"Table_3_thead_ordered_cell_text",TRUE,""
"Table_3_thead_colspan",TRUE,""
"Table_3_thead_rowspan",TRUE,""
"Table_3_thead_scope",TRUE,""
"Table_3_thead_headers",TRUE,""
"Table_3_tbody_ordered_cell_text",TRUE,""
"Table_3_tbody_colspan",TRUE,""
"Table_3_tbody_rowspan",TRUE,""
"Table_3_tbody_scope",TRUE,""
"Table_3_tbody_headers",TRUE,""
"Table_3_tfoot_ordered_cell_text",TRUE,""
"Table_3_tfoot_colspan",TRUE,""
"Table_3_tfoot_rowspan",TRUE,""
"Table_3_tfoot_scope",TRUE,""
"Table_3_tfoot_headers",TRUE,""
"source_pin_Table_S1",TRUE,""
"Table_S1_thead_ordered_cell_text",TRUE,""
"Table_S1_thead_colspan",TRUE,""
"Table_S1_thead_rowspan",TRUE,""
"Table_S1_thead_scope",TRUE,""
"Table_S1_thead_headers",TRUE,""
"Table_S1_tbody_ordered_cell_text",TRUE,""
"Table_S1_tbody_colspan",TRUE,""
"Table_S1_tbody_rowspan",TRUE,""
"Table_S1_tbody_scope",TRUE,""
"Table_S1_tbody_headers",TRUE,""
"Table_S1_tfoot_ordered_cell_text",TRUE,""
"Table_S1_tfoot_colspan",TRUE,""
"Table_S1_tfoot_rowspan",TRUE,""
"Table_S1_tfoot_scope",TRUE,""
"Table_S1_tfoot_headers",TRUE,""
"source_pin_Table_S2",TRUE,""
"Table_S2_thead_ordered_cell_text",TRUE,""
"Table_S2_thead_colspan",TRUE,""
"Table_S2_thead_rowspan",TRUE,""
"Table_S2_thead_scope",TRUE,""
"Table_S2_thead_headers",TRUE,""
"Table_S2_tbody_ordered_cell_text",TRUE,""
"Table_S2_tbody_colspan",TRUE,""
"Table_S2_tbody_rowspan",TRUE,""
"Table_S2_tbody_scope",TRUE,""
"Table_S2_tbody_headers",TRUE,""
"Table_S2_tfoot_ordered_cell_text",TRUE,""
"Table_S2_tfoot_colspan",TRUE,""
"Table_S2_tfoot_rowspan",TRUE,""
"Table_S2_tfoot_scope",TRUE,""
"Table_S2_tfoot_headers",TRUE,""
"source_pin_Table_S3",TRUE,""
"Table_S3_thead_ordered_cell_text",TRUE,""
"Table_S3_thead_colspan",TRUE,""
"Table_S3_thead_rowspan",TRUE,""
"Table_S3_thead_scope",TRUE,""
"Table_S3_thead_headers",TRUE,""
"Table_S3_tbody_ordered_cell_text",TRUE,""
"Table_S3_tbody_colspan",TRUE,""
"Table_S3_tbody_rowspan",TRUE,""
"Table_S3_tbody_scope",TRUE,""
"Table_S3_tbody_headers",TRUE,""
