"label","part","cell","text"
"Table_1","thead",1,""
"Table_1","thead",2,"Overall"
"Table_1","thead",3,"Borås (SE)"
"Table_1","thead",4,"Delft (NL)"
"Table_1","thead",5,"Dortmund (DE)"
"Table_1","thead",6,"Tübingen (DE)"
"Table_1","thead",7,"Munich (DE)"
"Table_1","thead",8,"Madrid (ES)"
"Table_1","thead",9,"Izmir (TR)"
"Table_1","thead",10,"San José (CR)"
"Table_1","thead",11,"Kumasi (GH)"
"Table_1","tbody",1,"Site specifics"
"Table_1","tbody",2,"Institution"
"Table_1","tbody",3,"Overall"
"Table_1","tbody",4,"RISE"
"Table_1","tbody",5,"THUAS"
"Table_1","tbody",6,"BAuA"
"Table_1","tbody",7,"MPI"
"Table_1","tbody",8,"TUM"
"Table_1","tbody",9,"FUSPCEU"
"Table_1","tbody",10,"IZTECH"
"Table_1","tbody",11,"UCR"
"Table_1","tbody",12,"KNUST"
"Table_1","tbody",13,"Country"
"Table_1","tbody",14,"—"
"Table_1","tbody",15,"Sweden"
"Table_1","tbody",16,"Netherlands"
"Table_1","tbody",17,"Germany"
"Table_1","tbody",18,"Germany"
"Table_1","tbody",19,"Germany"
"Table_1","tbody",20,"Spain"
"Table_1","tbody",21,"Türkiye"
"Table_1","tbody",22,"Costa Rica"
"Table_1","tbody",23,"Ghana"
"Table_1","tbody",24,"City"
"Table_1","tbody",25,"—"
"Table_1","tbody",26,"Borås"
"Table_1","tbody",27,"Delft"
"Table_1","tbody",28,"Dortmund"
"Table_1","tbody",29,"Tübingen"
"Table_1","tbody",30,"Munich"
"Table_1","tbody",31,"Madrid"
"Table_1","tbody",32,"Izmir"
"Table_1","tbody",33,"San José"
"Table_1","tbody",34,"Kumasi"
"Table_1","tbody",35,"Coordinates"
"Table_1","tbody",36,"—"
"Table_1","tbody",37,"57.7°N, 12.9°E"
"Table_1","tbody",38,"52.0°N, 4.4°E"
"Table_1","tbody",39,"51.5°N, 7.4°E"
"Table_1","tbody",40,"48.5°N, 9.1°E"
"Table_1","tbody",41,"48.1°N, 11.6°E"
"Table_1","tbody",42,"40.4°N, 3.7°W"
"Table_1","tbody",43,"38.3°N, 26.6°E"
"Table_1","tbody",44,"9.9°N, 84.1°W"
"Table_1","tbody",45,"6.7°N, 1.6°W"
"Table_1","tbody",46,"Data collection"
"Table_1","tbody",47,"Participants1"
"Table_1","tbody",48,"191 roster (g:143; c:157; p:116)"
"Table_1","tbody",49,"17 roster (g:14; c:17; p:14)"
"Table_1","tbody",50,"20 roster (g:13; c:15; p:13)"
"Table_1","tbody",51,"24 roster (g:19; c:22; p:19)"
"Table_1","tbody",52,"26 roster (g:26; c:0; p:0)"
"Table_1","tbody",53,"10 roster (g:10; c:10; p:10)"
"Table_1","tbody",54,"23 roster (g:23; c:22; p:22)"
"Table_1","tbody",55,"17 roster (g:17; c:17; p:17)"
"Table_1","tbody",56,"39 roster (g:6; c:39; p:6)"
"Table_1","tbody",57,"15 roster (g:15; c:15; p:15)"
"Table_1","tbody",58,"Participant-days1"
"Table_1","tbody",59,"1478 roster (g:1134 c:1246; p:902)"
"Table_1","tbody",60,"137 roster (g:107 c:137; p:107)"
"Table_1","tbody",61,"125 roster (g:107 c:124; p:106)"
"Table_1","tbody",62,"176 roster (g:145 c:163; p:132)"
"Table_1","tbody",63,"208 roster (g:208 c:0; p:0)"
"Table_1","tbody",64,"80 roster (g:80 c:80; p:80)"
"Table_1","tbody",65,"182 roster (g:182 c:174; p:174)"
"Table_1","tbody",66,"138 roster (g:138 c:138; p:138)"
"Table_1","tbody",67,"312 roster (g:48 c:312; p:48)"
"Table_1","tbody",68,"120 roster (g:119 c:118; p:117)"
"Table_1","tbody",69,"Participant time2"
"Table_1","tbody",70,"116w 4d"
"Table_1","tbody",71,"11w 23h"
