run_id,metric_order,family_id,gate_p_adjusted,current_p_adjusted,gate_supported,current_supported,disposition_changed
main__chest__all_available,1,H01-F1-site,0.920370620707043,0.920370620707043,FALSE,FALSE,FALSE
main__chest__all_available,1,H01-F2-photoperiod,0.5086682107978651,0.5086682107978651,FALSE,FALSE,FALSE
main__chest__all_available,1,H01-F3-latitude,0.6692908886157275,0.6692908886157275,FALSE,FALSE,FALSE
main__chest__all_available,1,H01-F4-site-latitude-adequacy,0.8843011392141539,0.8843011392141539,FALSE,FALSE,FALSE
main__chest__all_available,2,H01-F1-site,0.17922015264964822,0.17922015264964822,FALSE,FALSE,FALSE
main__chest__all_available,2,H01-F2-photoperiod,0.08277029886701316,0.08277029886701316,FALSE,FALSE,FALSE
main__chest__all_available,2,H01-F3-latitude,0.3494706798579671,0.3494706798579671,FALSE,FALSE,FALSE
main__chest__all_available,2,H01-F4-site-latitude-adequacy,0.18714372893785663,0.18714372893785663,FALSE,FALSE,FALSE
main__chest__all_available,3,H01-F1-site,0.00160278171668945,0.0016027817166894538,TRUE,TRUE,FALSE
main__chest__all_available,3,H01-F2-photoperiod,1.3926188446745065e-4,1.3926188446745065e-4,TRUE,TRUE,FALSE
main__chest__all_available,3,H01-F3-latitude,0.5033517120451634,0.5033517120451634,FALSE,FALSE,FALSE
main__chest__all_available,3,H01-F4-site-latitude-adequacy,0.00102216097662019,0.0010221609766201917,TRUE,TRUE,FALSE
main__chest__all_available,4,H01-F1-site,0.0040187177990185,0.004018717799018504,TRUE,TRUE,FALSE
main__chest__all_available,4,H01-F2-photoperiod,7.596900340966201e-4,7.596900340966201e-4,TRUE,TRUE,FALSE
main__chest__all_available,4,H01-F3-latitude,0.4214773975726564,0.4214773975726564,FALSE,FALSE,FALSE
main__chest__all_available,4,H01-F4-site-latitude-adequacy,0.00396085381305247,0.003960853813052473,TRUE,TRUE,FALSE
main__chest__all_available,5,H01-F1-site,1.4279780133225598e-5,1.4279780133212504e-5,TRUE,TRUE,FALSE
main__chest__all_available,5,H01-F2-photoperiod,0.01176958310150279,0.011769583101503328,TRUE,TRUE,FALSE
main__chest__all_available,5,H01-F3-latitude,0.00232995816716259,0.002329958167159452,TRUE,TRUE,FALSE
