original_path,archive_path,sha256,bytes,disposition,producer,r_version
artifacts/07_models/H01/main/chest/all_available/mder_ratio_of_integrals_model_frame.rds,audit/hypotheses/H01/mder_METRIC-010/production_integration/superseded_ratio_of_integrals_canonical/artifacts/07_models/H01/main/chest/all_available/mder_ratio_of_integrals_model_frame.rds,0aabab5343859ab8fafc3f4bbdd9f02fe04b2c10c2671f2d88de335439a85e6c,20736,SUPERSEDED_BY_METRIC-010_MEAN_OF_VIABLE_RATIOS,scripts/hypotheses/H01/install_h01_mder_METRIC010_production.R,4.6.1
artifacts/07_models/H01/main/chest/all_available/mder_ratio_of_integrals_models.rds,audit/hypotheses/H01/mder_METRIC-010/production_integration/superseded_ratio_of_integrals_canonical/artifacts/07_models/H01/main/chest/all_available/mder_ratio_of_integrals_models.rds,60f84e2dd4396fead2e91676c0d6de013dca8c1244c7afbc8e317a380b4b07a6,256048,SUPERSEDED_BY_METRIC-010_MEAN_OF_VIABLE_RATIOS,scripts/hypotheses/H01/install_h01_mder_METRIC010_production.R,4.6.1
artifacts/07_models/H01/main/chest/all_available/mder_ratio_of_integrals_r2_bootstrap_draws.rds,audit/hypotheses/H01/mder_METRIC-010/production_integration/superseded_ratio_of_integrals_canonical/artifacts/07_models/H01/main/chest/all_available/mder_ratio_of_integrals_r2_bootstrap_draws.rds,ef90501a3e0362387ca94713f85df3149cacbc36686c746147ddce99f6314601,56644,SUPERSEDED_BY_METRIC-010_MEAN_OF_VIABLE_RATIOS,scripts/hypotheses/H01/install_h01_mder_METRIC010_production.R,4.6.1
artifacts/07_models/H01/main/chest/paired_common_sample/mder_ratio_of_integrals_model_frame.rds,audit/hypotheses/H01/mder_METRIC-010/production_integration/superseded_ratio_of_integrals_canonical/artifacts/07_models/H01/main/chest/paired_common_sample/mder_ratio_of_integrals_model_frame.rds,503349c34e99fcfa313bc6ba08d0739dfac83b8a7564ca8ac58356bcce1b8bf0,16704,SUPERSEDED_BY_METRIC-010_MEAN_OF_VIABLE_RATIOS,scripts/hypotheses/H01/install_h01_mder_METRIC010_production.R,4.6.1
artifacts/07_models/H01/main/chest/paired_common_sample/mder_ratio_of_integrals_models.rds,audit/hypotheses/H01/mder_METRIC-010/production_integration/superseded_ratio_of_integrals_canonical/artifacts/07_models/H01/main/chest/paired_common_sample/mder_ratio_of_integrals_models.rds,e782a0e61bcb01b83e271736ef33e0d98bc62fe307cd47312824ecace7ff7118,218204,SUPERSEDED_BY_METRIC-010_MEAN_OF_VIABLE_RATIOS,scripts/hypotheses/H01/install_h01_mder_METRIC010_production.R,4.6.1
artifacts/07_models/H01/main/chest/paired_common_sample/mder_ratio_of_integrals_r2_bootstrap_draws.rds,audit/hypotheses/H01/mder_METRIC-010/production_integration/superseded_ratio_of_integrals_canonical/artifacts/07_models/H01/main/chest/paired_common_sample/mder_ratio_of_integrals_r2_bootstrap_draws.rds,3ebb3fcbb5722d501f7e0b145d97f3200caadf8689c1233acc369dc16e7da019,57196,SUPERSEDED_BY_METRIC-010_MEAN_OF_VIABLE_RATIOS,scripts/hypotheses/H01/install_h01_mder_METRIC010_production.R,4.6.1
artifacts/07_models/H01/main/glasses/all_available/mder_ratio_of_integrals_model_frame.rds,audit/hypotheses/H01/mder_METRIC-010/production_integration/superseded_ratio_of_integrals_canonical/artifacts/07_models/H01/main/glasses/all_available/mder_ratio_of_integrals_model_frame.rds,d9c6c6712b046fb76ab7d31966f739c5db24d58a61cc3810488d88e85ad64ef1,19336,SUPERSEDED_BY_METRIC-010_MEAN_OF_VIABLE_RATIOS,scripts/hypotheses/H01/install_h01_mder_METRIC010_production.R,4.6.1
artifacts/07_models/H01/main/glasses/all_available/mder_ratio_of_integrals_models.rds,audit/hypotheses/H01/mder_METRIC-010/production_integration/superseded_ratio_of_integrals_canonical/artifacts/07_models/H01/main/glasses/all_available/mder_ratio_of_integrals_models.rds,f1db7abe0d0b34fddc060d0aa9ca597611c1b4d859a7e3add754a33aa01e73d1,242388,SUPERSEDED_BY_METRIC-010_MEAN_OF_VIABLE_RATIOS,scripts/hypotheses/H01/install_h01_mder_METRIC010_production.R,4.6.1
artifacts/07_models/H01/main/glasses/all_available/mder_ratio_of_integrals_r2_bootstrap_draws.rds,audit/hypotheses/H01/mder_METRIC-010/production_integration/superseded_ratio_of_integrals_canonical/artifacts/07_models/H01/main/glasses/all_available/mder_ratio_of_integrals_r2_bootstrap_draws.rds,f0e7b312b55a2066b0a075670cb4ce9d9d24654283c958ecd661d786883ee967,57952,SUPERSEDED_BY_METRIC-010_MEAN_OF_VIABLE_RATIOS,scripts/hypotheses/H01/install_h01_mder_METRIC010_production.R,4.6.1
artifacts/07_models/H01/main/glasses/paired_common_sample/mder_ratio_of_integrals_model_frame.rds,audit/hypotheses/H01/mder_METRIC-010/production_integration/superseded_ratio_of_integrals_canonical/artifacts/07_models/H01/main/glasses/paired_common_sample/mder_ratio_of_integrals_model_frame.rds,d17ef6f7f52558b450af8d0c091d826741f2a922b2379773cd2b2273ce13d63e,16660,SUPERSEDED_BY_METRIC-010_MEAN_OF_VIABLE_RATIOS,scripts/hypotheses/H01/install_h01_mder_METRIC010_production.R,4.6.1
artifacts/07_models/H01/main/glasses/paired_common_sample/mder_ratio_of_integrals_models.rds,audit/hypotheses/H01/mder_METRIC-010/production_integration/superseded_ratio_of_integrals_canonical/artifacts/07_models/H01/main/glasses/paired_common_sample/mder_ratio_of_integrals_models.rds,4651b410e440e9fd6dd9de5b395e16dced7d862119239e5fae9a36d8477c159c,212672,SUPERSEDED_BY_METRIC-010_MEAN_OF_VIABLE_RATIOS,scripts/hypotheses/H01/install_h01_mder_METRIC010_production.R,4.6.1
artifacts/07_models/H01/main/glasses/paired_common_sample/mder_ratio_of_integrals_r2_bootstrap_draws.rds,audit/hypotheses/H01/mder_METRIC-010/production_integration/superseded_ratio_of_integrals_canonical/artifacts/07_models/H01/main/glasses/paired_common_sample/mder_ratio_of_integrals_r2_bootstrap_draws.rds,1bf023b460cf61638189fe40a11e6f1ffe7e0a98322d3e2e39570b7f62406413,57384,SUPERSEDED_BY_METRIC-010_MEAN_OF_VIABLE_RATIOS,scripts/hypotheses/H01/install_h01_mder_METRIC010_production.R,4.6.1
artifacts/07_models/H01/manuscript_prepared_data/chest/all_available/mder_ratio_of_integrals_model_frame.rds,audit/hypotheses/H01/mder_METRIC-010/production_integration/superseded_ratio_of_integrals_canonical/artifacts/07_models/H01/manuscript_prepared_data/chest/all_available/mder_ratio_of_integrals_model_frame.rds,179bbfe24d62dbe2c4f134afae2966b0d23fa2978a7684558ed966a67beae6d3,16540,SUPERSEDED_BY_METRIC-010_MEAN_OF_VIABLE_RATIOS,scripts/hypotheses/H01/install_h01_mder_METRIC010_production.R,4.6.1
artifacts/07_models/H01/manuscript_prepared_data/chest/all_available/mder_ratio_of_integrals_models.rds,audit/hypotheses/H01/mder_METRIC-010/production_integration/superseded_ratio_of_integrals_canonical/artifacts/07_models/H01/manuscript_prepared_data/chest/all_available/mder_ratio_of_integrals_models.rds,8ab62c7fbbf4be842f5cc098763c74d855d34cbc1d547d98fa018aed13dc8ab7,241996,SUPERSEDED_BY_METRIC-010_MEAN_OF_VIABLE_RATIOS,scripts/hypotheses/H01/install_h01_mder_METRIC010_production.R,4.6.1
