"level","id","text"
"h1",,"H07 analysis preparation and provenance"
"h2",,"Scientific target"
"h3",,"Current preregistration deviations"
"h2",,"Verified inputs and exact frames"
"h3",,"Consequential inputs"
"h3",,"Identity, schema, keys, and values"
"h2",,"Candidate samples, exclusions, and support"
"h3",,"Exact fitted samples"
"h3",,"Site, photoperiod, latitude, and collection period"
"h2",,"Metrics, units, and response construction"
"h2",,"Temporal order and repeated participant-days"
"h2",,"Nonlinear model, curves, and derivative estimand"
"h3",,"Exact evaluated formulas"
"h3",,"Association and derivative estimands"
"h2",,"Model checks and support limits"
"h2",,"Sensitivity analyses and site influence"
"h3",,"Candidate samples"
"h3",,"Classification stability"
"h3",,"Leave-one-site-out influence"
"h2",,"Technical provenance and bounded reproduction"
"h3",,"Numerical-zero provenance"
"h3",,"Code and output map"
"h3",,"Durable outputs"
"h3",,"Computational environment and bounded reproduction"
"h2",,"Footnotes"
