"domain","check","observed","expected","status"
"central replay","exactly-once central checker output","41/41","41/41","PASS"
"preflight","non-matrix dispatch identities","26/26","26/26","PASS"
"semantics","exact reversal and reapplication","6","6","PASS"
"semantics","visible and structural invariance","7","7","PASS"
"reader structure","21 native gt tables in exact source order with captions","tbl-h07-preparation-contributions|tbl-h07-preparation-input-identities|tbl-h07-preparation-frame-integrity|tbl-h07-preparation-sample-ranges|tbl-h07-preparation-metric-samples|tbl-h07-preparation-site-support|tbl-h07-preparation-metric-contract|tbl-h07-preparation-formulas|tbl-h07-preparation-fit-settings|tbl-h07-preparation-derivative-settings|tbl-h07-preparation-pattern-counts|tbl-h07-preparation-diagnostic-summary|tbl-h07-preparation-tweedie-pilot|tbl-h07-preparation-sensitivity-samples|tbl-h07-preparation-sensitivity-classifications|tbl-h07-preparation-model-form|tbl-h07-preparation-loso|tbl-h07-preparation-metric011|tbl-h07-preparation-code-order|tbl-h07-preparation-output-map|tbl-h07-preparation-environment","tbl-h07-preparation-contributions|tbl-h07-preparation-input-identities|tbl-h07-preparation-frame-integrity|tbl-h07-preparation-sample-ranges|tbl-h07-preparation-metric-samples|tbl-h07-preparation-site-support|tbl-h07-preparation-metric-contract|tbl-h07-preparation-formulas|tbl-h07-preparation-fit-settings|tbl-h07-preparation-derivative-settings|tbl-h07-preparation-pattern-counts|tbl-h07-preparation-diagnostic-summary|tbl-h07-preparation-tweedie-pilot|tbl-h07-preparation-sensitivity-samples|tbl-h07-preparation-sensitivity-classifications|tbl-h07-preparation-model-form|tbl-h07-preparation-loso|tbl-h07-preparation-metric011|tbl-h07-preparation-code-order|tbl-h07-preparation-output-map|tbl-h07-preparation-environment","PASS"
"reader structure","table source notes preserved","1/c7989fca8220f84c0ee646502f6c9d9925ebdd9254baa5540712e23845e7f3f6","1/c7989fca8220f84c0ee646502f6c9d9925ebdd9254baa5540712e23845e7f3f6","PASS"
"reader structure","two PNG figures with captions and alt text","fig-h07-prep-metric-sample-support|fig-h07-prep-site-photoperiod-ranges","fig-h07-prep-metric-sample-support|fig-h07-prep-site-photoperiod-ranges","PASS"
"reader structure","one top-down Mermaid","1/TD","1/TD","PASS"
"semantics","unique document IDs","0","0","PASS"
"semantics","1,144 table-header tokens resolve once to th within table","1144/1144","1144/1144","PASS"
"reader links","405 applicable links and three non-file controls","405/405/3","405/405/3","PASS"
"reader links","three dynamic result links","../../../notebooks/hypotheses/H07.html|../../../notebooks/hypotheses/H07.html|../../../notebooks/hypotheses/H07.html#h07-preregistration-deviations","../../../notebooks/hypotheses/H07.html|../../../notebooks/hypotheses/H07.html|../../../notebooks/hypotheses/H07.html#h07-preregistration-deviations","PASS"
"source data","nine row contracts and six reader-facing source links","9/9/6/6","9/9/6/6","PASS"
"scientific contract","required reader phrases","13","13","PASS"
"reader structure","nine country-coded sites","9","9","PASS"
"reader structure","active H07 preparation navigation","H07 preparation and provenance","H07 preparation and provenance","PASS"
"reader structure","deviation anchor","1","1","PASS"
"reader structure","zero embedded errors warnings and unresolved cross-references","0/FALSE/FALSE","0/FALSE/FALSE","PASS"
"reader structure","headings present with unique nonempty text","25",">0","PASS"
"scientific contract","samples diagnostics classifications and METRIC-011","TRUE","TRUE","PASS"
"scientific contract","exact nine-model formula registry","9","9","PASS"
"figure contract","two 170-mm figures at least 7 pt","2","2","PASS"
"manifest","unique non-circular fully live-exact manifest","1235/1235/0","1235/1235/0","PASS"
"preservation","authoring and build QMDs byte-identical","a6c05e81333bb612e99ef431f42f47860ac26b6d5c0f0f44ecbce019ee470d1b","a6c05e81333bb612e99ef431f42f47860ac26b6d5c0f0f44ecbce019ee470d1b","PASS"
"canonical cleanup","exact 16 historical paths remain absent","16/16","16/16","PASS"
"build integration","classified build delta","21/21","21/21","PASS"
