"path","role","expected_sha256","observed_sha256","expected_bytes","observed_bytes","exists","status"
"audit/report_harmonization/owner_orders/53a_h07_companion_no_rerender_completion.md","controlling order","7938e1358ec78d7fb90dd7bd59fd3cb1465c3a71912710b3813586fbf0789712","7938e1358ec78d7fb90dd7bd59fd3cb1465c3a71912710b3813586fbf0789712",5490,5490,TRUE,"PASS"
"audit/report_harmonization/report018_h07_order53_stopped_independent_acceptance.md","independent stopped acceptance","d57ef70aa1693dd60da27f622cca5be91aa25d9c9d0f6e66b7b98883f84b91e0","d57ef70aa1693dd60da27f622cca5be91aa25d9c9d0f6e66b7b98883f84b91e0",4033,4033,TRUE,"PASS"
"audit/report_harmonization/report018_h07_order53_stopped_independent_acceptance_manifest.csv","independent non-circular seal","5f13d020be8ecfa18d8f1df11bb3ee29cc60cbe03698fb47a8d5dd2d23b3b36e","5f13d020be8ecfa18d8f1df11bb3ee29cc60cbe03698fb47a8d5dd2d23b3b36e",4632,4632,TRUE,"PASS"
"scripts/report_harmonization/check_h07_order53_stopped_acceptance.R","independent checker","cca5e26f8227479f250f16b1ee227ea1388b0edde46a33eba082549419c6fd93","cca5e26f8227479f250f16b1ee227ea1388b0edde46a33eba082549419c6fd93",14440,14440,TRUE,"PASS"
"audit/report_harmonization/report018_h07_order53_stopped_independent_verification.csv","independent verification","95b96b41fcb815d04ca4cd69ee53f05c7e7e49e5d45e38b4f2aeda712bd5628e","95b96b41fcb815d04ca4cd69ee53f05c7e7e49e5d45e38b4f2aeda712bd5628e",7675,7675,TRUE,"PASS"
"audit/hypotheses/H07/report018_order53_companion_render/ORDER53_FAIL_CLOSED_STOP.txt","owner stopped record","22a0f7e6bd5ba808496138420a75c097600e4ce4276248233ce609d04211ee95","22a0f7e6bd5ba808496138420a75c097600e4ce4276248233ce609d04211ee95",12411,12411,TRUE,"PASS"
"audit/hypotheses/H07/report018_order53_companion_render/ORDER53_STOPPED_STATE_MANIFEST.csv","owner 47-row seal","0b059a86079ceea2a4e0922185903a24537065e5683efe976def238770eb7c85","0b059a86079ceea2a4e0922185903a24537065e5683efe976def238770eb7c85",9273,9273,TRUE,"PASS"
"audit/hypotheses/H07/report018_order53_companion_render/current_endpoint_identities.csv","current endpoint identities","1e4db1b6e9af7b5e90764806da6eb0c2f732bd00af616f8fab6c701753b8f153","1e4db1b6e9af7b5e90764806da6eb0c2f732bd00af616f8fab6c701753b8f153",15896,15896,TRUE,"PASS"
"audit/hypotheses/H07/report018_order53_companion_render/reader_link_corrected_audit.csv","corrected applicable-link audit","34b6eba8518b441b68c80f0c64cdca035b8baa2f71b98141996a2e6bd8ee0bd0","34b6eba8518b441b68c80f0c64cdca035b8baa2f71b98141996a2e6bd8ee0bd0",92515,92515,TRUE,"PASS"
"audit/hypotheses/H07/report018_order53_companion_render/protected_delta_posthelper.csv","exact canonical cleanup and integration delta","e90f1b8d8c5c6f50d3ad3ff6bde1ea268bc45c2f258ec5257986228852558429","e90f1b8d8c5c6f50d3ad3ff6bde1ea268bc45c2f258ec5257986228852558429",5128,5128,TRUE,"PASS"
