"phrase","present","status"
"H07 analysis preparation and provenance",TRUE,"PASS"
"139–141 participants",TRUE,"PASS"
"655–816 participant-days",TRUE,"PASS"
"153–154 participants",TRUE,"PASS"
"743–902 participant-days",TRUE,"PASS"
"All 18 reported photoperiod-smooth fits converged",TRUE,"PASS"
"three near-eye and one chest",TRUE,"PASS"
"approximately 0.9985–0.9988",TRUE,"PASS"
"does not support a distinct latitude effect",TRUE,"PASS"
"gap-timing-unaware dataset",TRUE,"PASS"
"time-sensitive primary metric dataset",TRUE,"PASS"
"No independent temperature",TRUE,"PASS"
"METRIC-011",TRUE,"PASS"
