"order","link_text","href","resolved_path","target_exists","fragment","fragment_resolves_once","forbidden_target","status"
1,"Hypothesis analyses","../../../notebooks/hypotheses/H01.html","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/notebooks/hypotheses/H01.html",TRUE,"",TRUE,FALSE,"PASS"
2,"H07 preparation and provenance","../../../audit/hypotheses/H07/H07_analysis_preparation.html","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/audit/hypotheses/H07/H07_analysis_preparation.html",TRUE,"",TRUE,FALSE,"PASS"
3,"Show All Code","javascript:void(0)","",TRUE,"",TRUE,FALSE,"EXCLUDED_QUARTO_CONTROL"
4,"Hide All Code","javascript:void(0)","",TRUE,"",TRUE,FALSE,"EXCLUDED_QUARTO_CONTROL"
5,"View Source","javascript:void(0)","",TRUE,"",TRUE,FALSE,"EXCLUDED_QUARTO_CONTROL"
6,"H07 results report","../../../notebooks/hypotheses/H07.html","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/notebooks/hypotheses/H07.html",TRUE,"",TRUE,FALSE,"PASS"
7,"preregistration-deviation section","../../../notebooks/hypotheses/H07.html#h07-preregistration-deviations","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/notebooks/hypotheses/H07.html",TRUE,"h07-preregistration-deviations",TRUE,FALSE,"PASS"
8,"1","#fn1","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/audit/hypotheses/H07/H07_analysis_preparation.html",TRUE,"fn1",TRUE,FALSE,"PASS"
9,"DEV-016","../../../notebooks/preregistration_deviations.html#dev-016","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/notebooks/preregistration_deviations.html",TRUE,"dev-016",TRUE,FALSE,"PASS"
10,"DEV-033","../../../notebooks/preregistration_deviations.html#dev-033","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/notebooks/preregistration_deviations.html",TRUE,"dev-033",TRUE,FALSE,"PASS"
11,"DEV-034","../../../notebooks/preregistration_deviations.html#dev-034","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/notebooks/preregistration_deviations.html",TRUE,"dev-034",TRUE,FALSE,"PASS"
