"domain","observed","expected","status"
"R runtime","4.6.1","4.6.1","PASS"
"central stopped-state checker","41/41","41/41","PASS"
"dispatch pins","26/26","26/26","PASS"
"static acceptance","26/26","26/26","PASS"
"live preparation manifest","1235/1235","1235/1235","PASS"
"native gt tables","21","21","PASS"
"PNG figures","2","2","PASS"
"top-down Mermaid","1","1","PASS"
"applicable links","405/405","405/405","PASS"
"non-file controls","3","3","PASS"
"semantic ledger","21/116/734/850","21/116/734/850","PASS"
"desktop QA","PASS","PASS","PASS"
"narrow QA","PASS","PASS","PASS"
"200-percent-equivalent QA","PASS","PASS","PASS"
"170-mm figure QA","PASS","PASS","PASS"
"browser console","0","0","PASS"
"QA screenshots","36","36","PASS"
"build preservation","851/851","851/851","PASS"
"protected preservation","1404/1404","1404/1404","PASS"
"canonical cleanup","16/16 absent","16/16 absent","PASS"
"build symlinks","0","0","PASS"
"loopback listener","0","0","PASS"
"relevant process scan","0","0","PASS"
